dataset,chr,bin_bdr,mean,bin_bdr_kb
mikk,1,0,0.478461280561537,0
mikk,1,100,0.355646415634767,0.1
mikk,1,200,0.336448769687764,0.2
mikk,1,300,0.324743195319505,0.3
mikk,1,400,0.316991242940589,0.4
mikk,1,500,0.31316945659878,0.5
mikk,1,600,0.305142903074309,0.6
mikk,1,700,0.297960732349635,0.7
mikk,1,800,0.291391523085566,0.8
mikk,1,900,0.28460283509436,0.9
mikk,1,1000,0.280494145013202,1
mikk,1,1100,0.276196168524627,1.1
mikk,1,1200,0.268577733259957,1.2
mikk,1,1300,0.264506554550392,1.3
mikk,1,1400,0.261315868518631,1.4
mikk,1,1500,0.258889647787419,1.5
mikk,1,1600,0.255083439732015,1.6
mikk,1,1700,0.249494332022691,1.7
mikk,1,1800,0.247646893318394,1.8
mikk,1,1900,0.244618673299455,1.9
mikk,1,2000,0.242542734759911,2
mikk,1,2100,0.238797097429716,2.1
mikk,1,2200,0.233505082245197,2.2
mikk,1,2300,0.231451885028928,2.3
mikk,1,2400,0.225651866307132,2.4
mikk,1,2500,0.223973095864603,2.5
mikk,1,2600,0.220403695276693,2.6
mikk,1,2700,0.21743066785112,2.7
mikk,1,2800,0.216642720982531,2.8
mikk,1,2900,0.214218315961118,2.9
mikk,1,3000,0.211756790292602,3
mikk,1,3100,0.209675198943633,3.1
mikk,1,3200,0.207749466172504,3.2
mikk,1,3300,0.207771707007734,3.3
mikk,1,3400,0.204089583536477,3.4
mikk,1,3500,0.205175823136973,3.5
mikk,1,3600,0.201187305565971,3.6
mikk,1,3700,0.20086808222763,3.7
mikk,1,3800,0.198084547061368,3.8
mikk,1,3900,0.19673584491128,3.9
mikk,1,4000,0.196277048077228,4
mikk,1,4100,0.191455144274038,4.1
mikk,1,4200,0.191270986688028,4.2
mikk,1,4300,0.191221611232868,4.3
mikk,1,4400,0.185757761223066,4.4
mikk,1,4500,0.187343349394377,4.5
mikk,1,4600,0.187173387283424,4.6
mikk,1,4700,0.189541155592667,4.7
mikk,1,4800,0.189850561319186,4.8
mikk,1,4900,0.185240502813828,4.9
mikk,1,5000,0.187197261007547,5
mikk,1,5100,0.184825256487856,5.1
mikk,1,5200,0.186838615985233,5.2
mikk,1,5300,0.183065971160531,5.3
mikk,1,5400,0.181073004878409,5.4
mikk,1,5500,0.181027631375068,5.5
mikk,1,5600,0.177790816433356,5.6
mikk,1,5700,0.178168253659249,5.7
mikk,1,5800,0.175948382334628,5.8
mikk,1,5900,0.172501934426881,5.9
mikk,1,6000,0.172054242870694,6
mikk,1,6100,0.16933803124055,6.1
mikk,1,6200,0.171020932963039,6.2
mikk,1,6300,0.170241526462623,6.3
mikk,1,6400,0.166350112747685,6.4
mikk,1,6500,0.167968906913555,6.5
mikk,1,6600,0.16645233750514,6.6
mikk,1,6700,0.165700462952123,6.7
mikk,1,6800,0.164137010326927,6.8
mikk,1,6900,0.164897866035576,6.9
mikk,1,7000,0.163509220890523,7
mikk,1,7100,0.162755403617635,7.1
mikk,1,7200,0.161821147294523,7.2
mikk,1,7300,0.161757285594943,7.3
mikk,1,7400,0.159229593913848,7.4
mikk,1,7500,0.158441109425083,7.5
mikk,1,7600,0.158608229926198,7.6
mikk,1,7700,0.158358941537328,7.7
mikk,1,7800,0.157590158138133,7.8
mikk,1,7900,0.157242130287202,7.9
mikk,1,8000,0.155410901108233,8
mikk,1,8100,0.154692256624756,8.1
mikk,1,8200,0.159016713902283,8.2
mikk,1,8300,0.156580017245217,8.3
mikk,1,8400,0.156327177150557,8.4
mikk,1,8500,0.153488469718074,8.5
mikk,1,8600,0.155614790288961,8.6
mikk,1,8700,0.154814169095176,8.7
mikk,1,8800,0.15309202634857,8.8
mikk,1,8900,0.150928807946071,8.9
mikk,1,9000,0.151386174877691,9
mikk,1,9100,0.150524081277089,9.1
mikk,1,9200,0.149017063407842,9.2
mikk,1,9300,0.149986670410611,9.3
mikk,1,9400,0.15028402970327,9.4
mikk,1,9500,0.150276005711517,9.5
mikk,1,9600,0.148271770996822,9.6
mikk,1,9700,0.149826086617086,9.7
mikk,1,9800,0.147304658609796,9.8
mikk,1,9900,0.146035990651427,9.9
mikk,2,0,0.393975257682662,0
mikk,2,100,0.302664804893035,0.1
mikk,2,200,0.285333791705215,0.2
mikk,2,300,0.268781481132121,0.3
mikk,2,400,0.260951747077487,0.4
mikk,2,500,0.251198509398321,0.5
mikk,2,600,0.239977398109223,0.6
mikk,2,700,0.232012997740052,0.7
mikk,2,800,0.227880606547874,0.8
mikk,2,900,0.218116664644065,0.9
mikk,2,1000,0.210553963127307,1
mikk,2,1100,0.206164924067694,1.1
mikk,2,1200,0.201713457293753,1.2
mikk,2,1300,0.197944703609016,1.3
mikk,2,1400,0.190630666949694,1.4
mikk,2,1500,0.189237274668938,1.5
mikk,2,1600,0.185308780714384,1.6
mikk,2,1700,0.182864560974705,1.7
mikk,2,1800,0.178378761835924,1.8
mikk,2,1900,0.17534453008474,1.9
mikk,2,2000,0.173318010239462,2
mikk,2,2100,0.167796724714341,2.1
mikk,2,2200,0.166366873916467,2.2
mikk,2,2300,0.161763421071701,2.3
mikk,2,2400,0.157277402602158,2.4
mikk,2,2500,0.155492702116245,2.5
mikk,2,2600,0.155058592625769,2.6
mikk,2,2700,0.152164200203582,2.7
mikk,2,2800,0.149163514582043,2.8
mikk,2,2900,0.147815706811626,2.9
mikk,2,3000,0.146490024725591,3
mikk,2,3100,0.145421720441817,3.1
mikk,2,3200,0.144191936547141,3.2
mikk,2,3300,0.141397463567517,3.3
mikk,2,3400,0.140157184543484,3.4
mikk,2,3500,0.135806693667703,3.5
mikk,2,3600,0.133192946248906,3.6
mikk,2,3700,0.130936387086938,3.7
mikk,2,3800,0.130840594383872,3.8
mikk,2,3900,0.1293019473604,3.9
mikk,2,4000,0.128069047232172,4
mikk,2,4100,0.125663315453607,4.1
mikk,2,4200,0.124379730888157,4.2
mikk,2,4300,0.121881014331623,4.3
mikk,2,4400,0.120815802514622,4.4
mikk,2,4500,0.11923974017332,4.5
mikk,2,4600,0.117940163308233,4.6
mikk,2,4700,0.114783880232569,4.7
mikk,2,4800,0.115286759554374,4.8
mikk,2,4900,0.116220016299528,4.9
mikk,2,5000,0.114120831639242,5
mikk,2,5100,0.114527834919366,5.1
mikk,2,5200,0.114593347466233,5.2
mikk,2,5300,0.113264772741555,5.3
mikk,2,5400,0.111590716802171,5.4
mikk,2,5500,0.11030206374176,5.5
mikk,2,5600,0.110717846379835,5.6
mikk,2,5700,0.109654896248563,5.7
mikk,2,5800,0.108746777038213,5.8
mikk,2,5900,0.108422475370303,5.9
mikk,2,6000,0.108956571736293,6
mikk,2,6100,0.107327084915917,6.1
mikk,2,6200,0.106061435633232,6.2
mikk,2,6300,0.105893106027505,6.3
mikk,2,6400,0.104559074974859,6.4
mikk,2,6500,0.102774667664346,6.5
mikk,2,6600,0.10260089076078,6.6
mikk,2,6700,0.101487087530789,6.7
mikk,2,6800,0.102315079957447,6.8
mikk,2,6900,0.0999543015130585,6.9
mikk,2,7000,0.0990097986227549,7
mikk,2,7100,0.0990566383907007,7.1
mikk,2,7200,0.0989320280573269,7.2
mikk,2,7300,0.0978987485209549,7.3
mikk,2,7400,0.0958067017917288,7.4
mikk,2,7500,0.0946576962848221,7.5
mikk,2,7600,0.0951378037684502,7.6
mikk,2,7700,0.0934159174626209,7.7
mikk,2,7800,0.0933362651472587,7.8
mikk,2,7900,0.0928924140200273,7.9
mikk,2,8000,0.0935876272648283,8
mikk,2,8100,0.0915319748577351,8.1
mikk,2,8200,0.09008268021096,8.2
mikk,2,8300,0.0908103745532365,8.3
mikk,2,8400,0.0895291803530322,8.4
mikk,2,8500,0.0889732221799178,8.5
mikk,2,8600,0.0876842129198093,8.6
mikk,2,8700,0.0872406024308311,8.7
mikk,2,8800,0.0858589492623324,8.8
mikk,2,8900,0.0844242976347952,8.9
mikk,2,9000,0.0835375967471233,9
mikk,2,9100,0.0844528218817014,9.1
mikk,2,9200,0.0840473258213879,9.2
mikk,2,9300,0.0828772752302339,9.3
mikk,2,9400,0.0835451835392195,9.4
mikk,2,9500,0.0832171310877261,9.5
mikk,2,9600,0.0827521602296595,9.6
mikk,2,9700,0.0825211062039994,9.7
mikk,2,9800,0.0803619162702892,9.8
mikk,2,9900,0.0800318472092775,9.9
mikk,3,0,0.457069456301101,0
mikk,3,100,0.32960218798704,0.1
mikk,3,200,0.310747053150301,0.2
mikk,3,300,0.299698798405749,0.3
mikk,3,400,0.294621145794967,0.4
mikk,3,500,0.287719836718374,0.5
mikk,3,600,0.283364195641109,0.6
mikk,3,700,0.274139742302047,0.7
mikk,3,800,0.267577843975527,0.8
mikk,3,900,0.264686296157624,0.9
mikk,3,1000,0.259314789271742,1
mikk,3,1100,0.250242371771818,1.1
mikk,3,1200,0.245264990054523,1.2
mikk,3,1300,0.243071158389706,1.3
mikk,3,1400,0.240976668324228,1.4
mikk,3,1500,0.235445744018089,1.5
mikk,3,1600,0.234968747427849,1.6
mikk,3,1700,0.229486178176875,1.7
mikk,3,1800,0.223317076252442,1.8
mikk,3,1900,0.218876106102606,1.9
mikk,3,2000,0.218248154470074,2
mikk,3,2100,0.213919142597745,2.1
mikk,3,2200,0.208943404445888,2.2
mikk,3,2300,0.203052054175094,2.3
mikk,3,2400,0.202563228844177,2.4
mikk,3,2500,0.196525180702862,2.5
mikk,3,2600,0.194420412863333,2.6
mikk,3,2700,0.190881083514841,2.7
mikk,3,2800,0.190757626482417,2.8
mikk,3,2900,0.188092947303235,2.9
mikk,3,3000,0.18671074802784,3
mikk,3,3100,0.185418795399389,3.1
mikk,3,3200,0.179895512991184,3.2
mikk,3,3300,0.18166770594091,3.3
mikk,3,3400,0.177625294937922,3.4
mikk,3,3500,0.179042126248114,3.5
mikk,3,3600,0.175772945678352,3.6
mikk,3,3700,0.174370748297164,3.7
mikk,3,3800,0.170369332946874,3.8
mikk,3,3900,0.169778425176688,3.9
mikk,3,4000,0.165831600566961,4
mikk,3,4100,0.164991761478727,4.1
mikk,3,4200,0.163002394496937,4.2
mikk,3,4300,0.1646951306531,4.3
mikk,3,4400,0.162097486016077,4.4
mikk,3,4500,0.160218752629645,4.5
mikk,3,4600,0.158947681784124,4.6
mikk,3,4700,0.158543298479472,4.7
mikk,3,4800,0.157074662330728,4.8
mikk,3,4900,0.156655212286587,4.9
mikk,3,5000,0.154879789307805,5
mikk,3,5100,0.154975433448329,5.1
mikk,3,5200,0.15326949099311,5.2
mikk,3,5300,0.152837152461511,5.3
mikk,3,5400,0.151901212978329,5.4
mikk,3,5500,0.151189830851892,5.5
mikk,3,5600,0.147528200153531,5.6
mikk,3,5700,0.145554283120379,5.7
mikk,3,5800,0.145691792504791,5.8
mikk,3,5900,0.143637342377262,5.9
mikk,3,6000,0.141705917607797,6
mikk,3,6100,0.144418462113034,6.1
mikk,3,6200,0.145718962429398,6.2
mikk,3,6300,0.143700794324331,6.3
mikk,3,6400,0.139981755443478,6.4
mikk,3,6500,0.140245006650216,6.5
mikk,3,6600,0.143016074590588,6.6
mikk,3,6700,0.138822456075991,6.7
mikk,3,6800,0.140841520895047,6.8
mikk,3,6900,0.139412869252237,6.9
mikk,3,7000,0.139333293730117,7
mikk,3,7100,0.138540560253951,7.1
mikk,3,7200,0.135918976070273,7.2
mikk,3,7300,0.132663664865602,7.3
mikk,3,7400,0.131602711812221,7.4
mikk,3,7500,0.134905485940675,7.5
mikk,3,7600,0.134101553112244,7.6
mikk,3,7700,0.133230519890514,7.7
mikk,3,7800,0.135155139422804,7.8
mikk,3,7900,0.138545497894373,7.9
mikk,3,8000,0.136705912680082,8
mikk,3,8100,0.13600811082444,8.1
mikk,3,8200,0.137092959634682,8.2
mikk,3,8300,0.135359167306024,8.3
mikk,3,8400,0.13281796253665,8.4
mikk,3,8500,0.131977460201585,8.5
mikk,3,8600,0.128422446735362,8.6
mikk,3,8700,0.131093109467843,8.7
mikk,3,8800,0.131104749177981,8.8
mikk,3,8900,0.131491341939032,8.9
mikk,3,9000,0.12924201482663,9
mikk,3,9100,0.12966020410673,9.1
mikk,3,9200,0.132328151483721,9.2
mikk,3,9300,0.129964954925857,9.3
mikk,3,9400,0.13072090001857,9.4
mikk,3,9500,0.127706434094165,9.5
mikk,3,9600,0.127024664689484,9.6
mikk,3,9700,0.126856072057527,9.7
mikk,3,9800,0.125818206449869,9.8
mikk,3,9900,0.122230811311607,9.9
mikk,4,0,0.498945106120772,0
mikk,4,100,0.381674579889837,0.1
mikk,4,200,0.364640216805336,0.2
mikk,4,300,0.354752482285433,0.3
mikk,4,400,0.348477649151918,0.4
mikk,4,500,0.348434938153706,0.5
mikk,4,600,0.342776109560794,0.6
mikk,4,700,0.338616136925425,0.7
mikk,4,800,0.333323734828851,0.8
mikk,4,900,0.333074722965512,0.9
mikk,4,1000,0.330675737320448,1
mikk,4,1100,0.320413512411262,1.1
mikk,4,1200,0.311566468369394,1.2
mikk,4,1300,0.308156042024673,1.3
mikk,4,1400,0.303856483422573,1.4
mikk,4,1500,0.296891667509738,1.5
mikk,4,1600,0.293185398874601,1.6
mikk,4,1700,0.286671890355535,1.7
mikk,4,1800,0.282250239875177,1.8
mikk,4,1900,0.281804084279614,1.9
mikk,4,2000,0.272761902332375,2
mikk,4,2100,0.272441439329897,2.1
mikk,4,2200,0.265077305889571,2.2
mikk,4,2300,0.261504148295929,2.3
mikk,4,2400,0.256785750958755,2.4
mikk,4,2500,0.259576957311008,2.5
mikk,4,2600,0.256132935796188,2.6
mikk,4,2700,0.253102229760279,2.7
mikk,4,2800,0.249896920811769,2.8
mikk,4,2900,0.248431840949487,2.9
mikk,4,3000,0.241171810389435,3
mikk,4,3100,0.241502641029401,3.1
mikk,4,3200,0.237387092448248,3.2
mikk,4,3300,0.235301424772774,3.3
mikk,4,3400,0.234471775459073,3.4
mikk,4,3500,0.231535107814066,3.5
mikk,4,3600,0.226556596299393,3.6
mikk,4,3700,0.2244595828331,3.7
mikk,4,3800,0.221184979737649,3.8
mikk,4,3900,0.21602502325986,3.9
mikk,4,4000,0.210645321844524,4
mikk,4,4100,0.204432508012419,4.1
mikk,4,4200,0.200848591635043,4.2
mikk,4,4300,0.198677058240658,4.3
mikk,4,4400,0.197664175804792,4.4
mikk,4,4500,0.19823118024936,4.5
mikk,4,4600,0.192610609230519,4.6
mikk,4,4700,0.187955487428981,4.7
mikk,4,4800,0.186940723211443,4.8
mikk,4,4900,0.184280877517633,4.9
mikk,4,5000,0.181940508588708,5
mikk,4,5100,0.18417965025174,5.1
mikk,4,5200,0.180326553220311,5.2
mikk,4,5300,0.179471509551583,5.3
mikk,4,5400,0.176328176152303,5.4
mikk,4,5500,0.176483949532455,5.5
mikk,4,5600,0.174383035209221,5.6
mikk,4,5700,0.170959190467494,5.7
mikk,4,5800,0.167867970060056,5.8
mikk,4,5900,0.170395494814798,5.9
mikk,4,6000,0.167914387457447,6
