chr,bin_bdr,mean,bin_bdr_kb
1,0,0.478461280561537,0
1,100,0.355646415634767,0.1
1,200,0.336448769687764,0.2
1,300,0.324743195319505,0.3
1,400,0.316991242940589,0.4
1,500,0.31316945659878,0.5
1,600,0.305142903074309,0.6
1,700,0.297960732349635,0.7
1,800,0.291391523085566,0.8
1,900,0.28460283509436,0.9
1,1000,0.280494145013202,1
2,0,0.393975257682662,0
2,100,0.302664804893035,0.1
2,200,0.285333791705215,0.2
2,300,0.268781481132121,0.3
2,400,0.260951747077487,0.4
2,500,0.251198509398321,0.5
2,600,0.239977398109223,0.6
2,700,0.232012997740052,0.7
2,800,0.227880606547874,0.8
2,900,0.218116664644065,0.9
2,1000,0.210553963127307,1
3,0,0.457069456301101,0
3,100,0.32960218798704,0.1
3,200,0.310747053150301,0.2
3,300,0.299698798405749,0.3
3,400,0.294621145794967,0.4
3,500,0.287719836718374,0.5
3,600,0.283364195641109,0.6
3,700,0.274139742302047,0.7
3,800,0.267577843975527,0.8
3,900,0.264686296157624,0.9
3,1000,0.259314789271742,1
4,0,0.498945106120772,0
4,100,0.381674579889837,0.1
4,200,0.364640216805336,0.2
4,300,0.354752482285433,0.3
4,400,0.348477649151918,0.4
4,500,0.348434938153706,0.5
4,600,0.342776109560794,0.6
4,700,0.338616136925425,0.7
4,800,0.333323734828851,0.8
4,900,0.333074722965512,0.9
4,1000,0.330675737320448,1
5,0,0.471488908417679,0
5,100,0.327923567641907,0.1
5,200,0.310077062673696,0.2
5,300,0.299842163749909,0.3
5,400,0.29144152811613,0.4
5,500,0.287401440825807,0.5
5,600,0.282898630072958,0.6
5,700,0.275585665099519,0.7
5,800,0.268274615832184,0.8
5,900,0.264200416905575,0.9
5,1000,0.261391125809282,1
6,0,0.488245071977496,0
6,100,0.361878761514837,0.1
6,200,0.344028262594426,0.2
6,300,0.34006710589884,0.3
6,400,0.339812891687945,0.4
6,500,0.339088743367491,0.5
6,600,0.332792464673867,0.6
6,700,0.328423681854861,0.7
6,800,0.323442275709746,0.8
6,900,0.31843346500859,0.9
6,1000,0.317772315788409,1
7,0,0.500240882610284,0
7,100,0.38029881344646,0.1
7,200,0.365154265408252,0.2
7,300,0.354965288322233,0.3
7,400,0.3526615357193,0.4
7,500,0.347015008686602,0.5
7,600,0.338992795101566,0.6
7,700,0.334581137933067,0.7
7,800,0.329116602036347,0.8
7,900,0.321674453722055,0.9
7,1000,0.318506900088304,1
8,0,0.511197224238197,0
8,100,0.390215834400772,0.1
8,200,0.371362111212266,0.2
8,300,0.357850542146778,0.3
8,400,0.347072171161976,0.4
8,500,0.342050804316407,0.5
8,600,0.333521347647008,0.6
8,700,0.328734474959603,0.7
8,800,0.317799232575382,0.8
8,900,0.30786954987132,0.9
8,1000,0.302297885238524,1
9,0,0.482594042602318,0
9,100,0.356990501101024,0.1
9,200,0.340446354596426,0.2
9,300,0.326527418835639,0.3
9,400,0.32298447630225,0.4
9,500,0.315970748942706,0.5
9,600,0.313926722466889,0.6
