P1	P2	chr	d_stat	z_score	admix_f	f_ci_lower	f_ci_upper
HdrR	HNI	all	-0.770880469055354	-53.5517868314081	-1.87748646528521	-2.11779783332521	-1.6371750972452
HdrR	HNI	1	-0.868376157957604	-29.322192854921	-3.51654337738253	-3.22262509742877	-0.532347833141636
HdrR	HNI	2	-0.786253190767001	-10.5572769875463	-2.86987208144707	-4.01181558515505	0.256842654584643
HdrR	HNI	3	-0.569156553076428	-6.32264708595155	-0.717845226861995	-2.2826357146382	-1.47233721593221
HdrR	HNI	4	-0.85730537494201	-25.2865127497915	-3.05812481498912	-3.2398320611162	-0.515140869454207
HdrR	HNI	5	-0.692748761756911	-8.13430657752392	-1.01404589269867	-2.51110868133335	-1.24386424923706
HdrR	HNI	6	-0.574793710857154	-6.69780758397289	-0.755836661037636	-2.30451226158904	-1.45046066898137
HdrR	HNI	7	-0.517616617862055	-6.40362276125499	-0.54531128015517	-2.11718021442068	-1.63779271614973
HdrR	HNI	8	-0.773301427740438	-9.96286464268268	-1.68125037302356	-3.05016244593694	-0.704810484633468
HdrR	HNI	9	-0.589345305682494	-4.99478959023479	-0.914509833187422	-2.60882888483317	-1.14614404573724
HdrR	HNI	10	-0.932131193860307	-70.6230860266793	-6.33788376573558	-4.01826217171963	0.263289241149217
HdrR	HNI	11	-0.535065093188389	-4.43509844871692	-0.637566296813956	-2.43176826056073	-1.32320467000968
HdrR	HNI	12	-0.825998204617616	-26.1152635611197	-2.44565453988274	-3.24766234110357	-0.507310589466844
HdrR	HNI	13	-0.506136985015088	-4.53055774267553	-0.639922040542714	-2.33451220352663	-1.42046072704378
HdrR	HNI	14	-0.878384718078483	-32.6686674419626	-3.45489733427396	-3.61197127534541	-0.143001655225004
HdrR	HNI	15	-0.735947662582613	-10.4543313590842	-1.65610869526602	-2.76789017140635	-0.987082759164062
HdrR	HNI	16	-0.66992552633405	-9.96833118899065	-1.14633444436209	-2.42020514130867	-1.33476778926174
HdrR	HNI	17	-0.874932080330913	-14.5517404010273	-2.97529642707369	-4.13395955461039	0.378986624039977
HdrR	HNI	18	-0.710383091520415	-6.2999733272818	-1.82481178948085	-3.37964059896699	-0.375332331603421
HdrR	HNI	19	-0.657725955755093	-10.8337779859931	-1.28997469904168	-2.52323980195087	-1.23173312861954
HdrR	HNI	20	-0.632335334062804	-4.31447037960073	-0.963638512304778	-2.80183962420117	-0.953133306369244
HdrR	HNI	21	-0.888960326590661	-38.2261656307706	-3.65595164112214	-3.69245074993428	-0.0625221806361254
HdrR	HNI	22	-0.583562049395346	-8.17409227856954	-0.632960114182985	-2.19834326149726	-1.55662966907315
HdrR	HNI	23	-0.783258315364054	-10.602074082683	-2.49429445377029	-3.46540602408933	-0.28956690648108
HdrR	HNI	24	-0.850344205252259	-18.1651595654175	-2.80711974336618	-3.67328097445896	-0.081691956111452
HdrR	HSOK	all	-0.790649975972568	-57.5725869237592	-1.8528038486662	-2.08846514746051	-1.6171425498719
HdrR	HSOK	1	-0.855922459533558	-23.4758680707044	-2.94540562423566	-3.21024398748058	-0.495363709851825
HdrR	HSOK	2	-0.885918950678014	-36.5661644953486	-4.07350152929298	-3.99772734119648	0.292119643864073
HdrR	HSOK	3	-0.54803049394422	-4.57042433863336	-0.667868813217472	-2.32767968406646	-1.37792801326594
HdrR	HSOK	4	-0.869233206402673	-32.7116948316604	-2.78198173380711	-3.03244253763019	-0.673165159702216
HdrR	HSOK	5	-0.697524237499633	-10.0298837876397	-1.01068586165972	-2.3865749685413	-1.31903272879111
HdrR	HSOK	6	-0.688820308784512	-9.56474443771514	-0.956125696776694	-2.44519740316078	-1.26041029417163
HdrR	HSOK	7	-0.323452583250709	-2.33941826301256	-0.298095271550393	-2.14756612668872	-1.55804157064368
HdrR	HSOK	8	-0.709271314112273	-10.1395235794096	-1.31126827097907	-2.58711952196589	-1.11848817536651
HdrR	HSOK	9	-0.587114415249549	-5.09367959210049	-0.900134139935476	-2.55661330430908	-1.14899439302333
HdrR	HSOK	10	-0.879005413355163	-24.337294324758	-4.28444954870703	-3.80391430023707	0.0983066029046618
HdrR	HSOK	11	-0.539403443874175	-5.83320040630022	-0.727044326491391	-2.29288627497394	-1.41272142235847
HdrR	HSOK	12	-0.822246694654435	-22.2465397011921	-2.24993966019554	-2.98751804800142	-0.718089649330984
HdrR	HSOK	13	-0.659204698570983	-6.13953891304587	-0.895892434489867	-2.52381026803793	-1.18179742929447
HdrR	HSOK	14	-0.880010902636647	-21.6550890271572	-3.33141999771713	-3.58473851505792	-0.120869182274489
HdrR	HSOK	15	-0.85520157760454	-17.2262144736873	-2.24037329639778	-3.08054655905047	-0.62506113828194
HdrR	HSOK	16	-0.784907218211824	-14.7117259815834	-1.4473243081398	-2.52406903163458	-1.18153866569783
HdrR	HSOK	17	-0.846814510989187	-12.1336377873944	-2.54963751386165	-3.99195645236402	0.286348755031619
HdrR	HSOK	18	-0.737982707425907	-7.54432098853411	-1.90035018914449	-3.41226161690885	-0.293346080423559
HdrR	HSOK	19	-0.520035735532336	-3.073829081512	-0.77678905101361	-2.91018014087169	-0.79542755646072
