P1	P2	chr	d_stat	z_score	admix_f	f_ci_lower	f_ci_upper
HdrR	HNI	all	-0.785208082118859	-59.8597350012716	-1.77609347151435	-1.98769027522258	-1.56449666780612
HdrR	HNI	1	-0.852052628488078	-23.3036625147523	-2.94759125477579	-4.05017044348062	-1.84501206607097
HdrR	HNI	2	-0.784144004291329	-12.5116756038543	-2.70170071386203	-4.31821963652727	-1.08518179119678
HdrR	HNI	3	-0.606061006387331	-7.22483343907977	-0.722132637068859	-1.09490421999316	-0.349361054144555
HdrR	HNI	4	-0.857495628946147	-22.7885306525881	-2.79437095907663	-4.07624876894509	-1.51249314920816
HdrR	HNI	5	-0.719924281717141	-9.24164479567563	-1.01438711039655	-1.59030991375079	-0.43846430704232
HdrR	HNI	6	-0.653295012703305	-8.78769400989739	-0.90801333789609	-1.38180577090787	-0.434220904884311
HdrR	HNI	7	-0.576209302624201	-7.43458170892546	-0.578740175410741	-0.820189153408993	-0.337291197412489
HdrR	HNI	8	-0.780616857898534	-13.6672711652862	-1.53649830125116	-2.44226711980777	-0.630729482694548
HdrR	HNI	9	-0.655999162137033	-7.16268896481242	-0.917178053891588	-1.45561955458866	-0.378736553194518
HdrR	HNI	10	-0.945398357806042	-91.8558599414064	-5.62817027522861	-7.24234725266095	-4.01399329779627
HdrR	HNI	11	-0.494639880929735	-3.73722505944932	-0.529161113885578	-0.980363249899579	-0.0779589778715767
HdrR	HNI	12	-0.856971538618633	-37.0696503736646	-2.25354925073138	-3.44130866627195	-1.06578983519081
HdrR	HNI	13	-0.560462622449418	-6.02835863494644	-0.647193978775285	-1.03400175634665	-0.260386201203918
HdrR	HNI	14	-0.894495890728921	-41.9342029349299	-3.16086938315438	-4.73719892480904	-1.58453984149972
HdrR	HNI	15	-0.756881275803482	-11.8708004589957	-1.60805387791954	-2.44377762029773	-0.772330135541361
HdrR	HNI	16	-0.693256467804342	-11.1606273499751	-1.10935756526299	-1.58527120920355	-0.633443921322437
HdrR	HNI	17	-0.879985381524297	-14.6615838619474	-2.63099280897143	-4.57251198641333	-0.689473631529542
HdrR	HNI	18	-0.750166991711988	-8.55199121296309	-1.9215356265815	-3.27217633876731	-0.570894914395694
HdrR	HNI	19	-0.701529024368115	-14.1840724368037	-1.29608132633979	-1.87700860319619	-0.715154049483394
HdrR	HNI	20	-0.653133280042631	-5.17789480785116	-0.908537629537466	-1.64661755069037	-0.170457708384559
HdrR	HNI	21	-0.877485898331103	-27.4504113278746	-3.19510258476778	-4.76946114400935	-1.62074402552622
HdrR	HNI	22	-0.592300121782081	-6.85442781621268	-0.598679510990256	-0.931902560268322	-0.26545646171219
HdrR	HNI	23	-0.802874333217874	-12.5092989521836	-2.64451873641362	-4.18121048313889	-1.10782698968835
HdrR	HNI	24	-0.845978132801662	-18.9636950174512	-2.40719663575846	-3.85087606562068	-0.963517205896232
HdrR	HSOK	all	-0.819346295300773	-70.1081678180198	-1.89179667380604	-2.11321109908738	-1.67038224852471
HdrR	HSOK	1	-0.893504001202195	-31.1258644518913	-3.29574853151782	-4.62317054231591	-1.96832652071973
HdrR	HSOK	2	-0.891105138267162	-37.5434951130079	-3.90944309971943	-5.73488632686159	-2.08399987257728
HdrR	HSOK	3	-0.632585400889792	-6.54491539415321	-0.751054910740179	-1.17029714178134	-0.331812679699018
HdrR	HSOK	4	-0.896849503911221	-37.720220376505	-2.90425766748447	-4.15202814323568	-1.65648719173326
HdrR	HSOK	5	-0.745507328350921	-10.9654351837083	-1.06109595523995	-1.60934743530626	-0.512844475173633
HdrR	HSOK	6	-0.740870718775601	-10.6339082424566	-1.0869303465821	-1.73558308256551	-0.438277610598692
HdrR	HSOK	7	-0.456665388008942	-3.892279249535	-0.41978653567505	-0.695084685730378	-0.144488385619722
HdrR	HSOK	8	-0.726207416206365	-10.7236049934552	-1.30151837296931	-2.02950026576313	-0.573536480175488
HdrR	HSOK	9	-0.669748979205354	-7.62523428195428	-0.950032256257148	-1.4939909740847	-0.406073538429596
HdrR	HSOK	10	-0.905962508642196	-36.0433064712715	-4.50907356634656	-6.13275206840209	-2.88539506429104
HdrR	HSOK	11	-0.551829671120146	-6.7287781654662	-0.674061003967332	-1.03490657531143	-0.313215432623231
HdrR	HSOK	12	-0.789840974852275	-15.6975435851475	-1.80530001075461	-2.77755633405712	-0.833043687452093
HdrR	HSOK	13	-0.71184174304135	-8.39441345041146	-0.872175993281592	-1.38665318013875	-0.357698806424432
HdrR	HSOK	14	-0.901765990624671	-28.3339436760417	-3.20682268315063	-4.77855777958078	-1.63508758672047
HdrR	HSOK	15	-0.875567471716529	-20.1294099607414	-2.19010323113759	-3.28594220869939	-1.0942642535758
HdrR	HSOK	16	-0.802558219955364	-18.1429620732972	-1.40769275158081	-1.99404586682947	-0.821339636332141
HdrR	HSOK	17	-0.848626235135502	-12.1647741934858	-2.30631464719516	-4.2541108382634	-0.358518456126932
