# PSC, Per-sample counts. Note that the ref/het/hom counts include only SNPs, for indels see PSI. The rest include both SNPs and indels.
# PSC	[2]id	[3]sample	[4]nRefHom	[5]nNonRefHom	[6]nHets	[7]nTransitions	[8]nTransversions	[9]nIndels	[10]average depth	[11]nSingletons	[12]nHapRef	[13]nHapAlt	[14]nMissing
PSC	0	25_1	21165894	3741949	1101699	2521264	2320463	1056597	26.5	35492	0	0	1872356
PSC	0	30_1	21097944	3658199	1271636	2565569	2361970	1074746	27.4	47797	0	0	1834719
PSC	0	11_2	20720959	3151924	2407818	2894052	2660893	1219362	31.2	36424	0	0	1426198
PSC	0	13_2	21174537	3722857	1115128	2519465	2316545	1054541	25.6	52228	0	0	1874873
PSC	0	14_1	21036992	3586984	1509263	2653559	2439857	1110484	28.8	18496	0	0	1690092
PSC	0	23_1	21194358	3777516	1026454	2503274	2298885	1045270	25.2	11035	0	0	1894667
PSC	0	23_2	21113908	3652822	1275781	2565304	2360894	1078406	27.1	23794	0	0	1816813
PSC	0	31_2	21141828	3654068	1294394	2576856	2369192	1081873	29.8	28047	0	0	1761767
PSC	0	32_2	20964061	3423180	1772103	2705075	2486654	1137963	28.9	12697	0	0	1636653
PSC	0	33_1	21234948	3721143	1158417	2539765	2337646	1065618	29.7	39573	0	0	1756602
PSC	0	42_1	21161596	3742678	1148633	2549212	2339993	1068449	28.1	12666	0	0	1815667
PSC	0	43_2	21239282	3759162	1088758	2525172	2320731	1061494	30.2	20585	0	0	1788975
PSC	0	47_1	21180833	3770180	1124482	2549004	2343626	1065401	28.6	27763	0	0	1795367
PSC	0	49_2	21116406	3715885	1266291	2594745	2385094	1087143	29.5	31633	0	0	1746424
PSC	0	50_2	21182150	3771484	1087993	2530357	2327164	1058879	28.7	25058	0	0	1836341
PSC	0	51_2	21139794	3703590	1218299	2562478	2357144	1073491	28.6	30785	0	0	1801604
PSC	0	53_2	21211171	3771868	1053168	2512740	2310402	1052582	27.5	23998	0	0	1849047
PSC	0	55_2	21117595	3669679	1327457	2601404	2393182	1093141	29.8	33124	0	0	1726112
PSC	0	56_1	21196522	3727206	1189236	2560745	2353442	1075143	31.5	35853	0	0	1747852
PSC	0	58_2	20900097	3406502	1827977	2724931	2506111	1142627	26.5	16935	0	0	1656306
PSC	0	84_2	21014305	3582462	1484971	2637936	2426659	1110212	29.7	14239	0	0	1741319
PSC	0	94_1	21082596	3625480	1417791	2625628	2414993	1102515	30.7	22238	0	0	1706083
PSC	0	95_1	21185626	3740324	1180742	2563520	2355390	1075134	29.7	15611	0	0	1751911
PSC	0	117_1	20885890	3372638	1970239	2780193	2558860	1171880	32.4	27387	0	0	1530469
PSC	0	129_1	21118332	3676045	1331074	2608222	2396329	1091400	28.6	20703	0	0	1719050
PSC	0	70_2	20654398	3159105	2494235	2943404	2704941	1248034	37.0	27686	0	0	1366486
PSC	0	71_1	19652667	2806295	734734	1837399	1702863	691163	4.3	21189	0	0	5153916
PSC	0	72_1	20896339	3438728	1880117	2770240	2544687	1170592	34.8	21698	0	0	1541829
PSC	0	72_2	21197911	3716000	1281533	2602629	2392441	1096399	37.8	22181	0	0	1641013
PSC	0	75_1	21184250	3716355	1285131	2605438	2393635	1095671	34.6	35751	0	0	1650587
PSC	0	14_2	21059007	3660827	1372464	2621763	2409046	1093170	29.3	24428	0	0	1750589
PSC	0	17_1	20839964	3349938	1963342	2765449	2543912	1160028	27.7	12943	0	0	1619708
PSC	0	18_2	21130871	3668708	1329523	2601331	2394521	1086516	29.6	28972	0	0	1718746
PSC	0	21_2	20950188	3515572	1594313	2660334	2446508	1108119	24.7	20618	0	0	1769336
PSC	0	22_1	21161347	3663830	1266672	2566808	2361297	1072585	26.7	16689	0	0	1775214
PSC	0	38_2	21227720	3693422	1219192	2557683	2352586	1069425	28.2	26721	0	0	1729415
PSC	0	39_1	21177650	3733937	1217232	2578052	2370818	1077127	31.8	17969	0	0	1729875
PSC	0	39_2	21047656	3571394	1499882	2640206	2428165	1103446	29.5	17458	0	0	1715057
PSC	0	40_1	21156212	3694907	1194474	2546943	2340317	1062216	26.2	14305	0	0	1832282
PSC	0	40_2	21120285	3603634	1430067	2621316	2409784	1095244	29.8	17054	0	0	1687154
PSC	0	59_1	21234419	3763541	1077072	2520702	2318021	1056193	30.0	16509	0	0	1806522
PSC	0	59_2	21129741	3665167	1258322	2564702	2356516	1070450	26.3	17984	0	0	1816741
PSC	0	61_1	21156731	3665098	1295951	2583426	2375176	1078938	30.0	14934	0	0	1742490
PSC	0	62_2	21193508	3715806	1219430	2569993	2362959	1073571	32.1	23962	0	0	1736654
PSC	0	69_2	21224458	3761017	1070059	2515792	2313288	1053251	28.9	37912	0	0	1831302
PSC	0	Ho5_1	22473925	3289190	749744	2101724	1936350	873545	30.5	47561	0	0	1588173
PSC	0	Ho5_2	22454615	3274881	712539	2074663	1911903	860479	25.9	37555	0	0	1675438
PSC	0	iCab_F24	21520018	2388167	2684815	2637524	2432553	1093276	28.8	140195	0	0	1268756
PSC	0	iCab_2F2	21893201	2707805	2060020	2480272	2285160	1029744	34.2	175543	0	0	1268465
PSC	0	iCab_HD	21436906	2170685	1821082	2075230	1915221	783711	6.3	157031	0	0	2811540
PSC	0	66_1	21287685	3726260	1138476	2531048	2331751	1046948	32.4	17505	0	0	1733988
PSC	0	91_1	21340227	3759540	1008154	2480648	2285431	1020076	25.6	28300	0	0	1810506
PSC	0	104_1	21235552	3679562	1178551	2526683	2329388	1042466	25.1	14787	0	0	1800865
PSC	0	106_1	21148009	3558860	1488061	2626223	2418010	1086454	27.3	28954	0	0	1652237
PSC	0	106_2	21139120	3544422	1514093	2630843	2424820	1091539	27.9	20502	0	0	1643408
PSC	0	141_3	21277883	3701166	1159056	2527621	2330711	1040495	26.3	15609	0	0	1759292
PSC	0	4_1	21293246	3725513	1113388	2517032	2319888	1039299	29.3	39982	0	0	1763973
PSC	0	131_2	21344534	3796252	948818	2469158	2274439	1016141	26.6	16448	0	0	1831485
PSC	0	131_4	21262731	3731388	1132382	2531540	2330399	1043031	27.5	14235	0	0	1765604
PSC	0	133_2	21223020	3663763	1288261	2577286	2372523	1063299	28.5	34244	0	0	1694044
PSC	0	4_2	21188834	3607113	1360671	2583002	2382327	1068141	27.0	30598	0	0	1709384
PSC	0	5_1	21145194	3519151	1532048	2626209	2422218	1088367	26.4	31862	0	0	1650895
