GENERATION,STRAIN,FEMALE_COUNT,DATE,WEEKDAY,EGG_COUNT,EGGS_PER_FEMALE
F15,4-1,,2020-07-02,Thursday,,
F15,4-1,,2020-07-03,Friday,,
F15,4-1,,2020-07-21,Tuesday,,
F15,4-1,,2020-07-23,Thursday,,
F15,4-1,,2020-07-28,Tuesday,,
F15,4-1,,2020-07-30,Thursday,,
F15,4-2,3,2020-07-02,Thursday,0,0
F15,4-2,3,2020-07-03,Friday,12,4
F15,4-2,3,2020-07-21,Tuesday,0,0
F15,4-2,3,2020-07-23,Thursday,0,0
F15,4-2,3,2020-07-28,Tuesday,3,1
F15,4-2,3,2020-07-30,Thursday,4,1.3333333333333333
F15,5-1,7,2020-07-02,Thursday,,
F15,5-1,7,2020-07-03,Friday,,
F15,5-1,7,2020-07-21,Tuesday,,
F15,5-1,7,2020-07-23,Thursday,,
F15,5-1,7,2020-07-28,Tuesday,,
F15,5-1,7,2020-07-30,Thursday,,
F15,7-2,1,2020-07-02,Thursday,,
F15,7-2,1,2020-07-03,Friday,,
F15,7-2,1,2020-07-21,Tuesday,,
F15,7-2,1,2020-07-23,Thursday,,
F15,7-2,1,2020-07-28,Tuesday,,
F15,7-2,1,2020-07-30,Thursday,,
F15,8-2,,2020-07-02,Thursday,8,
F15,8-2,,2020-07-03,Friday,0,
F15,8-2,,2020-07-21,Tuesday,0,
F15,8-2,,2020-07-23,Thursday,0,
F15,8-2,,2020-07-28,Tuesday,4,
F15,8-2,,2020-07-30,Thursday,0,
F15,10-1,8,2020-07-02,Thursday,,
F15,10-1,8,2020-07-03,Friday,,
F15,10-1,8,2020-07-21,Tuesday,,
F15,10-1,8,2020-07-23,Thursday,,
F15,10-1,8,2020-07-28,Tuesday,,
F15,10-1,8,2020-07-30,Thursday,,
F15,11-1,7,2020-07-02,Thursday,,
F15,11-1,7,2020-07-03,Friday,,
F15,11-1,7,2020-07-21,Tuesday,,
F15,11-1,7,2020-07-23,Thursday,,
F15,11-1,7,2020-07-28,Tuesday,,
F15,11-1,7,2020-07-30,Thursday,,
F15,11-2,9,2020-07-02,Thursday,2,0.2222222222222222
F15,11-2,9,2020-07-03,Friday,2,0.2222222222222222
F15,11-2,9,2020-07-21,Tuesday,0,0
F15,11-2,9,2020-07-23,Thursday,0,0
F15,11-2,9,2020-07-28,Tuesday,3,0.3333333333333333
F15,11-2,9,2020-07-30,Thursday,7,0.7777777777777778
F15,13-2,4,2020-07-02,Thursday,,
F15,13-2,4,2020-07-03,Friday,,
F15,13-2,4,2020-07-21,Tuesday,,
F15,13-2,4,2020-07-23,Thursday,,
F15,13-2,4,2020-07-28,Tuesday,,
F15,13-2,4,2020-07-30,Thursday,,
F15,14-1,8,2020-07-02,Thursday,,
F15,14-1,8,2020-07-03,Friday,,
F15,14-1,8,2020-07-21,Tuesday,,
F15,14-1,8,2020-07-23,Thursday,,
F15,14-1,8,2020-07-28,Tuesday,,
F15,14-1,8,2020-07-30,Thursday,,
F15,14-2,4,2020-07-02,Thursday,,
F15,14-2,4,2020-07-03,Friday,,
F15,14-2,4,2020-07-21,Tuesday,,
F15,14-2,4,2020-07-23,Thursday,,
F15,14-2,4,2020-07-28,Tuesday,,
F15,14-2,4,2020-07-30,Thursday,,
F15,15-1,4,2020-07-02,Thursday,0,0
F15,15-1,4,2020-07-03,Friday,4,1
F15,15-1,4,2020-07-21,Tuesday,0,0
F15,15-1,4,2020-07-23,Thursday,0,0
F15,15-1,4,2020-07-28,Tuesday,0,0
F15,15-1,4,2020-07-30,Thursday,1,0.25
F15,17-1,5,2020-07-02,Thursday,18,3.6
F15,17-1,5,2020-07-03,Friday,18,3.6
F15,17-1,5,2020-07-21,Tuesday,0,0
F15,17-1,5,2020-07-23,Thursday,9,1.8
F15,17-1,5,2020-07-28,Tuesday,13,2.6
F15,17-1,5,2020-07-30,Thursday,36,7.2
F15,18-2,,2020-07-02,Thursday,3,
F15,18-2,,2020-07-03,Friday,7,
F15,18-2,,2020-07-21,Tuesday,5,
F15,18-2,,2020-07-23,Thursday,6,
F15,18-2,,2020-07-28,Tuesday,6,
F15,18-2,,2020-07-30,Thursday,3,
F15,20-1,2,2020-07-02,Thursday,,
F15,20-1,2,2020-07-03,Friday,,
F15,20-1,2,2020-07-21,Tuesday,,
F15,20-1,2,2020-07-23,Thursday,,
F15,20-1,2,2020-07-28,Tuesday,,
F15,20-1,2,2020-07-30,Thursday,,
F15,21-2,7,2020-07-02,Thursday,,
F15,21-2,7,2020-07-03,Friday,,
F15,21-2,7,2020-07-21,Tuesday,,
F15,21-2,7,2020-07-23,Thursday,,
F15,21-2,7,2020-07-28,Tuesday,,
F15,21-2,7,2020-07-30,Thursday,,
F15,22-1,2,2020-07-02,Thursday,,
F15,22-1,2,2020-07-03,Friday,,
F15,22-1,2,2020-07-21,Tuesday,,
F15,22-1,2,2020-07-23,Thursday,,
F15,22-1,2,2020-07-28,Tuesday,,
F15,22-1,2,2020-07-30,Thursday,,
F15,23-1,4,2020-07-02,Thursday,,
F15,23-1,4,2020-07-03,Friday,,
F15,23-1,4,2020-07-21,Tuesday,,
F15,23-1,4,2020-07-23,Thursday,,
F15,23-1,4,2020-07-28,Tuesday,,
F15,23-1,4,2020-07-30,Thursday,,
F15,23-2,2,2020-07-02,Thursday,,
F15,23-2,2,2020-07-03,Friday,,
F15,23-2,2,2020-07-21,Tuesday,,
F15,23-2,2,2020-07-23,Thursday,,
F15,23-2,2,2020-07-28,Tuesday,,
F15,23-2,2,2020-07-30,Thursday,,
F15,25-1,4,2020-07-02,Thursday,,
F15,25-1,4,2020-07-03,Friday,,
F15,25-1,4,2020-07-21,Tuesday,,
F15,25-1,4,2020-07-23,Thursday,,
F15,25-1,4,2020-07-28,Tuesday,,
F15,25-1,4,2020-07-30,Thursday,,
F15,29-1,3,2020-07-02,Thursday,,
F15,29-1,3,2020-07-03,Friday,,
F15,29-1,3,2020-07-21,Tuesday,,
F15,29-1,3,2020-07-23,Thursday,,
F15,29-1,3,2020-07-28,Tuesday,,
F15,29-1,3,2020-07-30,Thursday,,
F15,30-1,2,2020-07-02,Thursday,0,0
F15,30-1,2,2020-07-03,Friday,5,2.5
F15,30-1,2,2020-07-21,Tuesday,10,5
F15,30-1,2,2020-07-23,Thursday,8,4
F15,30-1,2,2020-07-28,Tuesday,9,4.5
F15,30-1,2,2020-07-30,Thursday,0,0
F15,32-2,4,2020-07-02,Thursday,,
F15,32-2,4,2020-07-03,Friday,,
F15,32-2,4,2020-07-21,Tuesday,,
F15,32-2,4,2020-07-23,Thursday,,
F15,32-2,4,2020-07-28,Tuesday,,
F15,32-2,4,2020-07-30,Thursday,,
F15,33-1,2,2020-07-02,Thursday,0,0
F15,33-1,2,2020-07-03,Friday,30,15
F15,33-1,2,2020-07-21,Tuesday,19,9.5
F15,33-1,2,2020-07-23,Thursday,12,6
F15,33-1,2,2020-07-28,Tuesday,,
F15,33-1,2,2020-07-30,Thursday,,
F15,38-2,,2020-07-02,Thursday,,
F15,38-2,,2020-07-03,Friday,,
F15,38-2,,2020-07-21,Tuesday,,
F15,38-2,,2020-07-23,Thursday,,
F15,38-2,,2020-07-28,Tuesday,,
F15,38-2,,2020-07-30,Thursday,,
F15,39-1,1,2020-07-02,Thursday,7,7
F15,39-1,1,2020-07-03,Friday,0,0
F15,39-1,1,2020-07-21,Tuesday,0,0
F15,39-1,1,2020-07-23,Thursday,0,0
F15,39-1,1,2020-07-28,Tuesday,0,0
F15,39-1,1,2020-07-30,Thursday,9,9
F15,39-2,3,2020-07-02,Thursday,,
F15,39-2,3,2020-07-03,Friday,,
F15,39-2,3,2020-07-21,Tuesday,,
F15,39-2,3,2020-07-23,Thursday,,
F15,39-2,3,2020-07-28,Tuesday,,
F15,39-2,3,2020-07-30,Thursday,,
F15,40-1,2,2020-07-02,Thursday,,
F15,40-1,2,2020-07-03,Friday,,
F15,40-1,2,2020-07-21,Tuesday,,
F15,40-1,2,2020-07-23,Thursday,,
F15,40-1,2,2020-07-28,Tuesday,,
F15,40-1,2,2020-07-30,Thursday,,
F15,40-2,4,2020-07-02,Thursday,,
F15,40-2,4,2020-07-03,Friday,,
F15,40-2,4,2020-07-21,Tuesday,,
F15,40-2,4,2020-07-23,Thursday,,
F15,40-2,4,2020-07-28,Tuesday,,
F15,40-2,4,2020-07-30,Thursday,,
F15,43-2,10,2020-07-02,Thursday,,
F15,43-2,10,2020-07-03,Friday,,
F15,43-2,10,2020-07-21,Tuesday,,
F15,43-2,10,2020-07-23,Thursday,,
F15,43-2,10,2020-07-28,Tuesday,,
F15,43-2,10,2020-07-30,Thursday,,
F15,47-1,4,2020-07-02,Thursday,,
F15,47-1,4,2020-07-03,Friday,,
F15,47-1,4,2020-07-21,Tuesday,,
F15,47-1,4,2020-07-23,Thursday,,
F15,47-1,4,2020-07-28,Tuesday,,
F15,47-1,4,2020-07-30,Thursday,,
F15,49-1,5,2020-07-02,Thursday,,
F15,49-1,5,2020-07-03,Friday,,
F15,49-1,5,2020-07-21,Tuesday,,
F15,49-1,5,2020-07-23,Thursday,,
F15,49-1,5,2020-07-28,Tuesday,,
F15,49-1,5,2020-07-30,Thursday,,
F15,50-2,4,2020-07-02,Thursday,,
F15,50-2,4,2020-07-03,Friday,,
F15,50-2,4,2020-07-21,Tuesday,,
F15,50-2,4,2020-07-23,Thursday,,
F15,50-2,4,2020-07-28,Tuesday,,
F15,50-2,4,2020-07-30,Thursday,,
F15,53-2,3,2020-07-02,Thursday,2,0.6666666666666666
F15,53-2,3,2020-07-03,Friday,0,0
F15,53-2,3,2020-07-21,Tuesday,0,0
F15,53-2,3,2020-07-23,Thursday,0,0
F15,53-2,3,2020-07-28,Tuesday,15,5
F15,53-2,3,2020-07-30,Thursday,5,1.6666666666666667
F15,55-2,3,2020-07-02,Thursday,,
F15,55-2,3,2020-07-03,Friday,,
F15,55-2,3,2020-07-21,Tuesday,,
F15,55-2,3,2020-07-23,Thursday,,
F15,55-2,3,2020-07-28,Tuesday,,
F15,55-2,3,2020-07-30,Thursday,,
F15,58-2,6,2020-07-02,Thursday,,
F15,58-2,6,2020-07-03,Friday,,
