STRAIN,DATE,FECUNDITY,KEY
4-1,Jul 2020,2,<5 eggs; not every day
4-1,Feb 2019,2,<5 eggs; not every day
4-2,Jul 2020,2,<5 eggs; not every day
4-2,Feb 2019,4,1-5 eggs per day
5-1,Jul 2020,2,<5 eggs; not every day
5-1,Feb 2019,4,1-5 eggs per day
7-2,Jul 2020,2,<5 eggs; not every day
7-2,Feb 2019,4,1-5 eggs per day
8-2,Jul 2020,3,1-3 eggs per day
8-2,Feb 2019,4,1-5 eggs per day
10-1,Jul 2020,2,<5 eggs; not every day
10-1,Feb 2019,4,1-5 eggs per day
11-1,Jul 2020,4,1-5 eggs per day
11-1,Feb 2019,4,1-5 eggs per day
11-2,Jul 2020,5,5-10 eggs per day
11-2,Feb 2019,5,5-10 eggs per day
13-2,Jul 2020,4,1-5 eggs per day
13-2,Feb 2019,4,1-5 eggs per day
14-1,Jul 2020,2,<5 eggs; not every day
14-1,Feb 2019,2,<5 eggs; not every day
14-2,Jul 2020,4,1-5 eggs per day
14-2,Feb 2019,4,1-5 eggs per day
15-1,Jul 2020,2,<5 eggs; not every day
15-1,Feb 2019,4,1-5 eggs per day
17-1,Jul 2020,4,1-5 eggs per day
17-1,Feb 2019,5,5-10 eggs per day
18-2,Jul 2020,2,<5 eggs; not every day
18-2,Feb 2019,4,1-5 eggs per day
20-1,Jul 2020,1,<3 eggs; not every day
20-1,Feb 2019,2,<5 eggs; not every day
21-2,Jul 2020,4,1-5 eggs per day
21-2,Feb 2019,4,1-5 eggs per day
22-1,Jul 2020,4,1-5 eggs per day
22-1,Feb 2019,4,1-5 eggs per day
23-1,Jul 2020,4,1-5 eggs per day
23-1,Feb 2019,4,1-5 eggs per day
23-2,Jul 2020,5,5-10 eggs per day
23-2,Feb 2019,2,<5 eggs; not every day
25-1,Jul 2020,5,5-10 eggs per day
25-1,Feb 2019,4,1-5 eggs per day
29-1,Jul 2020,4,1-5 eggs per day
29-1,Feb 2019,4,1-5 eggs per day
30-1,Jul 2020,3,1-3 eggs per day
30-1,Feb 2019,3,1-3 eggs per day
32-2,Jul 2020,4,1-5 eggs per day
32-2,Feb 2019,3,1-3 eggs per day
33-1,Jul 2020,3,1-3 eggs per day
33-1,Feb 2019,2,<5 eggs; not every day
38-2,Jul 2020,4,1-5 eggs per day
38-2,Feb 2019,3,1-3 eggs per day
39-1,Jul 2020,5,5-10 eggs per day
39-1,Feb 2019,0,Not producing
39-2,Jul 2020,5,5-10 eggs per day
39-2,Feb 2019,4,1-5 eggs per day
40-1,Jul 2020,3,1-3 eggs per day
40-1,Feb 2019,4,1-5 eggs per day
40-2,Jul 2020,4,1-5 eggs per day
40-2,Feb 2019,4,1-5 eggs per day
43-2,Jul 2020,5,5-10 eggs per day
43-2,Feb 2019,4,1-5 eggs per day
47-1,Jul 2020,3,1-3 eggs per day
47-1,Feb 2019,4,1-5 eggs per day
49-1,Jul 2020,4,1-5 eggs per day
49-1,Feb 2019,4,1-5 eggs per day
50-2,Jul 2020,2,<5 eggs; not every day
50-2,Feb 2019,1,<3 eggs; not every day
53-2,Jul 2020,3,1-3 eggs per day
53-2,Feb 2019,4,1-5 eggs per day
55-2,Jul 2020,3,1-3 eggs per day
55-2,Feb 2019,3,1-3 eggs per day
58-2,Jul 2020,4,1-5 eggs per day
58-2,Feb 2019,4,1-5 eggs per day
59-1,Jul 2020,3,1-3 eggs per day
59-1,Feb 2019,4,1-5 eggs per day
59-2,Jul 2020,4,1-5 eggs per day
59-2,Feb 2019,4,1-5 eggs per day
60-1,Jul 2020,1,<3 eggs; not every day
60-1,Feb 2019,2,<5 eggs; not every day
61-1,Jul 2020,0,Not producing
61-1,Feb 2019,0,Not producing
62-2,Jul 2020,4,1-5 eggs per day
62-2,Feb 2019,3,1-3 eggs per day
68-1,Jul 2020,4,1-5 eggs per day
68-1,Feb 2019,3,1-3 eggs per day
69-1,Jul 2020,4,1-5 eggs per day
69-1,Feb 2019,4,1-5 eggs per day
69-2,Jul 2020,4,1-5 eggs per day
69-2,Feb 2019,4,1-5 eggs per day
70-2,Jul 2020,3,1-3 eggs per day
70-2,Feb 2019,5,5-10 eggs per day
71-1,Jul 2020,2,<5 eggs; not every day
71-1,Feb 2019,3,1-3 eggs per day
72-1,Jul 2020,5,5-10 eggs per day
72-1,Feb 2019,4,1-5 eggs per day
72-2,Jul 2020,4,1-5 eggs per day
72-2,Feb 2019,4,1-5 eggs per day
75-1,Jul 2020,4,1-5 eggs per day
75-1,Feb 2019,4,1-5 eggs per day
79-2,Jul 2020,4,1-5 eggs per day
79-2,Feb 2019,4,1-5 eggs per day
80-1,Jul 2020,4,1-5 eggs per day
80-1,Feb 2019,5,5-10 eggs per day
80-2,Jul 2020,5,5-10 eggs per day
80-2,Feb 2019,4,1-5 eggs per day
84-2,Jul 2020,5,5-10 eggs per day
84-2,Feb 2019,3,1-3 eggs per day
89-1,Jul 2020,4,1-5 eggs per day
89-1,Feb 2019,0,Not producing
94-1,Jul 2020,2,<5 eggs; not every day
94-1,Feb 2019,3,1-3 eggs per day
