line	eye_rel	gender
4-2	0.583157894736842	Male
4-2	0.806315789473684	Female
4-1	4.06526315789474	Male
4-1	5.208	Female
7-2	2.3825	Male
7-2	4.38105263157895	Female
5-1	4.33473684210526	Female
5-1	2.065	Male
10-1	3.664	Male
10-1	3.664	Male
10-1	2.38666666666667	Male
10-1	6.38222222222222	Female
32-2	5.36235294117647	Male
32-2	4.48666666666667	Female
17-1	2.80666666666667	Female
11-1	1.52571428571429	Male
11-1	0.160714285714286	Female
43-2	4.00222222222222	Male
43-2	6.24	Female
55-2	4.30222222222222	Male
55-2	2.09894736842105	Female
58-2	5.076	Male
69-2	6.23764705882353	Male
69-2	5.858	Female
69-1	7.27058823529412	Male
69-1	5.2262156448203	Female
72-1	2.87111111111111	Male
72-1	4.01647058823529	Female
72-1	4.47529411764706	Female
79-2	7.1275	Male
79-2	4.71714922048998	Female
79-2	4.0875	Female
55-2	4.8775	Female
43-2	3.35398230088496	Female
58-2	4.61409395973154	Female
69-2	3.56421052631579	Female
69-1	4.60992907801418	Female
11-1	3.8975	Female
32-2	1.53714285714286	Female
10-1	1.74133333333333	Female
80-2	3.82142857142857	Male
80-2	3.88	Female
84-2	2.00266666666667	Male
84-2	2.19714285714286	Female
84-2	3.70426065162907	Female
89-1	5.03157894736842	Male
89-1	4.17263157894737	Female
89-1	4.57919621749409	Female
94-1	4.67764705882353	Male
94-1	6.09666666666667	Female
94-1	5.94588235294118	Female
95-1	3.51785714285714	Male
95-1	2.375	Female
95-1	2.94222222222222	Female
106-2	5.402	Male
106-2	2.81833333333333	Female
106-2	0.921904761904762	Female
117-1	5.09176470588235	Male
117-1	4.9125	Female
117-1	3.72285714285714	Female
135-1	2.21142857142857	Male
135-1	5.68705882352941	Female
135-1	4.59428571428571	Female
137-4	3.85428571428571	Male
137-4	5.51764705882353	Female
137-4	2.70571428571429	Female
132-4-1	1.57230769230769	Male
132-4-1	3.16285714285714	Female
132-4-1	4.69333333333333	Female
11-2	3.09369024856597	Male
11-2	4.54	Female
11-2	3.2	Female
13-2	4.9704347826087	Male
13-2	4.458	Female
13-2	3.48210526315789	Female
15-1	3.768	Male
15-1	4.03111111111111	Female
15-1	3.25105485232068	Female
21-2	4.39323467230444	Male
21-2	4.45333333333333	Female
21-2	6.74105263157895	Female
25-1	5.63	Male
25-1	3.80909090909091	Female
25-1	3.63578947368421	Female
29-1	3.366	Male
29-1	5.96705882352941	Female
29-1	4.16791979949875	Female
30-1	4.36	Male
30-1	4.5925	Female
30-1	6.00941176470588	Female
33-1	3.38352941176471	Male
33-1	1.59111111111111	Female
33-1	4.52901785714286	Female
38-2	2.33	Male
38-2	2.92666666666667	Female
38-2	4.624	Female
39-1	3.234	Male
39-1	4.468	Male
39-1	5.58947368421053	Female
39-1	4.4	Female
40-1	2.14	Male
40-1	6.87777777777778	Female
40-1	6.4675	Female
40-2	5.088	Male
40-2	6.34666666666667	Female
40-2	6.7578947368421	Female
47-1	5.13479052823315	Male
47-1	4.82181818181818	Female
47-1	5.69818181818182	Female
49-1	5.73818181818182	Male
49-1	3.46588235294118	Female
49-1	4.9	Female
50-2	5.34526315789474	Male
50-2	3.48775055679287	Female
50-2	3	Female
53-2	5.21052631578947	Male
53-2	5.93142857142857	Female
53-2	1.15625	Female
59-2	5.95802919708029	Male
59-2	6.126	Female
59-2	4.52631578947368	Female
104-1	4.68470588235294	Male
104-1	5.52695652173913	Female
104-1	5.07238095238095	Female
106-1	2.51529411764706	Male
106-1	4.80178173719376	Female
106-1	4.22666666666667	Female
110-2	3.16	Male
110-2	4.842	Female
110-2	2.96222222222222	Female
131-2	4.955	Male
131-2	5.24173913043478	Female
131-2	5.51134380453752	Female
131-4	5.37904761904762	Male
131-4	1.71294117647059	Female
131-4	4.632	Female
75-1	5.358	Male
75-1	3.02204408817635	Female
75-1	5.37	Female
129-1	3.59090909090909	Male
129-1	0.361809045226131	Female
129-1	1.552	Female
129-1	1.44652406417112	Female
127-2	0.988888888888889	Female
125-1	3.86666666666667	Male
125-1	0.234666666666667	Female
125-1	3.85142857142857	Female
14-1	3.55765199161426	Male
14-1	4.40631578947368	Female
14-1	3.25052631578947	Female
20-1	6.412	Male
20-1	4.15809523809524	Female
60-1	5.72344689378758	Male
60-1	4.85333333333333	Female
60-1	6.7175	Female
72-2	3.44631578947368	Male
72-2	5.74823529411765	Female
72-2	5.19777777777778	Female
132-5	7.18761384335155	Male
132-5	6.11777777777778	Female
132-5	4.968	Female
138-1	5.93473684210526	Male
138-1	3.226	Female
138-1	5.43529411764706	Female
140-3	3.38727272727273	Male
140-3	4.78526315789474	Female
140-3	4.27941176470588	Female
8-2	4.35555555555556	Male
8-2	1.87951807228916	Female
8-2	2.67111111111111	Female
14-2	6.1	Male
14-2	1.91454545454545	Female
14-2	4.45818181818182	Female
18-2	4.69976359338061	Male
18-2	4.35	Female
18-2	2.87470449172577	Female
22-1	3.98222222222222	Male
22-1	4.22526315789474	Female
22-1	5.25263157894737	Female
23-1	4.9	Male
23-1	4.99365750528541	Female
23-1	5.00571428571429	Female
23-2	4.89882352941176	Male
23-2	4.39619047619048	Female
23-2	4.03090909090909	Female
39-2	7.16509433962264	Male
39-2	5.358	Female
39-2	6.09647058823529	Female
59-1	4.16888888888889	Male
59-1	4.61777777777778	Female
59-1	3.88705882352941	Female
62-2	6.15333333333333	Male
62-2	5.73496659242762	Female
62-2	6.12470588235294	Female
68-1	6.83924349881797	Male
68-1	5.25411764705882	Female
68-1	5.96444444444444	Female
70-2	3.545	Male
70-2	3.95619047619048	Female
70-2	5.47818181818182	Female
71-1	5.122	Male
71-1	4.74666666666667	Female
71-1	4.51114922813036	Female
80-1	6.25846153846154	Male
80-1	5.08941176470588	Female
80-1	2.605	Female
117-2	7.25684210526316	Male
117-2	6.6125	Female
117-2	7.43333333333333	Female
123-2	2.84222222222222	Male
123-2	4.76210526315789	Female
123-2	3.3575	Female
134-1	6.75157894736842	Male
134-1	6.57263157894737	Female
134-1	6.7025	Female
135-2	4.3625	Male
135-2	5.12571428571429	Female
135-2	4.92952380952381	Female
139-4	3.45898778359511	Male
139-4	5.37213740458015	Female
139-4	3.31919642857143	Female
130-2	5.11157894736842	Male
130-2	5.52190476190476	Female
130-2	5.7352380952381	Female
