samples	population
hdrr	hdrr
hni	hni
hsok	hsok
javanicus	javanicus
melastigma	melastigma
ancestor	ancestor
25_1	mikk
30_1	mikk
11_2	mikk
13_2	mikk
14_1	mikk
23_1	mikk
23_2	mikk
31_2	mikk
32_2	mikk
33_1	mikk
42_1	mikk
43_2	mikk
47_1	mikk
49_2	mikk
50_2	mikk
51_2	mikk
53_2	mikk
55_2	mikk
56_1	mikk
58_2	mikk
84_2	mikk
94_1	mikk
95_1	mikk
117_1	mikk
129_1	mikk
70_2	mikk
71_1	mikk
72_1	mikk
72_2	mikk
75_1	mikk
14_2	mikk
17_1	mikk
18_2	mikk
21_2	mikk
22_1	mikk
38_2	mikk
39_1	mikk
39_2	mikk
40_1	mikk
40_2	mikk
59_1	mikk
59_2	mikk
61_1	mikk
62_2	mikk
69_2	mikk
Ho5_1	ho5
Ho5_2	ho5
iCab_F24	icab
iCab_2F2	icab
iCab_HD	icab
66_1	mikk
91_1	mikk
104_1	mikk
106_1	mikk
106_2	mikk
141_3	mikk
4_1	mikk
131_2	mikk
131_4	mikk
133_2	mikk
4_2	mikk
5_1	mikk
7_1	mikk
7_2	mikk
8_2	mikk
11_1	mikk
15_1	mikk
15_2	mikk
20_1	mikk
10_1	mikk
107_2	mikk
49_1	mikk
69_1	mikk
79_2	mikk
80_1	mikk
110_2	mikk
117_2	mikk
123_2	mikk
127_2	mikk
131_1	mikk
134_2	mikk
134_3	mikk
135_1	mikk
132_5	mikk
134_1	mikk
140_3	mikk
136_2	mikk
137_4	mikk
138_3	mikk
139_4	mikk
140_1	mikk
84_2-2	mikk
89_1	mikk
121_2	mikk
125_1	mikk
132_4_1	mikk
135_2	mikk
138_1	mikk
141_3-2	mikk
141_4	mikk
KW_5	kiyosu_wild
KW_6	kiyosu_wild
KW_7	kiyosu_wild
29_1	mikk
32_2-2	mikk
34_2	mikk
60_1	mikk
68_1	mikk
71_1-2	mikk
80_2	mikk
iCab_F25	icab
KW_1	kiyosu_wild
KW_2	kiyosu_wild
KW_3	kiyosu_wild
KW_4	kiyosu_wild
