samples	population
hdrr	hdrr
hni	hni
hsok	hsok
javanicus	javanicus
melastigma	melastigma
ancestor	ancestor
25_1	mikk
30_1	mikk
13_2	mikk
14_1	mikk
23_1	mikk
32_2	mikk
33_1	mikk
43_2	mikk
47_1	mikk
50_2	mikk
53_2	mikk
55_2	mikk
58_2	mikk
84_2	mikk
94_1	mikk
95_1	mikk
117_1	mikk
129_1	mikk
70_2	mikk
71_1	mikk
72_1	mikk
75_1	mikk
17_1	mikk
18_2	mikk
21_2	mikk
22_1	mikk
38_2	mikk
39_1	mikk
40_1	mikk
59_1	mikk
61_1	mikk
62_2	mikk
104_1	mikk
106_1	mikk
4_1	mikk
131_2	mikk
5_1	mikk
7_2	mikk
8_2	mikk
11_1	mikk
15_1	mikk
20_1	mikk
10_1	mikk
49_1	mikk
69_1	mikk
79_2	mikk
80_1	mikk
110_2	mikk
123_2	mikk
127_2	mikk
135_1	mikk
134_1	mikk
137_4	mikk
139_4	mikk
140_1	mikk
89_1	mikk
121_2	mikk
125_1	mikk
132_4_1	mikk
138_1	mikk
29_1	mikk
60_1	mikk
68_1	mikk
