chr	PSC	id	sample	nRefHom	nNonRefHom	nHets	nTransitions	nTransversions	nIndels	averagedepth	nSingletons	nHapRef	nHapAlt	nMissing
1	PSC	0	25_1	1293347	179366	123662	157633	145148	67061	25.9	1932	0	0	97223
1	PSC	0	30_1	1305405	185296	109472	153542	141011	64981	26.5	2712	0	0	95593
1	PSC	0	11_2	1297203	175364	135882	162246	148682	68632	30.1	744	0	0	83796
1	PSC	0	13_2	1301641	186260	108522	153489	141079	64786	26.1	2355	0	0	99879
1	PSC	0	14_1	1299136	179164	125582	158646	145830	67722	28.2	733	0	0	89141
1	PSC	0	23_1	1312837	204770	74710	145542	133794	61394	24.8	527	0	0	107133
1	PSC	0	23_2	1298961	184458	115455	156019	143652	66409	26.2	1258	0	0	95512
1	PSC	0	31_2	1318853	201306	75695	144209	132648	61044	28.9	777	0	0	104249
1	PSC	0	32_2	1297362	182581	117869	156760	143440	66468	27.9	546	0	0	96776
1	PSC	0	33_1	1304954	185155	110066	153575	141393	65391	29	2072	0	0	95733
1	PSC	0	42_1	1301958	189911	105835	153878	141653	65332	27.4	1088	0	0	97807
1	PSC	0	43_2	1304419	192736	97814	151233	139102	64488	29.2	972	0	0	101484
1	PSC	0	47_1	1300461	183381	118006	156823	144330	66492	27.1	1788	0	0	92738
1	PSC	0	49_2	1304677	189642	104108	152676	140880	64951	28.8	1098	0	0	97425
1	PSC	0	50_2	1304748	188528	104539	152439	140421	64595	27.8	1621	0	0	98730
1	PSC	0	51_2	1307688	190090	102728	152521	140097	64600	28.9	1706	0	0	95667
1	PSC	0	53_2	1302517	180801	120040	156996	143581	66623	27.4	1192	0	0	90744
1	PSC	0	55_2	1311189	198180	89291	149705	137618	63542	29.2	1816	0	0	98224
1	PSC	0	56_1	1309875	187436	104623	152160	139691	64447	30.9	3550	0	0	94603
1	PSC	0	58_2	1291837	174733	134578	161041	147994	68302	25.6	812	0	0	91654
1	PSC	0	84_2	1294379	183941	118483	157473	144715	67251	28.7	834	0	0	96714
1	PSC	0	94_1	1299614	186027	113509	155977	143331	66167	29.5	1488	0	0	95305
1	PSC	0	95_1	1301378	189150	107509	154561	141888	65815	28.7	996	0	0	96744
1	PSC	0	117_1	1301407	176834	130282	159887	146970	68203	32.1	1173	0	0	83886
1	PSC	0	129_1	1314836	192422	94596	149384	137423	63234	27.4	741	0	0	95867
1	PSC	0	70_2	1297275	176587	133054	161042	148326	69506	36.5	1124	0	0	83735
1	PSC	0	71_1	1225729	147169	52686	103710	96072	39423	4.1	1187	0	0	302289
1	PSC	0	72_1	1302360	183235	119942	157796	145150	67385	34.6	2019	0	0	87465
1	PSC	0	72_2	1305397	182428	120275	157702	144749	67564	37	1580	0	0	85222
1	PSC	0	75_1	1305453	190475	108103	155496	142859	66604	33.4	1135	0	0	89787
1	PSC	0	14_2	1303057	187303	109536	154653	141943	65315	29.3	4295	0	0	95568
1	PSC	0	17_1	1293276	180673	123649	158560	145509	66758	27.1	637	0	0	96511
1	PSC	0	18_2	1298293	185206	114861	156163	143685	65994	28.2	651	0	0	96373
1	PSC	0	21_2	1304290	190018	101761	151941	139640	63885	23.5	766	0	0	101246
1	PSC	0	22_1	1318175	198891	79646	144983	133381	61285	26.1	831	0	0	103492
1	PSC	0	38_2	1300772	175091	130044	158901	145963	67334	27.1	2228	0	0	87702
1	PSC	0	39_1	1311103	197933	90382	149983	138156	63639	31.3	950	0	0	98019
1	PSC	0	39_2	1297631	183442	119204	157549	144838	66568	28.7	572	0	0	93690
1	PSC	0	40_1	1303240	189888	101872	152005	139569	64146	25.2	854	0	0	101853
1	PSC	0	40_2	1296785	177010	126552	158296	144996	67158	28.3	681	0	0	93546
1	PSC	0	59_1	1306686	192725	99220	151889	139874	64330	28.9	561	0	0	98159
1	PSC	0	59_2	1300380	182850	116305	155440	143502	65914	25.2	977	0	0	95758
1	PSC	0	61_1	1305377	184846	112963	155273	142333	65313	29.5	677	0	0	92582
1	PSC	0	62_2	1304710	186671	108370	153418	141398	65127	31.2	1080	0	0	95938
1	PSC	0	69_2	1310045	187171	104262	151807	139426	64348	28.3	542	0	0	95209
1	PSC	0	Ho5_1	1418392	173389	44977	114120	104203	47517	30.3	2537	0	0	79271
1	PSC	0	Ho5_2	1418720	172661	42923	112649	102887	46668	26	1862	0	0	82790
1	PSC	0	iCab_F24	1362240	120001	164211	148045	135992	62476	28.4	5753	0	0	52849
1	PSC	0	iCab_2F2	1352295	117333	176919	153525	140538	64341	33.7	8006	0	0	50410
1	PSC	0	iCab_HD	1356137	130059	86369	112439	103904	43405	6.3	3054	0	0	150106
1	PSC	0	66_1	1315368	187399	103228	151223	139209	63909	32	734	0	0	90436
1	PSC	0	91_1	1312824	190481	97533	149846	137976	62572	25.1	1393	0	0	97385
1	PSC	0	104_1	1313409	186305	102129	150192	138043	63194	24.7	479	0	0	95664
1	PSC	0	106_1	1318424	190554	96585	149339	137593	62703	26.6	885	0	0	92841
1	PSC	0	106_2	1306078	181956	117123	155507	143326	65827	28.3	844	0	0	89583
1	PSC	0	141_3	1310612	185813	107161	152314	140431	63867	25.9	582	0	0	93151
1	PSC	0	4_1	1309584	178490	119145	154847	142510	65716	29.8	1820	0	0	87672
1	PSC	0	131_2	1305271	183060	110940	153278	140495	64749	25.9	600	0	0	96457
1	PSC	0	131_4	1305621	183132	114413	154924	142393	65318	27	901	0	0	91760
1	PSC	0	133_2	1316699	190080	98141	150193	137821	63215	27.4	1199	0	0	92326
1	PSC	0	4_2	1305065	182590	112455	153455	141349	64754	26.5	2916	0	0	95606
1	PSC	0	5_1	1312144	183799	110477	153078	140974	64417	25.9	1402	0	0	89893
1	PSC	0	7_1	1324268	197901	77875	143460	132152	60349	28.6	662	0	0	100422
1	PSC	0	7_2	1316040	192790	93903	149136	137352	62328	29.4	1536	0	0	95649
1	PSC	0	8_2	1307896	186653	105211	151719	139905	63935	28.6	691	0	0	96804
1	PSC	0	11_1	1316301	187516	101594	150528	138386	63374	27.7	1449	0	0	91571
1	PSC	0	15_1	1311308	188705	99639	150039	138109	62948	25.3	1180	0	0	98021
1	PSC	0	15_2	1313557	188304	102274	151030	139363	63585	29.7	1308	0	0	92685
1	PSC	0	20_1	1310217	183075	113300	154134	142008	64880	27	2281	0	0	89368
1	PSC	0	10_1	1302900	174602	127052	156718	144667	66351	24.2	842	0	0	89663
1	PSC	0	107_2	1339136	212114	48726	136185	124572	56756	27.1	1477	0	0	104486
1	PSC	0	49_1	1309063	187759	101796	150503	138828	63315	23.5	1526	0	0	99199
1	PSC	0	69_1	1329856	204452	68984	142099	131219	59348	28.5	636	0	0	98387
1	PSC	0	79_2	1315818	188246	105481	152977	140564	64214	32.3	961	0	0	86806
1	PSC	0	80_1	1311297	180217	114451	153240	141209	64849	26.4	895	0	0	89729
1	PSC	0	110_2	1313947	187352	102440	150475	139107	62945	27.2	1065	0	0	94588
1	PSC	0	117_2	1310914	185188	107877	152576	140273	64376	32.5	2029	0	0	92262
1	PSC	0	123_2	1314316	188129	102353	151222	139044	63800	27.9	678	0	0	92173
1	PSC	0	127_2	1321110	194292	86198	145738	134574	61282	25.9	1335	0	0	97951
1	PSC	0	131_1	833818	156194	540596	361390	334452	143989	25.6	444633	0	0	83775
1	PSC	0	134_2	1299322	180057	123676	157886	145609	66538	28.4	1391	0	0	90384
1	PSC	0	134_3	1320252	192752	90381	147291	135663	61962	28.4	797	0	0	95466
1	PSC	0	135_1	1317814	187024	101939	150457	138318	63342	27.7	912	0	0	90597
1	PSC	0	132_5	1338697	211142	51634	136733	125970	57016	25.8	1068	0	0	102657
1	PSC	0	134_1	1311699	184113	109743	152909	140724	65094	29.3	941	0	0	89684
1	PSC	0	140_3	1313636	191868	94150	148791	137039	62791	26.3	1013	0	0	98054
1	PSC	0	136_2	1312124	190826	88887	145275	134278	60857	20.2	950	0	0	108248
1	PSC	0	137_4	1321377	197885	80673	144979	133440	60684	24	1502	0	0	100356
1	PSC	0	138_3	1320132	204135	66100	140800	129313	58750	21.4	709	0	0	112199
1	PSC	0	139_4	1309297	190845	96688	149747	137599	63192	24.9	724	0	0	100552
1	PSC	0	140_1	1313877	189474	94816	148100	136005	62520	22.7	755	0	0	100025
1	PSC	0	84_2-2	1288268	176408	128387	158770	145770	67209	21.5	761	0	0	100515
1	PSC	0	89_1	1303760	179116	118403	155120	142135	66115	24.2	1418	0	0	93189
1	PSC	0	121_2	1300196	183760	111816	153896	141459	65054	23.5	583	0	0	99953
1	PSC	0	125_1	1303675	182579	115122	155112	142321	66017	26.3	1702	0	0	93052
1	PSC	0	132_4_1	1307978	189744	102596	152140	139993	64891	26.3	578	0	0	95591
1	PSC	0	135_2	1306558	190581	99818	151338	138854	64171	26.1	1022	0	0	99653
1	PSC	0	138_1	1295370	181990	127866	161172	148415	68967	37.3	1019	0	0	85879
1	PSC	0	141_3-2	1298573	182139	120955	157711	145125	66948	27.4	702	0	0	91825
1	PSC	0	141_4	1306766	183955	115277	155874	143123	66322	29.3	828	0	0	88076
1	PSC	0	KW_5	1292835	174176	137620	162717	148806	68947	26.3	715	0	0	86515
1	PSC	0	KW_6	1293832	173844	137002	161992	148557	68725	25.3	641	0	0	87131
