scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
9,400001,450000,423367,807,102,9.4023,0.1518,0.9682,0.4238,0.3193
9,450001,500000,471578,523,149,5.7832,0.9972,0.7058,0.195,0.1188
9,500001,550000,528194,800,102,8.4841,0.016,0.9962,0.3942,0.3079
9,550001,600000,577444,926,219,30.1162,3.0704,0.815,0.4488,0.346
9,650001,700000,674669,1491,103,4.887,2.9643,0.2449,0.105,0.0505
9,1600001,1650000,1623392,1212,368,19.7475,4.768,0.611,0.1963,0.1066
9,1650001,1700000,1676039,1153,167,4.2302,1.5258,0.4698,0.0875,0.0466
9,1700001,1750000,1722975,1431,356,16.1303,3.9708,0.6049,0.1931,0.1066
9,1800001,1850000,1828363,1599,133,5.2213,7.4567,-0.1763,-0.0791,-0.0328
9,1950001,2000000,1974031,1153,240,27.365,6.2863,0.6264,0.2078,0.1552
9,2000001,2050000,2023500,986,331,18.8544,10.7504,0.2737,0.0822,0.0507
9,2050001,2100000,2075168,933,274,19.381,9.9365,0.3221,0.104,0.0669
9,2350001,2400000,2374882,1202,235,14.8477,10.3518,0.1784,0.0766,0.0443
9,2500001,2550000,2525682,1553,101,3.1097,2.4478,0.1191,0.0377,0.0207
9,2550001,2600000,2574430,1239,484,16.9815,18.2264,-0.0354,-0.0109,-0.0064
9,2600001,2650000,2620784,1050,239,9.4918,5.5883,0.2589,0.0982,0.0507
9,2650001,2700000,2671597,1223,311,10.3781,8.8274,0.0807,0.0234,0.0154
9,2700001,2750000,2720626,828,227,6.578,4.1905,0.2217,0.0539,0.0376
9,2800001,2850000,2825422,958,136,3.0455,2.254,0.1494,0.0185,0.0129
9,2850001,2900000,2873783,835,231,13.9715,3.2902,0.6188,0.1867,0.1544
9,3000001,3050000,3026110,845,200,3.2381,8.6348,-0.4545,-0.1486,-0.0766
9,3050001,3100000,3074349,1397,315,17.5758,11.4876,0.2095,0.0667,0.0424
9,3100001,3150000,3122552,1095,376,18.3007,9.4232,0.3202,0.069,0.0492
9,3150001,3200000,3171066,1303,190,4.9603,5.6667,-0.0665,-0.0138,-0.0088
9,3200001,3250000,3225250,1082,231,11.7276,7.1905,0.2398,0.0633,0.0394
9,3250001,3300000,3277197,1373,346,14.3095,13.8446,0.0165,0.0038,0.0025
9,3300001,3350000,3320405,1248,344,17.8333,6.7937,0.4483,0.0802,0.055
9,3350001,3400000,3373619,1055,204,10.8333,6.0635,0.2823,0.0621,0.0426
9,3400001,3450000,3423223,991,260,22.4206,5.3353,0.6156,0.1785,0.1297
9,3450001,3500000,3475342,1706,696,74.4847,19.2875,0.5886,0.1937,0.1619
9,3500001,3550000,3527102,1577,214,36.5125,1.0643,0.9434,0.384,0.3268
9,3700001,3750000,3721534,1194,289,14.6641,7.457,0.3258,0.0664,0.0487
9,3750001,3800000,3775905,1161,272,16.9374,4.1825,0.6039,0.1659,0.127
9,3800001,3850000,3823514,1108,380,24.2061,5.0999,0.652,0.1252,0.0998
9,3850001,3900000,3875885,1164,209,8.5159,5.729,0.1956,0.0538,0.0386
9,3950001,4000000,3970014,1897,327,21.9864,14.0887,0.2189,0.0748,0.0497
9,4000001,4050000,4029246,1931,366,22.3301,9.2156,0.4157,0.0909,0.0651
9,4150001,4200000,4169499,1389,204,11.9921,2.754,0.6265,0.1527,0.1059
9,4200001,4250000,4224452,1267,513,51.4013,11.205,0.642,0.2398,0.1937
9,4250001,4300000,4277626,1079,351,27.7772,6.1041,0.6397,0.1859,0.15
9,4300001,4350000,4324572,1289,304,34.5626,1.6212,0.9104,0.28,0.2437
9,4350001,4400000,4378125,904,266,19.381,5.4296,0.5623,0.1951,0.1404
9,4400001,4450000,4422119,1225,387,31.6175,6.8171,0.6453,0.2246,0.1626
9,4450001,4500000,4474908,990,368,14.6349,12.0739,0.0959,0.0243,0.0149
9,4500001,4550000,4525671,980,378,12.2537,4.1511,0.4939,0.1038,0.0635
9,4550001,4600000,4574446,1063,330,9.2778,9.437,-0.0085,-0.002,-0.0012
9,5150001,5200000,5177213,965,390,45.1994,3.2779,0.8648,0.3191,0.2729
9,5200001,5250000,5223067,823,272,23.8988,5.1585,0.6449,0.1704,0.1308
9,5250001,5300000,5279966,1120,419,18.7048,11.4368,0.2411,0.0687,0.0452
9,5300001,5350000,5324893,1160,382,21.3529,11.6369,0.2945,0.0976,0.0574
9,5350001,5400000,5376603,1098,439,25.6344,15.0342,0.2606,0.0844,0.0476
9,5850001,5900000,5872158,1114,118,9.329,6.169,0.2039,0.083,0.053
9,6200001,6250000,6224614,634,221,12.4875,7.069,0.2771,0.131,0.0808
9,6250001,6300000,6277801,968,428,33.1266,12.1856,0.4621,0.1741,0.1246
9,6300001,6350000,6321658,821,340,13.8066,8.2395,0.2525,0.0707,0.0485
9,6350001,6400000,6375128,1008,255,9.1668,9.7134,-0.029,-0.008,-0.0047
9,6400001,6450000,6426843,794,416,15.7428,6.4549,0.4184,0.0928,0.0624
9,6450001,6500000,6475888,711,317,10.011,12.4272,-0.1077,-0.0265,-0.0177
9,6500001,6550000,6519193,1095,283,24.6247,7.737,0.5218,0.2078,0.1605
9,6950001,7000000,6973031,653,148,9.5952,0.9841,0.814,0.2868,0.231
9,7000001,7050000,7027311,779,268,28.4365,3.7723,0.7658,0.2968,0.2462
9,7050001,7100000,7075301,608,267,14.5505,4.2888,0.5447,0.1817,0.1373
9,7100001,7150000,7124467,723,308,14.4616,1.7778,0.7811,0.1975,0.1718
9,7150001,7200000,7175291,754,171,8.9843,2.7655,0.5293,0.1781,0.1433
9,7200001,7250000,7227897,717,343,25.373,2.2304,0.8384,0.2371,0.2033
9,7250001,7300000,7275444,803,406,20.126,4.5952,0.6282,0.1112,0.1008
9,7300001,7350000,7325255,697,262,20.9908,3.4603,0.717,0.2449,0.1878
9,7350001,7400000,7374685,780,274,29.3013,4.0159,0.7589,0.2811,0.2293
9,7400001,7450000,7421058,764,341,25.5476,4.8569,0.6805,0.1985,0.1617
9,7450001,7500000,7474769,692,266,32.201,1.8889,0.8892,0.3187,0.2995
9,7500001,7550000,7525432,748,286,35.2563,0.691,0.9616,0.3013,0.2632
9,7550001,7600000,7576411,929,310,40.6429,8.2369,0.663,0.1829,0.1642
9,7600001,7650000,7630399,1182,498,62.1799,6.935,0.7993,0.286,0.247
9,7650001,7700000,7673912,889,366,38.7296,5.8451,0.7377,0.2799,0.2264
9,7700001,7750000,7726749,955,380,28.2278,8.0508,0.5562,0.1656,0.1315
9,7750001,7800000,7773400,861,317,29.3197,6.2801,0.6472,0.2317,0.1758
9,7800001,7850000,7823589,797,416,31.8473,6.0317,0.6815,0.2132,0.1788
9,7850001,7900000,7872527,854,322,21.6427,5.0038,0.6244,0.2217,0.1872
9,7900001,7950000,7923304,910,412,26.5394,5.5617,0.6535,0.2427,0.1998
9,7950001,8000000,7972917,1102,397,22.0413,0.7143,0.9372,0.2289,0.2037
9,8000001,8050000,8025931,757,324,21.1276,1.3968,0.876,0.2256,0.2031
9,8050001,8100000,8071035,828,340,31.1467,2.8851,0.8304,0.3691,0.2666
9,8100001,8150000,8125352,723,414,26.7431,1.881,0.8686,0.2717,0.2269
9,8150001,8200000,8175505,744,392,32.4214,3.9286,0.7838,0.2463,0.2216
9,8200001,8250000,8226566,737,331,28.0242,4.1114,0.7441,0.2747,0.224
9,8250001,8300000,8276803,816,276,19.4386,3.9282,0.6638,0.1935,0.1568
9,8300001,8350000,8325732,999,105,1.8095,2.4511,-0.1506,-0.0263,-0.019
9,8350001,8400000,8377922,889,446,23.1162,6.7077,0.5502,0.1346,0.0928
9,8400001,8450000,8423671,1123,406,13.2679,8.5608,0.2156,0.0491,0.0331
9,8750001,8800000,8777718,1417,369,9.0042,5.1847,0.2692,0.067,0.0288
9,8800001,8850000,8830127,931,338,5.4683,4.8701,0.0579,0.0073,0.0037
9,8850001,8900000,8874132,760,266,5.9683,1.4286,0.6137,0.0597,0.0389
9,9000001,9050000,9025482,777,215,23.4921,3.1512,0.7635,0.3145,0.2664
9,9050001,9100000,9075983,768,290,20.2654,5.6111,0.5663,0.1729,0.1402
9,9100001,9150000,9125717,833,346,20.634,4.5453,0.639,0.1489,0.1158
9,9150001,9200000,9174410,886,369,25.5722,2.0308,0.8529,0.2182,0.181
9,9200001,9250000,9225187,729,333,12.2336,4.9653,0.4226,0.1056,0.0764
9,9250001,9300000,9279519,856,300,23.4864,2.8351,0.7846,0.2783,0.2105
9,9300001,9350000,9324939,1029,236,19.8146,1.5079,0.8586,0.233,0.1946
9,9350001,9400000,9377045,757,311,21.4505,3.6385,0.71,0.2284,0.173
9,9400001,9450000,9424327,819,310,27.0079,2.4841,0.8315,0.292,0.2544
9,9750001,9800000,9775015,1035,111,9.7222,1.4286,0.7438,0.37,0.2611
9,9800001,9850000,9824492,1115,264,20.1507,2.7495,0.7599,0.2573,0.1941
9,9850001,9900000,9875406,848,221,24.6432,1.2713,0.9019,0.2973,0.2516
9,9900001,9950000,9926604,823,219,40.8483,2.5635,0.8819,0.3983,0.3632
9,9950001,10000000,9977535,943,306,25.2173,1.0159,0.9226,0.3008,0.2609
9,10000001,10050000,10024401,1130,312,22.0754,7.1042,0.5131,0.1957,0.1385
9,10050001,10100000,10074248,922,265,24.4764,2.6893,0.802,0.3118,0.2533
9,10100001,10150000,10124351,1388,371,19.986,6.5714,0.5051,0.1615,0.1019
9,10150001,10200000,10174517,876,340,24.1976,4.5742,0.682,0.2407,0.1948
9,10250001,10300000,10274484,907,110,0.7302,1.0159,-0.1636,-0.0261,-0.0107
9,10300001,10350000,10319948,934,293,10.9844,7.7048,0.1755,0.0501,0.0287
9,10400001,10450000,10435785,426,196,12.5476,0.9365,0.8611,0.2144,0.1712
9,10450001,10500000,10476000,1066,100,4.9603,1.1905,0.6129,0.1531,0.1185
9,10800001,10850000,10823271,1021,249,29.6111,3.1825,0.8059,0.248,0.2053
9,10850001,10900000,10875734,906,323,32.6984,0.5873,0.9647,0.3209,0.283
9,10900001,10950000,10920539,1048,337,26.627,1.4768,0.8949,0.2254,0.1859
9,10950001,11000000,10980317,969,213,23.855,6.1767,0.5887,0.1819,0.1426
9,11000001,11050000,11022621,681,244,30.9206,2.9147,0.8277,0.2964,0.2468
9,11050001,11100000,11076241,683,284,33.9237,2.7008,0.8525,0.2796,0.2193
9,11100001,11150000,11125065,940,257,35.2259,2.7619,0.8546,0.3124,0.2546
9,11150001,11200000,11175903,1082,293,18.1586,1.6509,0.8333,0.1757,0.1442
