scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
9,450001,500000,471578,523,150,7.1287,1.1401,0.7242,0.2353,0.1383
9,500001,550000,528194,800,100,8.723,0.016,0.9963,0.4482,0.3422
9,550001,600000,577444,926,220,27.496,3.0704,0.7991,0.41,0.3035
9,650001,700000,674669,1491,102,3.9028,2.9643,0.1367,0.0537,0.0259
9,1100001,1150000,1130369,1435,153,6.2768,2.4415,0.4399,0.1214,0.0727
9,1600001,1650000,1623392,1212,373,6.8574,4.768,0.1797,0.0244,0.014
9,1650001,1700000,1676039,1153,175,3.8333,1.5823,0.4157,0.0699,0.0372
9,1700001,1750000,1722975,1431,356,16.129,4.9609,0.5295,0.1663,0.091
9,1800001,1850000,1828363,1599,138,1.381,7.4567,-0.6875,-0.2006,-0.0877
9,1950001,2000000,1974031,1153,241,26.5189,9.2863,0.4813,0.1669,0.1234
9,2000001,2050000,2023500,986,331,23.8703,11.6631,0.3435,0.1142,0.0722
9,2050001,2100000,2075168,933,268,16.6032,9.8175,0.2568,0.0813,0.0511
9,2350001,2400000,2374882,1202,232,12.3879,13.0833,-0.0273,-0.0139,-0.0071
9,2500001,2550000,2525682,1553,102,3.0566,2.4478,0.1106,0.0326,0.0184
9,2550001,2600000,2574430,1239,478,20.563,18.774,0.0455,0.0171,0.0096
9,2600001,2650000,2620784,1050,235,9.7503,5.5883,0.2713,0.0997,0.0527
9,2650001,2700000,2671597,1223,307,10.5794,11.1449,-0.026,-0.0093,-0.0056
9,2700001,2750000,2720626,828,227,4.1511,4.1905,-0.0047,-0.0009,-0.0006
9,2800001,2850000,2825422,958,130,2.0772,3.254,-0.2207,-0.0303,-0.0202
9,2850001,2900000,2873783,835,105,2.8889,0.7495,0.588,0.0786,0.0617
9,3000001,3050000,3026110,845,204,3.9206,7.3808,-0.3062,-0.1104,-0.0478
9,3050001,3100000,3074349,1397,313,15.6587,12.2098,0.1238,0.0386,0.0248
9,3100001,3150000,3122552,1095,384,27.8793,10.3426,0.4588,0.135,0.0935
9,3150001,3200000,3171066,1303,188,4.2857,5.6667,-0.1388,-0.0296,-0.0179
9,3200001,3250000,3225250,1082,223,8.0054,5.6918,0.1689,0.034,0.0209
9,3250001,3300000,3277197,1373,337,8.2143,13.6721,-0.2494,-0.0488,-0.0294
9,3300001,3350000,3320405,1248,334,16.254,6.7698,0.4119,0.0754,0.049
9,3350001,3400000,3373619,1055,209,8.7937,5.0794,0.2677,0.0453,0.0317
9,3400001,3450000,3423223,991,262,18.373,4.9475,0.5757,0.1385,0.0997
9,3450001,3500000,3475342,1706,697,81.5095,18.0613,0.6372,0.236,0.1943
9,3500001,3550000,3527102,1577,214,23.0928,1.0246,0.915,0.2313,0.2015
9,3700001,3750000,3721534,1194,278,16.7659,7.4808,0.3829,0.0937,0.0661
9,3750001,3800000,3775905,1161,270,20.1238,4.3413,0.6451,0.2099,0.1581
9,3800001,3850000,3823514,1108,169,7.0238,1.2268,0.7026,0.094,0.0667
9,3850001,3900000,3875885,1164,428,12.7937,7.983,0.2315,0.0318,0.0223
9,3900001,3950000,3927305,2722,659,6.5971,25.1003,-0.5837,-0.0984,-0.058
9,3950001,4000000,3970014,1897,856,24.8738,34.0219,-0.1553,-0.0441,-0.0256
9,4000001,4050000,4029246,1931,360,14.1419,9.6045,0.1911,0.0341,0.0227
9,4150001,4200000,4169499,1389,201,14.2778,2.6825,0.6837,0.1955,0.1414
9,4200001,4250000,4224452,1267,516,36.3078,12.5148,0.4873,0.1403,0.1115
9,4250001,4300000,4277626,1079,353,27.6977,5.8125,0.6531,0.1869,0.15
9,4300001,4350000,4324572,1289,306,28.9808,2.3705,0.8488,0.228,0.1953
9,4350001,4400000,4378125,904,266,20.2071,7.374,0.4653,0.1725,0.1219
9,4400001,4450000,4422119,1225,400,33.6736,7.0745,0.6528,0.2227,0.1615
9,4450001,4500000,4474908,990,361,9.9679,12.7961,-0.1242,-0.0307,-0.0175
9,4500001,4550000,4525671,980,371,12.6409,5.1908,0.4178,0.1101,0.0615
9,4550001,4600000,4574446,1063,343,9.5397,10.5096,-0.0484,-0.0117,-0.0068
9,5150001,5200000,5177213,965,392,44.352,3.2779,0.8624,0.3196,0.2724
9,5200001,5250000,5223067,823,274,27.6749,6.1267,0.6375,0.196,0.1514
9,5250001,5300000,5279966,1120,423,19.1133,12.7781,0.1986,0.0577,0.0372
9,5300001,5350000,5324893,1160,379,16.4176,11.6369,0.1704,0.0483,0.0277
9,5350001,5400000,5376603,1098,436,14.7025,16.9549,-0.0711,-0.0185,-0.0101
9,5850001,5900000,5872158,1114,123,11.3369,5.3833,0.3561,0.1652,0.1069
9,6200001,6250000,6224614,634,219,14.4202,7.7288,0.3021,0.1527,0.096
9,6250001,6300000,6277801,968,428,29.0237,16.003,0.2892,0.1126,0.0764
9,6300001,6350000,6321658,821,340,10.8129,10.7474,0.003,0.001,0.0006
9,6350001,6400000,6375128,1008,248,6.7857,10.515,-0.2156,-0.0759,-0.0373
9,6400001,6450000,6426843,794,417,21.7459,7.7928,0.4724,0.1408,0.0915
9,6450001,6500000,6475888,711,315,9.7789,14.0859,-0.1805,-0.0494,-0.0317
9,6500001,6550000,6519193,1095,286,17.5061,7.0068,0.4283,0.1253,0.0976
9,6950001,7000000,6973031,653,152,11.7698,1.5635,0.7655,0.3104,0.2461
9,7000001,7050000,7027311,779,270,25.3853,4.3199,0.7091,0.2882,0.2254
9,7050001,7100000,7075301,608,271,16.3044,3.6429,0.6348,0.2152,0.1625
9,7100001,7150000,7124467,723,304,12.3508,2.2619,0.6904,0.1625,0.1367
9,7150001,7200000,7175291,754,169,9.2944,2.7655,0.5414,0.1992,0.1583
9,7200001,7250000,7227897,717,344,24.3016,2.2304,0.8319,0.2282,0.1872
9,7250001,7300000,7275444,803,389,29.139,3.5952,0.7803,0.2217,0.2016
9,7300001,7350000,7325255,697,264,17.34,3.4444,0.6686,0.1885,0.1471
