scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
23,700001,750000,725068,2414,177,23.1007,2.5588,0.8006,0.2832,0.239
23,750001,800000,775525,2371,327,51.443,6.8624,0.7646,0.2998,0.2377
23,800001,850000,825182,4040,409,45.2506,18.8598,0.4116,0.2165,0.1453
23,1600001,1650000,1625732,2108,328,85.3571,5.127,0.8867,0.3696,0.3207
23,1650001,1700000,1675428,2125,592,153.3267,14.4524,0.8277,0.3292,0.2884
23,1700001,1750000,1725991,1874,453,99.9439,3.7857,0.927,0.3465,0.3102
23,1750001,1800000,1774467,1953,426,64.8672,9.3651,0.7477,0.2175,0.1835
23,1950001,2000000,1974770,2250,150,21.6566,0.9126,0.9191,0.2742,0.238
23,5150001,5200000,5175082,1914,482,69.1313,5.6313,0.8494,0.266,0.2307
23,5700001,5750000,5724521,2172,102,7.9841,3.0952,0.4413,0.1198,0.0891
23,5750001,5800000,5776283,2084,411,59.0248,13.379,0.6304,0.2003,0.1708
23,5800001,5850000,5823616,1892,382,75.1984,2.3016,0.9406,0.2811,0.2526
23,5850001,5900000,5873843,2214,513,93.8526,9.6582,0.8134,0.2938,0.252
23,5900001,5950000,5925539,2046,308,57.5238,7.2222,0.7769,0.264,0.2321
23,5950001,6000000,5975985,2111,476,65.4191,6.9945,0.8068,0.2161,0.1913
23,6000001,6050000,6025183,2282,147,12.5634,8.4365,0.1965,0.0633,0.0525
23,6600001,6650000,6623763,1905,392,96.8966,11.9048,0.7812,0.3832,0.2635
23,6650001,6700000,6676656,2013,146,25.4762,2.0413,0.8516,0.264,0.2024
23,7300001,7350000,7323792,1929,405,76.0714,14.0952,0.6874,0.2394,0.2012
23,7350001,7400000,7373917,1921,405,59.6587,12.254,0.6592,0.2073,0.1635
23,7400001,7450000,7425870,2084,350,65.7294,5.4683,0.8464,0.2813,0.2474
23,7450001,7500000,7469670,1683,280,39.1007,6.1032,0.73,0.2137,0.1834
23,7500001,7550000,7528590,1736,281,48.158,5.7545,0.7865,0.2339,0.2052
23,7550001,7600000,7559659,813,179,28.6905,4.2549,0.7417,0.2732,0.2373
23,7600001,7650000,7626656,1982,146,18.1429,0.8095,0.9146,0.215,0.1615
23,7850001,7900000,7874578,2133,100,16.8571,3.9683,0.6189,0.2253,0.1783
23,7900001,7950000,7923304,2007,266,56.8715,6.0317,0.8082,0.3043,0.2606
23,8000001,8050000,8026994,2268,254,24.0409,4.6825,0.674,0.1405,0.1239
23,8150001,8200000,8175349,2078,152,22.7759,2.6067,0.7946,0.2344,0.2048
23,8200001,8250000,8224700,1919,414,87.9861,7.2252,0.8482,0.2683,0.2454
23,8250001,8300000,8275476,1966,120,20.9444,0.754,0.9305,0.2295,0.2099
23,8350001,8400000,8380698,1444,278,67.0538,8.8016,0.7679,0.3225,0.2841
23,8950001,9000000,8976122,2024,344,39.9524,6.6927,0.713,0.1491,0.1177
23,9000001,9050000,9024247,1870,423,44.3016,4.2918,0.8234,0.1757,0.1318
23,9050001,9100000,9073768,1859,351,43.3254,8.4528,0.6735,0.1702,0.1272
23,9100001,9150000,9125959,1962,358,30.8155,5.985,0.6747,0.1377,0.1004
23,9150001,9200000,9176531,2471,225,26.8824,2.4524,0.8328,0.2103,0.1564
23,9750001,9800000,9775592,1736,102,12.0,6.0397,0.3304,0.0898,0.0706
23,11100001,11150000,11134888,1191,198,37.4185,3.1667,0.8439,0.236,0.2097
23,11300001,11350000,11326320,1925,142,23.8646,3.0873,0.7709,0.2379,0.1971
23,11450001,11500000,11476513,1996,326,40.2838,4.1125,0.8147,0.1919,0.1589
23,11500001,11550000,11524128,2097,194,32.9113,3.6111,0.8023,0.2761,0.2319
23,11550001,11600000,11576702,2154,231,32.7619,7.8345,0.614,0.2268,0.167
23,11600001,11650000,11624699,2253,324,65.8852,10.8104,0.7181,0.2984,0.2426
23,11800001,11850000,11826777,2067,176,40.9027,2.0,0.9068,0.337,0.3005
23,12000001,12050000,12024127,1998,160,28.0794,3.2167,0.7944,0.2485,0.2139
23,12200001,12250000,12225575,2081,361,65.4314,2.619,0.923,0.2802,0.2508
23,12600001,12650000,12625146,2014,608,53.8909,17.5099,0.5095,0.1343,0.1043
23,12650001,12700000,12673867,2011,289,22.3413,8.3623,0.4553,0.1024,0.0739
23,12800001,12850000,12825288,1944,147,17.9206,3.1032,0.7048,0.2256,0.1956
23,12850001,12900000,12874709,2094,550,56.047,16.5757,0.5435,0.1445,0.1211
23,12900001,12950000,12925360,2057,620,98.5783,11.873,0.785,0.206,0.1809
23,12950001,13000000,12975558,2100,557,90.9234,8.1368,0.8357,0.2216,0.1906
23,13000001,13050000,13025000,2069,592,82.0295,21.3487,0.587,0.208,0.1678
23,13050001,13100000,13074213,2057,548,105.0794,18.0637,0.7066,0.2396,0.2085
23,13100001,13150000,13124783,2298,272,48.5317,5.4595,0.7978,0.2314,0.2007
23,13200001,13250000,13224432,2441,217,33.8175,4.0873,0.7843,0.2204,0.1847
23,13250001,13300000,13274725,2089,211,25.4841,1.5156,0.8877,0.2134,0.1906
23,13350001,13400000,13375735,1963,632,120.4791,10.7628,0.836,0.2808,0.2448
23,13400001,13450000,13423836,1951,240,32.7302,6.2312,0.6801,0.1742,0.1546
23,13750001,13800000,13774197,1555,564,98.2733,17.8492,0.6926,0.26,0.2199
23,13800001,13850000,13825112,1625,512,69.0799,12.2857,0.698,0.1769,0.1525
23,13850001,13900000,13874125,1491,630,88.6587,12.3815,0.7549,0.1851,0.1653
23,13900001,13950000,13926387,1773,540,87.254,11.8817,0.7603,0.2345,0.1933
23,13950001,14000000,13975436,1771,715,73.1117,16.4275,0.6331,0.1437,0.109
23,14000001,14050000,14025995,1642,451,49.0714,7.1887,0.7444,0.1576,0.1233
23,14150001,14200000,14176562,1925,183,36.2975,3.0079,0.8469,0.2625,0.2398
