scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
17,550001,600000,573667,1060,100,9.8254,2.0,0.6617,0.2294,0.2053
17,900001,950000,923928,1773,145,3.8173,2.4667,0.2149,0.0258,0.0204
17,950001,1000000,972588,1010,119,5.427,2.7119,0.3336,0.0604,0.0465
17,1000001,1050000,1030691,2166,127,3.5482,4.5152,-0.1199,-0.0252,-0.018
17,1150001,1200000,1174302,729,278,8.7559,5.1543,0.2589,0.0446,0.0304
17,1200001,1250000,1221767,1213,181,4.8254,3.5889,0.147,0.0237,0.0157
17,1250001,1300000,1279717,1041,193,2.3897,2.41,-0.0042,-0.0004,-0.0003
17,1300001,1350000,1319617,1550,149,13.597,0.2227,0.9678,0.2663,0.2251
17,1350001,1400000,1376210,1039,173,14.7698,1.3571,0.8317,0.2537,0.2194
17,1750001,1800000,1775730,1035,219,13.9911,8.7405,0.231,0.0699,0.0519
17,1800001,1850000,1823275,893,325,17.1819,4.7862,0.5643,0.103,0.0866
17,1850001,1900000,1877311,1267,227,20.8333,0.7778,0.928,0.2156,0.1973
17,1900001,1950000,1924978,1483,263,43.0876,1.3336,0.94,0.3758,0.344
17,2350001,2400000,2375737,1168,275,34.2956,3.2937,0.8248,0.3263,0.2564
17,2400001,2450000,2429141,1172,315,39.7645,3.4233,0.8415,0.2517,0.2318
17,2450001,2500000,2479566,1472,312,53.0925,4.958,0.8292,0.4325,0.3616
17,2500001,2550000,2524813,1138,304,54.0485,4.1164,0.8585,0.4726,0.3829
17,2550001,2600000,2568972,1709,207,58.7993,1.5485,0.9487,0.7229,0.6252
17,2600001,2650000,2625064,1012,161,32.1523,0.7063,0.957,0.4763,0.4534
17,2650001,2700000,2675688,1000,377,61.406,2.7396,0.9146,0.4299,0.3793
17,2700001,2750000,2724291,791,410,41.0976,2.241,0.8966,0.247,0.2388
17,2750001,2800000,2774065,865,361,55.8117,1.2778,0.9552,0.3458,0.3266
17,2800001,2850000,2826397,1073,364,55.1589,2.643,0.9086,0.3305,0.3031
17,2850001,2900000,2876520,1102,367,56.9358,2.3586,0.9204,0.3377,0.3098
17,2900001,2950000,2921284,1243,535,99.6009,3.0032,0.9415,0.3706,0.3349
17,2950001,3000000,2974999,2788,607,70.4967,15.9003,0.6319,0.1772,0.156
17,3000001,3050000,3025336,1969,269,50.6748,4.0476,0.8521,0.369,0.3171
17,3300001,3350000,3322325,1325,151,16.1134,2.4171,0.7391,0.2014,0.1664
17,3350001,3400000,3375037,1651,512,109.0536,12.2619,0.7979,0.3419,0.2911
17,3400001,3450000,3427214,2278,563,164.2511,17.0025,0.8124,0.4508,0.3502
17,3450001,3500000,3480306,1727,338,38.1747,12.8208,0.4972,0.1896,0.1278
17,3500001,3550000,3527854,2114,168,8.7093,3.1635,0.4671,0.0608,0.0488
17,3550001,3600000,3572281,1442,153,19.373,2.5587,0.7667,0.319,0.2395
17,3850001,3900000,3877377,1353,289,27.4798,4.2413,0.7326,0.2225,0.1701
17,3900001,3950000,3925875,1194,486,38.9225,11.9832,0.5292,0.1295,0.1048
17,3950001,4000000,3969120,1043,339,41.7765,2.9444,0.8683,0.2666,0.2233
17,4000001,4050000,4029035,1210,277,24.9073,2.0558,0.8475,0.1874,0.1758
17,4050001,4100000,4073159,1361,362,27.8995,13.8553,0.3364,0.1048,0.0734
17,4100001,4150000,4122359,1507,445,63.7909,7.9587,0.7782,0.3752,0.2795
17,4150001,4200000,4173841,1215,233,20.6212,7.6508,0.4588,0.1216,0.0899
17,4200001,4250000,4227327,902,284,12.6674,6.5896,0.3156,0.0508,0.0375
17,4250001,4300000,4275032,1095,314,19.6984,6.8164,0.4858,0.1077,0.0882
17,4300001,4350000,4324211,1454,260,9.3492,6.7402,0.1622,0.0272,0.0194
17,4350001,4400000,4375394,1025,329,19.7933,17.8117,0.0527,0.0131,0.0094
17,4400001,4450000,4420671,861,295,16.033,7.3098,0.3737,0.0644,0.0487
17,4450001,4500000,4477694,1355,295,18.6754,7.2703,0.4396,0.0708,0.0633
17,4500001,4550000,4522893,1071,158,11.1668,1.6153,0.7473,0.1046,0.0998
17,4700001,4750000,4723892,828,240,10.76,4.1429,0.444,0.0569,0.0536
17,4750001,4800000,4777939,986,234,27.0873,3.7698,0.7557,0.2481,0.209
17,4800001,4850000,4824517,1252,233,72.4697,2.0682,0.9445,0.7581,0.614
17,4850001,4900000,4878527,1191,145,38.3584,1.1032,0.9441,0.6695,0.5839
17,5350001,5400000,5375862,1195,107,14.6492,2.3968,0.7188,0.2636,0.2083
17,5450001,5500000,5478155,1053,244,15.3995,5.0529,0.5059,0.1203,0.0806
17,5600001,5650000,5624561,1089,289,19.6234,13.6349,0.1801,0.0384,0.0316
17,6300001,6350000,6327928,1494,112,56.1475,0.4603,0.9837,0.9189,0.8316
17,7050001,7100000,7070391,743,104,20.127,0.127,0.9875,0.5638,0.5182
17,7100001,7150000,7129132,1262,147,32.9363,1.2381,0.9275,0.6672,0.5308
17,7450001,7500000,7472970,1061,216,46.0552,1.3897,0.9414,0.4522,0.4085
17,7700001,7750000,7723361,1062,100,11.3801,1.0159,0.8361,0.465,0.2963
17,7750001,7800000,7774598,862,115,32.8021,0.0317,0.9981,0.7923,0.6376
17,8350001,8400000,8375638,1127,182,19.9433,0.1429,0.9858,0.2548,0.2229
17,8950001,9000000,8976356,1394,652,169.6925,3.2916,0.9619,0.843,0.611
17,9000001,9050000,9027469,1403,418,89.0505,2.6483,0.9422,0.7161,0.4969
17,9900001,9950000,9924653,2064,138,24.7602,2.0501,0.8471,0.4048,0.3589
17,9950001,10000000,9959759,432,104,15.4116,2.127,0.7575,0.271,0.2549
17,10200001,10250000,10228021,1576,671,104.4938,1.7619,0.9668,0.4121,0.3944
17,10250001,10300000,10278267,2081,673,202.6912,6.2199,0.9405,0.632,0.557
17,10300001,10350000,10324646,2390,219,42.807,1.8668,0.9164,0.5566,0.4659
17,12650001,12700000,12675375,1828,635,167.5635,3.2381,0.9621,0.6405,0.5635
17,12700001,12750000,12722350,998,358,91.036,2.3889,0.9489,0.525,0.4863
17,12750001,12800000,12775109,961,269,59.1019,2.4948,0.919,0.7441,0.6467
17,12800001,12850000,12828516,951,264,56.6764,4.1873,0.8624,0.6895,0.5598
17,12850001,12900000,12874940,893,235,55.5727,2.5351,0.9127,0.7049,0.5905
17,12950001,13000000,12976383,1093,158,45.0396,0.0714,0.9968,0.8259,0.7818
17,13250001,13300000,13275806,993,251,71.1066,0.6093,0.983,0.8692,0.7612
17,13300001,13350000,13327436,698,250,56.821,0.5987,0.9791,0.7842,0.7197
17,13400001,13450000,13426265,887,149,37.4428,0.0721,0.9962,0.8403,0.7543
17,13450001,13500000,13476623,1154,150,48.9127,0.3193,0.987,0.8249,0.7452
17,13500001,13550000,13524219,1246,405,60.1799,2.2105,0.9291,0.3177,0.2962
17,13550001,13600000,13573965,1289,323,82.8974,3.0714,0.9285,0.4933,0.4587
17,13600001,13650000,13627414,972,348,67.8487,2.1443,0.9387,0.4441,0.4088
17,13650001,13700000,13673998,1073,383,51.739,0.3178,0.9878,0.3344,0.3115
17,13700001,13750000,13725619,1168,372,71.7734,3.707,0.9018,0.3709,0.3417
17,13750001,13800000,13769870,917,198,24.7151,1.2698,0.9023,0.2112,0.1999
17,14300001,14350000,14326336,918,142,18.5794,2.1453,0.793,0.2597,0.2313
17,14650001,14700000,14677796,1318,291,34.4328,4.9441,0.7489,0.2076,0.1776
17,14700001,14750000,14723892,799,249,13.0376,5.3943,0.4147,0.0905,0.0608
17,14750001,14800000,14775434,1136,483,39.6632,13.7063,0.4864,0.1222,0.0935
17,14800001,14850000,14825257,1338,350,25.2959,13.2323,0.3131,0.0913,0.0673
17,14850001,14900000,14873860,1111,404,32.047,10.7681,0.497,0.1126,0.0893
17,14900001,14950000,14925112,996,385,54.7142,4.0986,0.8606,0.272,0.2434
17,14950001,15000000,14974677,1025,160,6.7937,8.0903,-0.0871,-0.0288,-0.0175
17,15000001,15050000,15025035,819,282,10.3336,2.381,0.6255,0.0757,0.0618
17,15050001,15100000,15073801,1021,357,35.0023,5.4115,0.7322,0.1957,0.1532
17,15100001,15150000,15128031,1306,493,31.429,12.2649,0.4386,0.0707,0.0624
17,15150001,15200000,15172182,1236,206,13.849,3.7937,0.5699,0.1233,0.1082
17,15400001,15450000,15426307,1040,147,7.5323,2.0242,0.5764,0.074,0.066
17,15450001,15500000,15475709,1019,166,28.9444,1.8175,0.8818,0.3575,0.3045
17,15500001,15550000,15523759,1194,283,25.2658,4.0873,0.7215,0.1486,0.1303
17,15550001,15600000,15576309,1145,357,52.8239,6.4323,0.7829,0.3429,0.2727
17,15600001,15650000,15622919,1475,497,81.7615,9.1221,0.7993,0.3328,0.2757
17,15650001,15700000,15674826,1143,493,50.1336,3.6035,0.8659,0.2835,0.2387
17,15700001,15750000,15724563,1077,468,50.4839,2.6984,0.8985,0.2953,0.2632
17,15750001,15800000,15776235,1019,198,16.9453,0.7556,0.9146,0.2481,0.2292
17,16000001,16050000,16026236,896,287,32.7094,4.3717,0.7642,0.2215,0.1918
17,16050001,16100000,16074610,1483,368,46.5218,10.0952,0.6434,0.2435,0.2032
17,16100001,16150000,16126627,1761,340,38.0158,7.2679,0.679,0.2664,0.2087
17,16150001,16200000,16176764,1284,516,95.8937,12.2929,0.7727,0.4035,0.3412
17,16200001,16250000,16223206,1438,298,41.304,2.0645,0.9048,0.3171,0.2701
17,16250001,16300000,16277029,1496,429,63.4277,1.2656,0.9609,0.31,0.2821
17,16300001,16350000,16325930,1570,387,97.232,3.4762,0.931,0.5237,0.4539
17,16350001,16400000,16377145,1906,403,61.916,9.7857,0.727,0.2669,0.2309
17,16400001,16450000,16420294,1742,425,75.5259,8.0807,0.8067,0.321,0.284
17,16450001,16500000,16473324,1897,645,95.6953,14.5375,0.7362,0.2734,0.2265
17,16500001,16550000,16523543,1308,489,67.545,8.3333,0.7804,0.2917,0.2566
17,16550001,16600000,16575409,910,398,49.9311,10.8871,0.642,0.2492,0.2022
17,16600001,16650000,16626948,1335,482,97.747,8.8456,0.834,0.4557,0.3715
17,16650001,16700000,16674557,1428,536,98.422,6.9893,0.8674,0.3704,0.3246
17,16700001,16750000,16725011,1480,500,75.9036,4.4411,0.8894,0.3315,0.2977
17,16750001,16800000,16774895,1651,408,60.3578,4.842,0.8515,0.3447,0.2895
17,16800001,16850000,16823401,1629,383,62.8957,9.4029,0.7399,0.3607,0.3161
17,16850001,16900000,16876162,1328,335,48.4219,1.2307,0.9504,0.3605,0.3252
17,16900001,16950000,16928894,1820,131,9.7302,5.5442,0.2741,0.0645,0.0548
17,17050001,17100000,17074546,1268,406,45.0742,9.9759,0.6376,0.2297,0.1791
17,17100001,17150000,17125467,1246,432,41.119,8.7398,0.6494,0.2225,0.1747
17,17150001,17200000,17173146,1346,396,48.3337,14.0057,0.5507,0.2691,0.1844
17,17200001,17250000,17225649,1845,466,84.741,6.6374,0.8547,0.4749,0.3547
17,17250001,17300000,17275487,1793,685,192.3614,7.0979,0.9288,0.5644,0.4922
17,17300001,17350000,17326884,1348,492,70.1458,11.1429,0.7258,0.2541,0.227
17,17350001,17400000,17375014,1000,416,65.7101,2.2782,0.933,0.379,0.3223
17,17400001,17450000,17425875,1054,385,78.1783,2.5397,0.9371,0.4569,0.3999
17,17450001,17500000,17479225,2024,191,46.8113,0.1111,0.9953,0.4959,0.4478
