scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
8,900001,950000,933416,588,159,19.3034,5.8029,0.5377,0.2759,0.1938
8,950001,1000000,977198,1733,202,29.7694,4.177,0.7539,0.3142,0.2502
8,1000001,1050000,1021290,1186,186,15.7014,3.4572,0.6391,0.2078,0.1533
8,1050001,1100000,1077213,1137,269,31.1134,6.7247,0.6446,0.2477,0.1824
8,1100001,1150000,1124571,1050,196,15.7573,2.2137,0.7536,0.2334,0.1791
8,1150001,1200000,1172171,1278,168,22.3376,4.0159,0.6952,0.3274,0.2736
8,2100001,2150000,2125839,899,103,15.0,3.246,0.6442,0.3019,0.2434
8,2300001,2350000,2328938,1734,415,69.3508,4.5317,0.8773,0.3002,0.278
8,2350001,2400000,2379229,1778,193,19.8223,3.0717,0.7317,0.2488,0.2113
8,3250001,3300000,3275018,1268,399,42.2623,4.077,0.824,0.2211,0.1913
8,3300001,3350000,3323105,965,410,41.1468,7.4428,0.6936,0.2343,0.2027
8,3600001,3650000,3624952,729,223,32.8926,3.8469,0.7906,0.3101,0.2627
8,3650001,3700000,3674451,933,230,22.6711,5.8773,0.5883,0.1917,0.1557
8,4700001,4750000,4724756,1546,336,26.7556,4.7063,0.7008,0.1953,0.1541
8,4750001,4800000,4775250,1440,580,66.3566,10.0607,0.7367,0.2514,0.2251
8,4800001,4850000,4825367,1495,519,64.6502,3.9146,0.8858,0.3092,0.2795
8,4850001,4900000,4877642,1730,730,89.3181,7.9247,0.837,0.2906,0.2534
8,4900001,4950000,4921909,1592,457,66.2406,6.2606,0.8273,0.2944,0.2488
8,4950001,5000000,4980039,1709,147,19.4201,0.1371,0.986,0.3842,0.3307
8,5150001,5200000,5173360,1167,119,2.1667,7.4603,-0.5499,-0.1563,-0.0995
8,5200001,5250000,5226465,930,316,19.5934,13.5709,0.1816,0.0558,0.0391
8,5250001,5300000,5278235,1082,469,34.9583,10.9742,0.5222,0.1113,0.0894
8,5300001,5350000,5324010,937,389,31.7728,11.0992,0.4822,0.1509,0.1005
8,5350001,5400000,5376494,944,109,7.3097,1.1039,0.7376,0.1889,0.1461
8,5400001,5450000,5424795,1332,162,7.7237,1.8361,0.6159,0.0714,0.063
8,5450001,5500000,5476808,1116,429,58.2765,6.8889,0.7886,0.2928,0.2452
8,5500001,5550000,5523152,940,364,32.3789,5.2507,0.7209,0.2027,0.172
8,5550001,5600000,5574590,611,173,15.4357,3.3171,0.6462,0.2121,0.1673
8,5600001,5650000,5625297,1359,233,28.0326,5.8571,0.6543,0.2751,0.2198
8,5650001,5700000,5679601,653,217,27.4745,6.7737,0.6044,0.2367,0.1976
8,5700001,5750000,5726645,949,385,48.9975,9.8052,0.6665,0.2781,0.2093
8,6150001,6200000,6173087,749,137,16.8287,2.8413,0.7111,0.2744,0.2233
8,6350001,6400000,6375545,1062,208,6.61,5.7413,0.0703,0.0124,0.0095
8,6400001,6450000,6432461,2061,160,5.5873,1.9986,0.4731,0.0833,0.0604
8,6650001,6700000,6667122,1120,169,7.0,1.9365,0.5666,0.0687,0.0556
8,6700001,6750000,6726359,721,356,16.9536,4.3417,0.5922,0.1047,0.0768
8,6750001,6800000,6774775,703,248,17.754,1.0107,0.8923,0.2024,0.1367
8,7000001,7050000,7025018,938,384,32.051,4.9679,0.7316,0.2254,0.1944
8,7050001,7100000,7074299,1041,246,18.4812,4.6664,0.5968,0.1754,0.1446
8,7100001,7150000,7124486,1317,289,27.351,3.2171,0.7895,0.246,0.218
8,7150001,7200000,7173736,781,189,19.3011,1.0238,0.8993,0.2643,0.2497
8,7350001,7400000,7375672,932,425,38.8767,8.1921,0.6519,0.1992,0.1457
8,7400001,7450000,7425308,654,197,8.8475,0.754,0.8429,0.1823,0.1351
8,7500001,7550000,7526726,908,185,16.9468,0.2143,0.975,0.2266,0.1992
8,7550001,7600000,7578318,1177,439,60.8359,4.0321,0.8757,0.3572,0.3095
8,7600001,7650000,7624654,1002,350,42.7133,1.6714,0.9247,0.3709,0.3049
8,7650001,7700000,7675323,937,122,18.0392,1.3333,0.8623,0.3717,0.3327
8,7700001,7750000,7720023,1413,327,20.5216,5.0397,0.6057,0.1732,0.1351
8,7750001,7800000,7774711,1277,332,30.7151,4.4653,0.7461,0.2383,0.2102
8,7800001,7850000,7825074,1243,388,42.6497,6.2336,0.745,0.2455,0.2007
8,7850001,7900000,7869698,1456,306,35.5995,1.8744,0.9,0.3083,0.2477
8,7900001,7950000,7927413,922,320,34.8293,7.7956,0.6342,0.2208,0.1858
8,7950001,8000000,7975029,1024,402,32.1582,6.7181,0.6544,0.1693,0.1362
8,8000001,8050000,8020009,1483,235,16.6265,2.9608,0.6977,0.187,0.1478
8,8050001,8100000,8077481,883,324,29.366,1.626,0.8951,0.2563,0.209
8,8100001,8150000,8124087,831,278,33.7063,4.2937,0.774,0.2532,0.1995
8,8600001,8650000,8627356,874,487,16.5278,9.8787,0.2518,0.0497,0.0328
8,8650001,8700000,8677004,713,372,6.3929,3.5562,0.2851,0.029,0.0211
8,8700001,8750000,8725741,844,149,10.8082,3.8413,0.4756,0.1551,0.1233
8,9050001,9100000,9072793,753,249,19.7222,5.9762,0.5349,0.1611,0.117
8,9200001,9250000,9225188,723,152,3.4048,1.276,0.4548,0.0689,0.0514
8,9250001,9300000,9274801,807,410,16.3175,4.4854,0.5688,0.1344,0.1003
8,9300001,9350000,9326626,633,303,22.6862,2.2446,0.8199,0.2446,0.1982
8,9350001,9400000,9374498,942,434,20.4022,9.1959,0.3786,0.0925,0.0557
8,9400001,9450000,9424114,801,318,20.3633,5.547,0.5718,0.1537,0.1153
8,9450001,9500000,9474982,769,322,22.5637,7.9273,0.48,0.1495,0.0949
8,9500001,9550000,9526229,1005,442,27.8333,16.4641,0.2567,0.0794,0.0502
8,9550001,9600000,9574160,1057,447,36.6221,6.0164,0.7178,0.2003,0.1587
8,9750001,9800000,9776275,981,326,39.2381,7.6107,0.6751,0.2338,0.186
8,9800001,9850000,9825796,912,390,38.0365,2.3413,0.884,0.2567,0.224
8,9850001,9900000,9875601,727,369,19.4328,2.9204,0.7387,0.1212,0.1052
8,9900001,9950000,9928773,922,433,50.3101,4.8305,0.8248,0.3137,0.2699
8,9950001,10000000,9972745,1118,398,30.8889,4.7125,0.7353,0.1846,0.1518
8,10000001,10050000,10024842,943,367,40.6299,4.0717,0.8178,0.2752,0.2244
8,10050001,10100000,10075848,943,394,42.2281,6.5725,0.7306,0.2246,0.1868
8,10300001,10350000,10322775,944,285,29.5978,6.1429,0.6563,0.2556,0.1837
8,10350001,10400000,10376851,917,375,34.1713,10.0599,0.5451,0.2336,0.1538
8,10400001,10450000,10425478,1349,547,43.7692,10.6591,0.6083,0.1722,0.1434
8,10450001,10500000,10472088,1454,595,44.6949,8.3906,0.6839,0.165,0.1433
8,10500001,10550000,10526532,1187,528,38.0271,14.0956,0.4591,0.1508,0.1189
8,10550001,10600000,10572856,1592,842,80.0197,14.7499,0.6887,0.2182,0.1754
8,10600001,10650000,10623928,848,207,6.9365,2.7628,0.4303,0.1147,0.0828
8,10900001,10950000,10925468,1332,347,14.2167,8.915,0.2292,0.0612,0.0461
8,10950001,11000000,10974354,1197,549,31.5406,16.0072,0.3267,0.1134,0.0834
8,11200001,11250000,11225370,878,445,23.2659,6.6125,0.5574,0.1196,0.0985
8,11250001,11300000,11279949,1201,237,13.1211,2.2545,0.7067,0.1685,0.1362
8,12400001,12450000,12425417,808,387,43.6587,13.8264,0.519,0.2579,0.1907
8,12450001,12500000,12475335,990,373,29.4346,6.0421,0.6594,0.2249,0.1682
8,12500001,12550000,12526065,1190,297,40.7192,3.9525,0.823,0.4278,0.3687
8,12550001,12600000,12573128,980,344,36.5435,3.5533,0.8228,0.3265,0.2607
8,12600001,12650000,12629364,1258,280,25.2426,1.1667,0.9116,0.3021,0.2635
8,12700001,12750000,12726935,1658,346,38.8786,3.1411,0.8505,0.3016,0.2698
8,12750001,12800000,12774509,1110,528,38.0028,6.0056,0.7271,0.1987,0.1763
8,12800001,12850000,12825488,932,444,43.7741,8.3863,0.6784,0.2676,0.2104
8,12850001,12900000,12875395,1150,444,48.9497,13.2908,0.5729,0.2289,0.1781
8,12900001,12950000,12929667,1469,285,24.4802,8.5744,0.4812,0.2085,0.1354
8,12950001,13000000,12973749,957,283,31.1508,5.1587,0.7158,0.2572,0.2073
8,13200001,13250000,13223974,1359,409,49.8351,5.2204,0.8104,0.2805,0.2378
8,13250001,13300000,13274357,865,370,28.4421,5.2602,0.6878,0.2201,0.1723
8,13300001,13350000,13328606,1644,507,57.5698,6.2924,0.8029,0.2788,0.2348
8,13350001,13400000,13375501,1848,510,61.7439,14.9168,0.6108,0.2124,0.1786
8,13550001,13600000,13576435,921,240,24.7066,3.6559,0.7422,0.3498,0.2692
8,13600001,13650000,13627021,1179,329,19.0422,3.4211,0.6954,0.1797,0.1331
8,13650001,13700000,13674812,1225,329,36.9156,4.0079,0.8041,0.2717,0.2266
8,13700001,13750000,13726251,1415,356,40.8987,6.2619,0.7344,0.2647,0.2155
8,13750001,13800000,13773982,2194,241,42.0818,3.023,0.866,0.4456,0.3925
8,13900001,13950000,13923081,2056,129,13.7476,2.246,0.7191,0.318,0.222
8,13950001,14000000,13976221,1110,325,32.666,2.5594,0.8547,0.2546,0.2179
8,14000001,14050000,14021018,1197,188,22.2699,3.9512,0.6986,0.3463,0.2749
8,14050001,14100000,14074972,833,264,19.4987,9.5952,0.3404,0.1413,0.1026
8,14100001,14150000,14125132,961,341,32.4603,4.7194,0.7461,0.2558,0.1956
8,14150001,14200000,14176458,877,164,22.7644,1.9444,0.8426,0.3929,0.3395
8,14500001,14550000,14526495,1654,488,41.1967,11.0792,0.5761,0.1314,0.1157
8,14550001,14600000,14573786,1216,581,62.1789,12.2528,0.6708,0.223,0.1888
8,14600001,14650000,14626927,2199,719,74.245,28.3685,0.4471,0.145,0.1172
8,14650001,14700000,14650643,168,110,1.3333,2.2143,-0.2483,-0.1016,-0.0335
8,15400001,15450000,15423418,1134,199,6.7302,2.711,0.4257,0.0557,0.0412
8,15450001,15500000,15474671,1333,277,24.2884,3.9722,0.7189,0.2443,0.1884
8,15500001,15550000,15520960,935,232,27.3413,3.2698,0.7864,0.3079,0.2543
8,15550001,15600000,15576373,1076,124,21.5635,3.6003,0.7139,0.3128,0.2535
8,15800001,15850000,15824492,1000,104,10.6429,1.1651,0.8027,0.3173,0.2611
8,15850001,15900000,15876087,1025,279,30.2063,2.127,0.8684,0.3318,0.2839
8,15900001,15950000,15926065,1167,263,27.6336,1.6542,0.887,0.3785,0.2898
8,15950001,16000000,15974917,1125,332,27.8932,4.972,0.6974,0.2912,0.2145
8,16000001,16050000,16025031,1291,157,10.7523,5.2061,0.3475,0.103,0.0766
8,16050001,16100000,16077026,1245,318,12.3164,2.2302,0.6934,0.1313,0.1077
8,16100001,16150000,16122554,1204,263,24.34,2.3413,0.8245,0.2894,0.2326
8,16250001,16300000,16274836,975,292,29.7695,1.3889,0.9108,0.4606,0.3619
8,16300001,16350000,16327209,998,172,27.5397,0.7952,0.9439,0.5259,0.4446
8,16400001,16450000,16427721,987,106,14.3271,2.5427,0.6985,0.3715,0.2999
8,18000001,18050000,18024136,907,215,26.0858,2.0635,0.8534,0.3962,0.3283
8,18050001,18100000,18074459,807,297,27.6856,2.9208,0.8091,0.3763,0.2851
8,18150001,18200000,18175429,1123,187,29.9364,4.0397,0.7622,0.4075,0.3171
8,18200001,18250000,18226005,782,223,24.3786,1.0952,0.914,0.3369,0.2903
8,18250001,18300000,18277331,1104,217,25.9898,2.5716,0.8199,0.385,0.3156
8,18350001,18400000,18371835,1331,225,24.0995,1.1587,0.9082,0.4677,0.3843
8,18400001,18450000,18418848,1538,165,19.5729,3.1181,0.7252,0.3317,0.2689
8,18500001,18550000,18524197,3701,532,91.809,7.1028,0.8564,0.5733,0.4294
8,18550001,18600000,18573658,1188,319,33.0365,2.4985,0.8594,0.3321,0.2747
8,18600001,18650000,18626263,1243,232,22.3018,1.4777,0.8757,0.335,0.2585
8,18650001,18700000,18672801,783,209,20.9525,3.5779,0.7083,0.2715,0.2081
8,19050001,19100000,19074359,959,220,16.7275,3.8958,0.6222,0.2243,0.176
8,19100001,19150000,19123967,1099,373,37.2636,2.3799,0.8799,0.2885,0.252
8,19150001,19200000,19174331,907,437,32.646,5.0496,0.7321,0.2336,0.1948
8,19200001,19250000,19227078,1063,118,4.3968,0.2561,0.8899,0.2602,0.187
8,19350001,19400000,19377440,1119,245,26.1271,4.1037,0.7285,0.2832,0.2258
8,19450001,19500000,19475673,1382,574,68.4359,8.5,0.779,0.2611,0.2335
8,19750001,19800000,19774514,1041,299,30.7619,3.9217,0.7739,0.2617,0.2087
8,19900001,19950000,19923896,2063,521,3.7302,12.7663,-0.5478,-0.0267,-0.0235
8,20200001,20250000,20225123,1960,262,11.1908,3.0873,0.5675,0.05,0.0474
8,20350001,20400000,20374713,2378,832,54.1898,17.1776,0.5186,0.0767,0.0699
8,20400001,20450000,20424697,1899,977,48.2758,15.8919,0.5047,0.0581,0.0536
8,20700001,20750000,20735839,1336,467,11.606,7.0769,0.2424,0.016,0.0137
8,20750001,20800000,20773799,2242,445,7.7568,6.8662,0.0609,0.0036,0.0031
8,21150001,21200000,21174551,1786,272,42.6262,4.736,0.8,0.3392,0.2874
8,22000001,22050000,22026842,2337,966,62.3354,11.6012,0.6862,0.0915,0.0848
8,22050001,22100000,22075950,2126,600,37.9335,5.373,0.7519,0.0757,0.0725
8,22100001,22150000,22123771,2166,482,36.9681,8.1111,0.6401,0.0848,0.08
8,22150001,22200000,22173286,2033,260,18.0631,6.4365,0.4746,0.0749,0.064
8,22750001,22800000,22774752,2000,440,24.261,5.0684,0.6544,0.0754,0.0679
8,22800001,22850000,22825737,1993,640,40.176,7.1429,0.6981,0.0703,0.0674
8,23050001,23100000,23075155,2069,603,27.622,17.2716,0.2306,0.0291,0.0239
8,23100001,23150000,23123559,2321,690,20.8802,10.558,0.3283,0.0251,0.0218
8,23150001,23200000,23176882,2075,687,29.6668,11.0684,0.4566,0.0435,0.0384
8,23500001,23550000,23525434,2142,404,31.1197,10.8507,0.4829,0.0818,0.0708
8,23550001,23600000,23576154,2416,683,46.2143,14.2785,0.5279,0.0818,0.0707
8,23600001,23650000,23624852,2275,466,35.5772,8.0,0.6328,0.0812,0.0758
8,24000001,24050000,24023944,2321,429,26.952,7.3175,0.5729,0.0729,0.0644
8,24200001,24250000,24224273,1721,508,24.8319,2.2459,0.8341,0.0771,0.0725
8,24250001,24300000,24277077,1941,821,33.1121,15.9033,0.3511,0.0346,0.0314
8,24300001,24350000,24323813,2629,408,18.6942,8.25,0.3876,0.0419,0.0382
8,24800001,24850000,24825780,2054,516,43.4444,12.1443,0.5631,0.107,0.0951
8,24850001,24900000,24874125,2350,192,22.8001,8.0574,0.4778,0.1416,0.1158
8,25150001,25200000,25173811,2127,167,14.7789,2.9396,0.6682,0.1356,0.1172
8,25400001,25450000,25425541,1877,193,2.0,2.9481,-0.1916,-0.0076,-0.0067
8,25700001,25750000,25724745,1883,195,2.8016,1.4019,0.333,0.0124,0.01
8,25750001,25800000,25775379,1921,344,4.3731,7.8098,-0.2821,-0.0159,-0.0133
8,25800001,25850000,25822440,1264,274,9.2577,5.4683,0.2573,0.0213,0.0191
