scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
4,1075001,1100000,1087465,955,263,120.223,12.6534,0.8095,0.6692,0.5847
4,2625001,2650000,2637626,876,254,105.7529,10.2937,0.8226,0.7025,0.5545
4,3550001,3575000,3562728,894,306,95.8288,4.8335,0.904,0.6222,0.4622
4,4200001,4225000,4213059,1038,278,144.5302,1.873,0.9744,0.7202,0.6717
4,4550001,4575000,4562477,1136,352,92.9963,8.1813,0.8383,0.529,0.4052
4,4575001,4600000,4587181,937,328,71.1408,8.1415,0.7946,0.4882,0.3491
4,4725001,4750000,4738148,1075,271,69.2323,3.4762,0.9044,0.5323,0.4539
4,5425001,5450000,5437067,860,296,91.4804,1.6429,0.9647,0.5527,0.4981
4,5450001,5475000,5462517,1145,336,42.7876,4.6508,0.8039,0.161,0.1539
4,8600001,8625000,8612327,934,258,103.5803,6.0795,0.8891,0.6242,0.5376
4,9025001,9050000,9036948,993,259,150.7143,0.0397,0.9995,0.9573,0.7912
4,9575001,9600000,9587320,860,253,92.8667,4.127,0.9149,0.6498,0.5407
4,9600001,9625000,9612233,1018,347,98.1086,6.9286,0.8681,0.5597,0.4489
4,9625001,9650000,9637174,808,367,91.1252,5.4296,0.8875,0.5221,0.4396
4,9650001,9675000,9662119,771,267,84.2948,5.0397,0.8872,0.5572,0.4867
4,9750001,9775000,9761168,1043,281,113.8271,0.7063,0.9877,0.7353,0.6526
4,9775001,9800000,9787196,972,327,148.8968,0.7063,0.9906,0.7788,0.6744
4,9800001,9825000,9811986,833,385,141.9293,4.8434,0.934,0.6891,0.5818
4,9825001,9850000,9837811,1001,280,119.0136,0.8968,0.985,0.8086,0.6957
4,9850001,9875000,9862478,945,410,184.983,0.952,0.9898,0.7664,0.6821
4,9875001,9900000,9888088,1115,264,105.8895,0.4086,0.9923,0.6929,0.6079
4,10000001,10025000,10012405,966,290,130.1814,0.4841,0.9926,0.7299,0.6787
4,10025001,10050000,10037589,925,290,130.8656,2.9253,0.9563,0.7321,0.6497
4,10050001,10075000,10062690,1044,305,117.4396,2.373,0.9604,0.6509,0.5838
4,10075001,10100000,10086080,727,284,100.5952,2.9048,0.9439,0.6642,0.5662
4,10100001,10125000,10112372,848,366,134.4912,0.5079,0.9925,0.6269,0.5603
4,10125001,10150000,10137166,801,379,162.2787,2.5667,0.9689,0.6466,0.6079
4,10200001,10225000,10213262,1008,297,150.4603,1.2302,0.9838,0.7604,0.6917
4,10225001,10250000,10236617,953,337,166.2294,1.4683,0.9825,0.7496,0.6825
4,10300001,10325000,10312902,1005,253,130.2317,0.0397,0.9994,0.8071,0.7341
4,10325001,10350000,10336180,914,366,178.5449,0.5992,0.9933,0.7608,0.686
4,10400001,10425000,10412418,1031,377,232.4671,1.4135,0.9879,0.9162,0.8381
4,10425001,10450000,10437143,939,349,180.3808,1.3175,0.9855,0.8927,0.8198
4,10575001,10600000,10586921,1042,321,173.4327,3.4365,0.9611,0.8577,0.7313
4,10625001,10650000,10635729,775,281,93.9911,8.0,0.8431,0.6536,0.4734
4,10950001,10975000,10962751,864,420,214.5089,0.3532,0.9967,0.8908,0.8408
4,10975001,11000000,10986703,875,326,185.6761,0.334,0.9964,0.8878,0.8091
4,11375001,11400000,11387355,777,329,144.5502,1.1679,0.984,0.8233,0.7018
4,11400001,11425000,11412323,755,312,132.6584,10.7778,0.8497,0.7687,0.6162
4,11425001,11450000,11437492,893,346,190.7821,0.6696,0.993,0.8881,0.7803
4,11450001,11475000,11462626,974,297,194.6905,0.0,1.0,0.9306,0.8963
4,11475001,11500000,11487174,901,305,185.8861,0.0952,0.999,0.9294,0.8848
4,11525001,11550000,11537345,892,288,99.8176,9.1896,0.8314,0.6783,0.5334
4,11550001,11575000,11563179,728,386,122.34,2.8234,0.9549,0.5887,0.5208
4,11575001,11600000,11588209,1076,344,142.5566,4.7937,0.9349,0.7172,0.6136
