scaffold	start	end	mid	sites	sitesUsed	ABBA	BABA	D	fd	fdM	p1	p2
1	4100001	4125000	4112635	678	281	55.3938	5.6443	0.8151	0.3232	0.2902	javanicus	hdrr
1	4450001	4475000	4461944	763	269	57.6545	10.7671	0.6853	0.2756	0.2291	javanicus	hdrr
1	4500001	4525000	4513792	800	271	66.9359	10.5698	0.7273	0.3244	0.267	javanicus	hdrr
1	4525001	4550000	4536680	750	280	60.1576	8.8635	0.7432	0.3436	0.3022	javanicus	hdrr
1	5850001	5875000	5862748	580	262	17.4898	9.3081	0.3053	0.0766	0.0644	javanicus	hdrr
1	6200001	6225000	6212311	514	252	70.8662	0.3263	0.9908	0.7827	0.6388	javanicus	hdrr
1	7400001	7425000	7414033	837	328	78.3031	0.0815	0.9979	0.4981	0.4709	javanicus	hdrr
1	7425001	7450000	7436315	1139	390	108.5418	6.0581	0.8943	0.5818	0.5118	javanicus	hdrr
1	7450001	7475000	7462825	949	360	94.0984	7.7906	0.8471	0.5901	0.5049	javanicus	hdrr
1	7750001	7775000	7761658	872	293	77.9959	1.2736	0.9679	0.6155	0.5484	javanicus	hdrr
1	7775001	7800000	7787442	886	394	80.285	5.486	0.8721	0.5108	0.438	javanicus	hdrr
1	7800001	7825000	7812242	770	342	77.6109	4.1627	0.8982	0.6122	0.5203	javanicus	hdrr
1	8125001	8150000	8137387	991	352	87.6452	1.601	0.9641	0.6146	0.5394	javanicus	hdrr
1	8350001	8375000	8362676	795	291	74.3248	0.2278	0.9939	0.7	0.633	javanicus	hdrr
1	8375001	8400000	8387978	739	343	80.0273	1.8921	0.9538	0.5158	0.4677	javanicus	hdrr
1	8425001	8450000	8436983	970	440	132.3783	1.2944	0.9806	0.785	0.7	javanicus	hdrr
1	8450001	8475000	8463264	903	426	105.369	4.9982	0.9094	0.6695	0.5713	javanicus	hdrr
1	8475001	8500000	8487204	955	535	118.3178	3.3605	0.9448	0.5675	0.5023	javanicus	hdrr
1	8500001	8525000	8513116	989	341	82.0017	1.0581	0.9745	0.5984	0.557	javanicus	hdrr
1	8525001	8550000	8536793	1034	423	134.0728	0	1	0.7239	0.7239	javanicus	hdrr
1	8775001	8800000	8787487	1117	281	78.9996	4.6921	0.8879	0.6436	0.5595	javanicus	hdrr
1	8800001	8825000	8812759	973	473	132.9368	4.2272	0.9384	0.6511	0.5906	javanicus	hdrr
1	8825001	8850000	8837134	943	427	128.7829	3.1904	0.9517	0.6801	0.6478	javanicus	hdrr
1	8850001	8875000	8861597	953	388	59.5928	3.0233	0.9034	0.2481	0.2377	javanicus	hdrr
1	8875001	8900000	8888569	1112	431	106.1392	1.0407	0.9806	0.4857	0.4683	javanicus	hdrr
1	8925001	8950000	8935614	1124	331	100.9892	3.1341	0.9398	0.7083	0.6444	javanicus	hdrr
1	8950001	8975000	8962072	828	339	67.915	9.9995	0.7433	0.3249	0.3016	javanicus	hdrr
1	8975001	9000000	8986780	876	473	93.805	4.5407	0.9077	0.3786	0.3511	javanicus	hdrr
1	9000001	9025000	9012132	888	500	146.5108	0.3547	0.9952	0.7122	0.6813	javanicus	hdrr
1	9025001	9050000	9037985	968	361	98.1647	1.0233	0.9794	0.5956	0.5708	javanicus	hdrr
1	9050001	9075000	9061720	776	357	113.1581	1.3778	0.9759	0.6765	0.6226	javanicus	hdrr
1	9075001	9100000	9088103	884	521	154.4462	2.2293	0.9715	0.6231	0.5911	javanicus	hdrr
1	9100001	9125000	9112001	890	499	181.5505	1.1919	0.987	0.778	0.7578	javanicus	hdrr
1	9125001	9150000	9137627	849	357	112.4831	3.0169	0.9478	0.6682	0.6224	javanicus	hdrr
1	9150001	9175000	9162435	865	484	132.4805	3.6742	0.946	0.5923	0.5655	javanicus	hdrr
1	9175001	9200000	9186915	954	418	116.8446	3.7921	0.9371	0.539	0.5019	javanicus	hdrr
1	9200001	9225000	9212279	1075	446	133.6432	1.6654	0.9754	0.6556	0.6172	javanicus	hdrr
1	9225001	9250000	9237429	1003	447	135.4221	0.064	0.9991	0.6366	0.6133	javanicus	hdrr
1	9250001	9275000	9262064	944	474	141.8412	0.186	0.9974	0.716	0.6876	javanicus	hdrr
1	9275001	9300000	9286317	982	465	131.6373	2.2517	0.9664	0.6276	0.6034	javanicus	hdrr
1	9300001	9325000	9312600	929	518	170.5131	3.1392	0.9638	0.7626	0.7283	javanicus	hdrr
1	9325001	9350000	9337748	1201	553	98.7897	7.5539	0.8579	0.3467	0.315	javanicus	hdrr
1	9350001	9375000	9364304	1288	692	122.9903	12.969	0.8092	0.3353	0.3073	javanicus	hdrr
1	9450001	9475000	9462356	1069	389	80.2596	5.467	0.8725	0.4412	0.3963	javanicus	hdrr
1	9475001	9500000	9487072	939	392	119.9882	3.9477	0.9363	0.6358	0.6055	javanicus	hdrr
1	9650001	9675000	9661446	810	481	137.0923	2.1983	0.9684	0.6443	0.598	javanicus	hdrr
1	9850001	9875000	9863170	850	406	126.6445	1.1658	0.9818	0.6744	0.6395	javanicus	hdrr
1	10025001	10050000	10037348	959	533	128.2448	0.397	0.9938	0.6153	0.5507	javanicus	hdrr
1	10175001	10200000	10186688	752	416	107.0533	0.5883	0.9891	0.645	0.6071	javanicus	hdrr
1	10200001	10225000	10213175	703	417	146.5452	0.1977	0.9973	0.7138	0.6616	javanicus	hdrr
1	10225001	10250000	10236663	746	455	127.6529	0.0937	0.9985	0.6719	0.651	javanicus	hdrr
1	10250001	10275000	10262382	773	479	128.855	2.0298	0.969	0.7085	0.6559	javanicus	hdrr
1	10275001	10300000	10287934	676	417	113.5958	1.5756	0.9726	0.6797	0.6213	javanicus	hdrr
1	10300001	10325000	10311912	979	498	135.4014	2.2604	0.9672	0.6437	0.5953	javanicus	hdrr
1	10325001	10350000	10337476	1017	455	125.6302	0.936	0.9852	0.6711	0.6364	javanicus	hdrr
1	10350001	10375000	10362683	957	473	130.2157	4.1686	0.938	0.6625	0.6115	javanicus	hdrr
1	10625001	10650000	10637597	988	478	50.3242	8.8603	0.7006	0.1503	0.1395	javanicus	hdrr
1	10650001	10675000	10661639	1032	326	49.5962	6.6861	0.7624	0.2984	0.2597	javanicus	hdrr
1	10800001	10825000	10813348	980	300	114.8094	0.1582	0.9972	0.7699	0.7347	javanicus	hdrr
1	10850001	10875000	10861851	945	291	72.4099	1.3381	0.9637	0.5858	0.54	javanicus	hdrr
1	10875001	10900000	10887552	932	271	82.4978	3.5174	0.9182	0.676	0.641	javanicus	hdrr
1	10900001	10925000	10912115	945	388	118.2278	1.9361	0.9678	0.673	0.6226	javanicus	hdrr
1	10925001	10950000	10936601	827	299	88.0398	1.0698	0.976	0.7443	0.6539	javanicus	hdrr
1	10975001	11000000	10987052	1029	410	90.9615	7.2021	0.8533	0.5329	0.4363	javanicus	hdrr
1	11000001	11025000	11013273	935	415	115.9759	3.1865	0.9465	0.7144	0.6398	javanicus	hdrr
1	11025001	11050000	11037570	900	350	94.8243	0.843	0.9824	0.704	0.644	javanicus	hdrr
1	11050001	11075000	11063139	964	457	119.6384	2.7318	0.9554	0.7052	0.614	javanicus	hdrr
1	11075001	11100000	11087963	1046	466	136.1117	1.4542	0.9789	0.7053	0.6402	javanicus	hdrr
1	11100001	11125000	11112231	959	255	62.464	0.6687	0.9788	0.6307	0.5492	javanicus	hdrr
1	11525001	11550000	11537323	1122	405	90.4895	3.8581	0.9182	0.542	0.5029	javanicus	hdrr
1	11550001	11575000	11562713	1150	426	104.79	0.9186	0.9826	0.6523	0.6056	javanicus	hdrr
1	11575001	11600000	11587755	1074	510	113.9864	3.7733	0.9359	0.585	0.5158	javanicus	hdrr
1	11600001	11625000	11612766	1249	394	106.1709	1.7115	0.9683	0.7505	0.6413	javanicus	hdrr
1	11625001	11650000	11637885	1156	458	120.7433	0.6401	0.9895	0.7576	0.6823	javanicus	hdrr
1	11650001	11675000	11663108	1159	538	151.1165	0.843	0.9889	0.7215	0.6657	javanicus	hdrr
1	11675001	11700000	11688014	1119	466	130.6538	0.7151	0.9891	0.7314	0.6799	javanicus	hdrr
1	11700001	11725000	11712575	1055	505	145.3502	0.8489	0.9884	0.7233	0.6617	javanicus	hdrr
1	11725001	11750000	11737728	868	413	97.1352	2.1684	0.9563	0.634	0.5855	javanicus	hdrr
1	11750001	11775000	11761894	923	339	110.9417	0.1032	0.9981	0.8189	0.7621	javanicus	hdrr
1	11900001	11925000	11911935	952	305	84.3164	1.2326	0.9712	0.7546	0.683	javanicus	hdrr
1	11925001	11950000	11937596	1106	452	105.2423	2.159	0.9598	0.6389	0.5783	javanicus	hdrr
1	11950001	11975000	11960591	906	411	112.1404	6.8755	0.8845	0.5844	0.5234	javanicus	hdrr
1	11975001	12000000	11987082	880	366	105.1067	2.3422	0.9564	0.6737	0.6144	javanicus	hdrr
1	12150001	12175000	12162099	1317	318	81.0756	3.657	0.9137	0.6767	0.5994	javanicus	hdrr
1	12175001	12200000	12187804	1131	340	78.6319	6.0353	0.8574	0.5396	0.4799	javanicus	hdrr
1	12225001	12250000	12237068	1053	386	99.1825	5.1046	0.9021	0.5777	0.5285	javanicus	hdrr
1	12250001	12275000	12262272	991	485	127.309	1.4535	0.9774	0.6717	0.6238	javanicus	hdrr
1	12275001	12300000	12287557	1007	415	103.5169	2.9709	0.9442	0.6451	0.5968	javanicus	hdrr
1	12300001	12325000	12312016	913	469	139.9201	2.2616	0.9682	0.6839	0.6593	javanicus	hdrr
1	12325001	12350000	12338833	1189	407	131.1954	0.6628	0.9899	0.7851	0.731	javanicus	hdrr
1	12350001	12375000	12362037	758	482	144.8915	4.372	0.9414	0.628	0.6029	javanicus	hdrr
1	12375001	12400000	12388292	803	482	120.6836	0.3512	0.9942	0.6397	0.6035	javanicus	hdrr
1	12400001	12425000	12413590	827	439	137.3604	0.0174	0.9997	0.6497	0.6318	javanicus	hdrr
1	12425001	12450000	12437506	1118	500	165.3183	2.0349	0.9757	0.6741	0.6371	javanicus	hdrr
1	12450001	12475000	12463555	940	464	112.3343	6.4958	0.8907	0.5301	0.4918	javanicus	hdrr
1	12475001	12500000	12489041	893	363	96.8352	1.1629	0.9763	0.6244	0.5665	javanicus	hdrr
1	12500001	12525000	12512943	917	416	107.3711	3.9019	0.9299	0.6254	0.5631	javanicus	hdrr
1	12525001	12550000	12537102	759	460	137.7679	4.0523	0.9429	0.7185	0.652	javanicus	hdrr
1	12550001	12575000	12560613	1050	585	134.592	4.4834	0.9355	0.672	0.5931	javanicus	hdrr
1	12575001	12600000	12587832	955	516	153.7548	2.0174	0.9741	0.7025	0.671	javanicus	hdrr
1	12600001	12625000	12612211	996	446	125.5772	2.0698	0.9676	0.7063	0.6632	javanicus	hdrr
1	12625001	12650000	12637828	812	531	138.6821	1.6028	0.9771	0.644	0.5897	javanicus	hdrr
1	12650001	12675000	12662185	859	505	128.1712	2.3547	0.9639	0.5989	0.5387	javanicus	hdrr
1	12900001	12925000	12912445	997	441	92.7686	10.8842	0.79	0.4925	0.4077	javanicus	hdrr
1	12925001	12950000	12937924	990	532	133.2405	4.4951	0.9347	0.6718	0.5849	javanicus	hdrr
1	12950001	12975000	12962365	939	271	77.5193	0.7267	0.9814	0.7757	0.7078	javanicus	hdrr
1	13150001	13175000	13161930	1065	442	114.7819	4.4302	0.9257	0.6081	0.5489	javanicus	hdrr
1	13175001	13200000	13187056	1011	422	104.3837	10.7727	0.8129	0.577	0.5012	javanicus	hdrr
1	13200001	13225000	13212877	894	463	111.9444	3.4244	0.9406	0.6042	0.5453	javanicus	hdrr
1	13225001	13250000	13237399	992	266	61.2471	0.0872	0.9972	0.5768	0.5222	javanicus	hdrr
1	13375001	13400000	13387993	852	278	75.2277	0.6512	0.9828	0.6843	0.6246	javanicus	hdrr
1	13500001	13525000	13512158	909	342	111.3309	0.5932	0.9894	0.9115	0.7799	javanicus	hdrr
1	13525001	13550000	13536826	741	307	116.7145	0.2738	0.9953	0.9491	0.8565	javanicus	hdrr
1	13600001	13625000	13614063	886	308	78.6539	1.2442	0.9689	0.651	0.5905	javanicus	hdrr
1	13625001	13650000	13637816	918	326	102.6096	0.3034	0.9941	0.7199	0.6714	javanicus	hdrr
1	13875001	13900000	13887919	859	503	139.1713	0.5117	0.9927	0.7028	0.6457	javanicus	hdrr
1	13900001	13925000	13912675	952	435	136.8697	0.17	0.9975	0.6605	0.6296	javanicus	hdrr
1	13925001	13950000	13938125	881	421	109.9149	5.8662	0.8987	0.6387	0.5594	javanicus	hdrr
1	13950001	13975000	13962354	905	401	75.3313	3.1395	0.92	0.4548	0.43	javanicus	hdrr
1	13975001	14000000	13987166	944	368	96.4949	3.5291	0.9294	0.6456	0.5779	javanicus	hdrr
1	14000001	14025000	14012655	984	412	87.2205	5.6409	0.8785	0.5694	0.5124	javanicus	hdrr
1	14025001	14050000	14037612	1025	419	89.6592	4.8809	0.8967	0.5792	0.5232	javanicus	hdrr
1	14050001	14075000	14062598	889	330	73.653	4.504	0.8847	0.5686	0.5234	javanicus	hdrr
1	14075001	14100000	14084962	938	457	123.6492	2.187	0.9652	0.7018	0.6155	javanicus	hdrr
1	14100001	14125000	14113180	799	483	113.0094	1.1256	0.9803	0.692	0.6281	javanicus	hdrr
1	14125001	14150000	14138754	928	483	119.5687	3.0458	0.9503	0.6909	0.5976	javanicus	hdrr
1	14150001	14175000	14162114	961	556	146.8423	0.8759	0.9881	0.7291	0.6459	javanicus	hdrr
1	14175001	14200000	14186889	1010	415	108.9373	6.9477	0.8801	0.638	0.5445	javanicus	hdrr
1	14200001	14225000	14212218	1106	514	41.8915	13.1214	0.523	0.1004	0.0876	javanicus	hdrr
1	14225001	14250000	14237740	1473	315	19.654	11.0152	0.2817	0.051	0.0424	javanicus	hdrr
1	14250001	14275000	14261498	1246	256	53.6841	12.3151	0.6268	0.4275	0.3079	javanicus	hdrr
