scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
22,1,1000000,555288,18581,851,99.0,23.0,0.623,0.212,0.1102
22,1000001,2000000,1514424,23701,2113,238.5,93.0,0.4389,0.1386,0.0812
22,2000001,3000000,2449621,24866,1710,381.5,47.5,0.7786,0.2914,0.2378
22,3000001,4000000,3487365,17206,2769,393.0,148.5,0.4515,0.1501,0.1006
22,4000001,5000000,4538017,21577,3284,428.0,115.5,0.575,0.1838,0.1287
22,5000001,6000000,5602042,35517,6934,934.0,290.0,0.5261,0.1377,0.0996
22,6000001,7000000,6500471,23510,3413,801.5,70.5,0.8383,0.3197,0.2572
22,7000001,8000000,7525897,16834,3193,434.0,109.0,0.5985,0.1666,0.1153
22,8000001,9000000,8491557,17737,1581,299.5,55.5,0.6873,0.23,0.1802
22,9000001,10000000,9521292,16698,2406,487.0,61.0,0.7774,0.2552,0.2017
22,10000001,11000000,10437581,16785,1185,209.5,43.0,0.6594,0.2287,0.1862
22,11000001,12000000,11530597,16079,654,105.0,29.5,0.5613,0.1737,0.1248
22,12000001,13000000,12506331,16204,1163,237.0,27.0,0.7955,0.2548,0.1962
22,13000001,14000000,13492383,16058,959,161.0,37.0,0.6263,0.1834,0.1453
22,14000001,15000000,14531973,17377,2105,312.0,54.0,0.7049,0.1963,0.1411
22,15000001,16000000,15478496,20502,1424,275.0,36.0,0.7685,0.2629,0.1993
22,16000001,17000000,16495499,18376,2533,379.5,106.0,0.5633,0.1598,0.116
22,18000001,19000000,18533365,26732,1294,271.0,29.0,0.8067,0.2898,0.2298
22,19000001,20000000,19515572,25217,770,148.0,38.0,0.5914,0.2213,0.1708
22,20000001,21000000,20456588,26809,488,60.0,28.0,0.3636,0.1185,0.0769
22,21000001,22000000,21483801,23838,1552,147.0,61.0,0.4135,0.1152,0.0674
22,22000001,23000000,22553298,24825,1378,391.5,28.0,0.8665,0.3291,0.2759
22,23000001,24000000,23467609,25663,798,198.0,21.0,0.8082,0.2959,0.2337
22,24000001,25000000,24561701,25849,927,124.0,49.0,0.4335,0.1467,0.0949
22,25000001,26000000,25461385,28659,962,156.0,35.5,0.6292,0.1919,0.1446
22,26000001,27000000,26600684,22355,363,109.0,12.0,0.8017,0.3489,0.2861
22,27000001,28000000,27451725,27664,564,62.5,14.0,0.634,0.1623,0.0866
