scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
14,4850001,4875000,4863183,802,304,44.4844,1.4654,0.9362,0.2389,0.2094
14,8775001,8800000,8788749,716,270,25.1936,4.6583,0.6879,0.2118,0.1688
14,8800001,8825000,8812212,1053,349,50.9683,8.7923,0.7058,0.3408,0.2744
14,8875001,8900000,8888048,590,281,23.3224,0.2552,0.9784,0.2589,0.2445
14,10675001,10700000,10687022,509,263,17.8343,4.0476,0.63,0.1711,0.1378
14,10700001,10725000,10713316,660,297,22.0718,3.8415,0.7035,0.2031,0.1623
14,10875001,10900000,10887335,646,305,34.4617,4.0401,0.7901,0.3089,0.2571
14,10900001,10925000,10911518,676,271,20.2649,2.8073,0.7567,0.2176,0.1865
14,10925001,10950000,10938120,527,283,24.0209,6.6199,0.5679,0.1766,0.1461
14,11525001,11550000,11535226,758,291,21.6439,2.4524,0.7965,0.1787,0.1574
14,12625001,12650000,12636548,772,396,25.0842,7.2595,0.5511,0.1445,0.0968
14,16000001,16025000,16013047,610,259,21.1512,6.8201,0.5123,0.1619,0.1241
14,21075001,21100000,21087741,847,353,27.3413,6.4837,0.6166,0.108,0.0795
14,21100001,21125000,21112844,1071,314,33.119,2.7177,0.8483,0.1698,0.1285
14,21150001,21175000,21161870,904,276,30.9921,3.0079,0.8231,0.1586,0.1305
14,21175001,21200000,21187263,981,332,49.7655,3.2143,0.8787,0.2318,0.1811
14,22900001,22925000,22913129,974,271,20.4524,8.3095,0.4222,0.0845,0.0633
14,22950001,22975000,22962156,1169,260,19.5741,4.4365,0.6305,0.144,0.1038
14,23175001,23200000,23186868,1241,251,26.1587,4.1759,0.7247,0.1896,0.1579
14,23325001,23350000,23338615,1235,354,29.5193,6.2211,0.6519,0.1554,0.1198
14,23350001,23375000,23362355,1983,532,20.8518,12.4387,0.2527,0.0582,0.0346
14,23400001,23425000,23411543,1036,262,17.1061,4.0325,0.6185,0.1448,0.0979
14,23425001,23450000,23438058,1126,273,24.0877,6.1594,0.5927,0.1322,0.104
14,23450001,23475000,23462837,1207,366,33.2719,4.5912,0.7575,0.184,0.1341
14,23475001,23500000,23487490,1089,304,21.3409,3.6577,0.7074,0.1259,0.096
14,24125001,24150000,24137732,1109,269,45.1005,4.1111,0.8329,0.2866,0.2366
14,25675001,25700000,25686983,973,298,50.7698,7.9206,0.7301,0.2561,0.2094
14,25725001,25750000,25737747,925,255,29.9683,4.0317,0.7628,0.1762,0.1472
14,25750001,25775000,25762526,1095,374,49.2143,10.8529,0.6386,0.1957,0.165
14,25775001,25800000,25787474,1019,343,42.3682,13.1746,0.5256,0.179,0.1362
