scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
12,1,1000000,490574,25558,363,103.5,8.0,0.8565,0.3922,0.2898
12,1000001,2000000,1519285,26233,387,104.0,5.0,0.9083,0.3898,0.3009
12,2000001,3000000,2491360,24416,715,327.0,6.0,0.964,0.6446,0.5103
12,3000001,4000000,3511300,19784,1415,473.0,35.0,0.8622,0.4822,0.3805
12,5000001,6000000,5552975,20180,774,304.0,14.0,0.9119,0.5472,0.4462
12,6000001,7000000,6488398,22051,2161,1172.0,13.0,0.9781,0.6556,0.5573
12,7000001,8000000,7441099,22326,1264,495.5,19.5,0.9243,0.5556,0.4546
12,8000001,9000000,8496420,15498,1872,580.5,38.5,0.8756,0.4821,0.3866
12,9000001,10000000,9455451,14047,780,224.5,10.5,0.9106,0.4652,0.3513
12,10000001,11000000,10536201,10477,807,324.5,6.0,0.9637,0.6152,0.4853
12,11000001,12000000,11534460,12060,862,245.5,15.0,0.8848,0.422,0.3323
12,12000001,13000000,12501584,14401,859,356.0,14.5,0.9217,0.6348,0.4798
12,13000001,14000000,13501739,18243,2520,1207.0,34.0,0.9452,0.6347,0.519
12,14000001,15000000,14478422,23788,2093,630.0,28.5,0.9134,0.3426,0.3015
12,15000001,16000000,15436424,19539,1660,613.0,29.0,0.9097,0.5504,0.3744
12,16000001,17000000,16530560,18508,1723,425.0,33.0,0.8559,0.2905,0.2476
12,17000001,18000000,17498508,19775,1461,522.0,32.0,0.8845,0.4958,0.3989
12,18000001,19000000,18460931,17977,2124,823.0,50.0,0.8855,0.5412,0.434
12,19000001,20000000,19512171,23717,943,197.5,24.0,0.7833,0.2323,0.1981
12,20000001,21000000,20298121,14434,1507,362.5,32.0,0.8378,0.2969,0.2474
12,22000001,23000000,22607131,18124,1197,370.0,20.5,0.895,0.3577,0.3049
12,23000001,24000000,23503168,24083,2743,621.5,66.0,0.808,0.2855,0.2353
12,24000001,25000000,24516879,25583,589,93.5,6.5,0.87,0.1948,0.171
12,25000001,26000000,25536915,29859,2496,511.0,53.0,0.8121,0.2493,0.22
12,26000001,27000000,26503958,43233,3190,617.0,40.5,0.8768,0.3137,0.2818
12,27000001,28000000,27507636,38988,1010,167.5,22.5,0.7632,0.26,0.2209
12,29000001,30000000,29490614,39870,1811,480.0,18.0,0.9277,0.4287,0.3893
