scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
14,1150001,1200000,1173084,1113,129,10.7698,1.3044,0.7839,0.3338,0.1825
14,1200001,1250000,1227538,914,165,20.3994,3.9841,0.6732,0.282,0.201
14,1250001,1300000,1274214,1039,150,22.1011,0.746,0.9347,0.469,0.3491
14,1300001,1350000,1324359,1252,182,31.8365,3.1367,0.8206,0.4888,0.3644
14,1900001,1950000,1928967,1254,104,12.7323,0.0487,0.9924,0.3082,0.2869
14,2150001,2200000,2174125,772,196,15.7709,2.3519,0.7404,0.2021,0.1482
14,2500001,2550000,2527977,1387,163,26.335,0.6825,0.9495,0.5527,0.4666
14,2550001,2600000,2575041,1142,158,43.5141,0.0556,0.9974,0.7866,0.7207
14,3200001,3250000,3223592,3317,148,28.059,3.7698,0.7631,0.3786,0.309
14,3250001,3300000,3272829,1793,152,48.1313,7.4444,0.7321,0.5745,0.4372
14,3550001,3600000,3577232,1239,167,30.4665,1.8333,0.8865,0.5223,0.4017
14,3800001,3850000,3828554,950,317,74.0368,2.707,0.9295,0.525,0.4241
14,4050001,4100000,4074716,875,115,21.6598,1.0,0.9117,0.5159,0.4212
14,4100001,4150000,4122984,1343,307,32.2566,7.5336,0.6213,0.2486,0.1854
14,4150001,4200000,4177248,1486,104,14.5261,0.4603,0.9386,0.2835,0.2564
14,4200001,4250000,4225685,1332,143,11.4797,4.4445,0.4418,0.1652,0.1217
14,4600001,4650000,4623950,826,255,23.3254,2.2604,0.8233,0.2961,0.2447
14,4650001,4700000,4675511,1412,159,21.8893,1.5323,0.8692,0.3858,0.3269
14,4700001,4750000,4725882,1016,227,43.4283,2.2703,0.9006,0.469,0.4313
14,4750001,4800000,4773369,778,222,29.1562,2.3418,0.8513,0.3414,0.3018
14,4800001,4850000,4825752,871,410,51.3003,3.1746,0.8834,0.3455,0.3165
14,4850001,4900000,4870290,1124,336,130.6961,3.6162,0.9462,0.7246,0.5941
14,5650001,5700000,5672755,1151,157,44.6639,0.9048,0.9603,0.7073,0.6405
