scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
9,1,1000000,494887,20797,283,70.0,5.5,0.8543,0.4031,0.2922
9,1000001,2000000,1476729,28635,591,40.0,25.5,0.2214,0.0576,0.0317
9,3000001,4000000,3544900,29260,1172,228.0,33.5,0.7438,0.2761,0.2163
9,4000001,5000000,4394765,18131,1504,241.5,41.5,0.7067,0.2488,0.1821
9,5000001,6000000,5478098,21215,522,113.0,14.5,0.7725,0.3059,0.2366
9,6000001,7000000,6497984,16858,521,86.5,14.0,0.7214,0.2456,0.1855
9,7000001,8000000,7531285,16544,4219,832.0,104.5,0.7768,0.2841,0.2275
9,8000001,9000000,8524545,19133,1487,307.5,26.0,0.8441,0.3071,0.248
9,9000001,10000000,9538407,18622,2025,355.0,56.0,0.7275,0.2337,0.1767
9,10000001,11000000,10506225,18304,1350,296.5,37.0,0.7781,0.268,0.2132
9,11000001,12000000,11529415,21799,3580,846.0,82.0,0.8233,0.2872,0.2301
9,12000001,13000000,12540092,19059,1669,290.5,38.0,0.7686,0.2105,0.1611
9,13000001,14000000,13527703,15216,914,215.0,24.0,0.7992,0.2787,0.2215
9,14000001,15000000,14470279,22948,3104,600.0,72.0,0.7857,0.2345,0.1788
9,15000001,16000000,15492139,22542,3993,741.0,95.0,0.7727,0.2264,0.1759
9,16000001,17000000,16460065,20813,3152,626.0,93.0,0.7413,0.2379,0.1866
9,17000001,18000000,17501407,19756,3484,820.0,59.0,0.8658,0.2947,0.2463
9,18000001,19000000,18449847,17609,1717,384.5,51.0,0.7658,0.2615,0.2023
9,19000001,20000000,19532843,20540,733,146.0,14.0,0.825,0.2489,0.2036
9,20000001,21000000,20532347,20274,794,147.0,16.0,0.8037,0.2663,0.2106
9,22000001,23000000,22462069,26287,612,142.0,15.0,0.8089,0.3199,0.264
9,23000001,24000000,23541605,22798,1108,241.0,30.0,0.7786,0.2783,0.2202
9,24000001,25000000,24500793,27730,695,201.5,11.0,0.8965,0.3663,0.3005
9,25000001,26000000,25531227,18006,615,157.0,15.0,0.8256,0.2988,0.2394
9,26000001,27000000,26483680,23453,1697,292.0,63.0,0.6451,0.2215,0.1617
9,27000001,28000000,27479747,21506,1695,446.0,35.0,0.8545,0.3167,0.2607
9,28000001,29000000,28429461,28293,313,72.0,10.0,0.7561,0.2616,0.2138
9,29000001,30000000,29609973,36884,1417,367.5,38.5,0.8103,0.3092,0.2548
9,30000001,31000000,30353340,21128,2059,429.5,84.5,0.6712,0.2515,0.1971
9,31000001,32000000,31469400,26037,1297,124.5,41.0,0.5045,0.113,0.0649
9,32000001,33000000,32482201,20734,963,167.0,33.5,0.6658,0.2549,0.1432
