scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM,p1,p2
8,1,500000,290673,7010,258,1.1132,4.2782,-0.5871,-0.0941,-0.0587,icab,hdrr
8,500001,1000000,908660,3308,733,21.4255,31.304,-0.1873,-0.0521,-0.0359,icab,hdrr
8,1000001,1500000,1235282,10112,5286,102.5671,247.1007,-0.4133,-0.1402,-0.093,icab,hdrr
8,1500001,2000000,1751080,9869,5447,84.9794,191.9521,-0.3863,-0.1127,-0.0696,icab,hdrr
8,2000001,2500000,2267676,12651,4998,179.6891,350.9258,-0.3227,-0.1521,-0.1013,icab,hdrr
8,2500001,3000000,2854906,6311,3174,170.5186,174.7067,-0.0121,-0.0037,-0.0028,icab,hdrr
8,3000001,3500000,3200085,13524,5381,229.0819,304.3921,-0.1412,-0.0408,-0.034,icab,hdrr
8,3500001,4000000,3796045,11988,3971,89.915,219.5561,-0.4189,-0.1241,-0.0874,icab,hdrr
8,4000001,4500000,4259412,10759,4022,106.1119,133.2581,-0.1134,-0.026,-0.0202,icab,hdrr
8,4500001,5000000,4762509,15071,9075,322.7458,539.9359,-0.2518,-0.1319,-0.0856,icab,hdrr
8,5000001,5500000,5253819,10652,4406,156.4665,458.6488,-0.4913,-0.2265,-0.1544,icab,hdrr
8,5500001,6000000,5764086,9254,4021,79.9784,130.847,-0.2413,-0.0526,-0.0376,icab,hdrr
8,6000001,6500000,6290458,10984,4783,58.5279,172.3432,-0.493,-0.1048,-0.077,icab,hdrr
8,6500001,7000000,6733858,9666,4962,152.1157,188.9241,-0.1079,-0.0536,-0.0372,icab,hdrr
8,7000001,7500000,7240795,9641,5118,87.568,195.7207,-0.3818,-0.1255,-0.0896,icab,hdrr
8,7500001,8000000,7754440,11359,4816,118.9684,273.957,-0.3944,-0.1545,-0.1113,icab,hdrr
8,8000001,8500000,8241439,10173,5544,108.3482,374.3288,-0.5511,-0.2078,-0.1482,icab,hdrr
8,8500001,9000000,8757806,9175,5117,140.7945,243.1801,-0.2666,-0.0769,-0.0579,icab,hdrr
8,9000001,9500000,9244810,8366,5497,170.3044,386.2553,-0.388,-0.1798,-0.1136,icab,hdrr
8,9500001,10000000,9746219,9612,5946,149.708,467.9831,-0.5153,-0.2362,-0.1581,icab,hdrr
8,10000001,10500000,10264728,10485,7004,177.3251,530.9237,-0.4993,-0.2344,-0.1565,icab,hdrr
8,10500001,11000000,10749850,10819,7713,112.6732,687.4706,-0.7184,-0.4425,-0.279,icab,hdrr
