scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
9,1,1000000,494887,20797,262,87.0,2.5,0.9441,0.4605,0.3481
9,1000001,2000000,1476729,28635,596,51.0,22.0,0.3973,0.0986,0.0579
9,3000001,4000000,3544900,29260,1209,313.0,36.0,0.7937,0.3057,0.2475
9,4000001,5000000,4394765,18131,1408,247.0,43.0,0.7034,0.2311,0.1753
9,5000001,6000000,5478098,21215,491,109.0,16.0,0.744,0.268,0.2118
9,6000001,7000000,6497984,16858,749,128.5,17.5,0.7603,0.2438,0.1725
9,7000001,8000000,7531285,16544,3970,884.0,102.5,0.7922,0.2614,0.2152
9,8000001,9000000,8524545,19133,1266,285.0,22.0,0.8567,0.2698,0.2246
9,9000001,10000000,9538407,18622,3492,681.5,127.5,0.6848,0.237,0.1782
9,10000001,11000000,10506225,18304,1403,314.0,43.0,0.7591,0.2683,0.2146
9,11000001,12000000,11529415,21799,3618,834.0,74.0,0.837,0.28,0.226
9,12000001,13000000,12540092,19059,1672,285.5,33.0,0.7928,0.2066,0.1608
9,13000001,14000000,13527703,15216,925,219.0,25.0,0.7951,0.2774,0.2224
9,14000001,15000000,14470279,22948,2757,523.0,72.0,0.758,0.2262,0.1715
9,15000001,16000000,15492139,22542,4005,757.0,93.5,0.7801,0.2319,0.1801
9,16000001,17000000,16460065,20813,3279,639.5,99.0,0.7319,0.2251,0.1791
9,17000001,18000000,17501407,19756,1181,236.0,37.0,0.7289,0.2379,0.1931
9,18000001,19000000,18449847,17609,1990,348.0,53.0,0.7357,0.2023,0.1554
9,19000001,20000000,19532843,20540,728,142.0,12.0,0.8442,0.2444,0.2009
9,20000001,21000000,20532347,20274,805,129.0,18.0,0.7551,0.2256,0.1751
9,22000001,23000000,22462069,26287,639,150.0,11.0,0.8634,0.3405,0.2779
9,23000001,24000000,23541605,22798,2032,515.0,39.0,0.8592,0.3191,0.2571
9,24000001,25000000,24500793,27730,780,239.0,16.0,0.8745,0.378,0.3072
9,25000001,26000000,25531227,18006,627,156.0,11.0,0.8683,0.2971,0.2401
9,26000001,27000000,26483680,23453,1559,284.5,52.0,0.6909,0.2334,0.1771
9,27000001,28000000,27479747,21506,1803,484.0,36.0,0.8615,0.326,0.2674
9,28000001,29000000,28429461,28293,2082,362.0,59.5,0.7177,0.1993,0.1643
9,29000001,30000000,29609973,36884,1774,403.5,43.5,0.8054,0.2923,0.2419
9,30000001,31000000,30353340,21128,2184,487.0,72.0,0.7424,0.3171,0.2502
9,31000001,32000000,31469400,26037,1495,147.0,43.5,0.5433,0.1397,0.0816
