scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
12,14800001,14825000,14812182,660,300,44.854,5.7343,0.7733,0.2933,0.2592
12,15450001,15475000,15462404,474,264,21.9446,2.7222,0.7793,0.2615,0.191
12,25825001,25850000,25839702,804,255,25.9046,3.6587,0.7525,0.1245,0.1159
12,26100001,26125000,26112476,989,289,19.0238,4.0403,0.6496,0.0777,0.0697
12,26225001,26250000,26238944,1107,252,13.9048,7.3898,0.3059,0.037,0.0327
12,26350001,26375000,26362824,1106,310,25.9515,1.0328,0.9235,0.1039,0.1005
12,26375001,26400000,26387550,1322,328,27.9641,4.2222,0.7376,0.096,0.0898
12,26400001,26425000,26412830,995,278,20.7758,3.5476,0.7083,0.0826,0.0779
12,26425001,26450000,26436938,1072,254,16.7711,4.0,0.6148,0.0689,0.0647
12,26450001,26475000,26462502,966,270,14.8966,1.1429,0.8575,0.0679,0.0662
12,29700001,29725000,29712024,958,335,10.2303,7.7486,0.138,0.0112,0.0102
