scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM,p1,p2
1,500001,1000000,770583,12213,764,55.1717,12.0085,0.6425,0.1788,0.1272,melastigma,hdrr
1,1000001,1500000,1227968,15661,1899,191.941,38.2894,0.6674,0.232,0.1618,melastigma,hdrr
1,1500001,2000000,1764457,15429,1369,167.0708,27.7912,0.7148,0.2768,0.2009,melastigma,hdrr
1,2000001,2500000,2205406,14370,342,40.1809,8.8974,0.6374,0.3024,0.2022,melastigma,hdrr
1,2500001,3000000,2776011,11452,2159,327.4426,50.9716,0.7306,0.3551,0.2399,melastigma,hdrr
1,3000001,3500000,3243647,20790,1397,190.351,42.4446,0.6353,0.2239,0.1799,melastigma,hdrr
1,3500001,4000000,3758623,13867,2424,255.1928,56.8189,0.6358,0.1742,0.1449,melastigma,hdrr
1,4000001,4500000,4264741,16746,646,98.9696,10.6824,0.8052,0.2621,0.2318,melastigma,hdrr
1,4500001,5000000,4665610,9309,1889,293.6065,55.8042,0.6806,0.2688,0.2197,melastigma,hdrr
1,5000001,5500000,5274481,10093,418,38.7365,12.0095,0.5267,0.1384,0.1127,melastigma,hdrr
1,5500001,6000000,5735352,11210,2470,195.3243,43.1018,0.6384,0.1266,0.114,melastigma,hdrr
1,6000001,6500000,6254763,9865,2731,704.272,23.9096,0.9343,0.6443,0.5538,melastigma,hdrr
1,6500001,7000000,6754482,9597,859,124.9157,11.2737,0.8344,0.3109,0.2762,melastigma,hdrr
1,7000001,7500000,7281632,12494,3704,733.6718,56.2471,0.8576,0.4103,0.356,melastigma,hdrr
1,7500001,8000000,7636623,10913,2061,607.9014,40.523,0.875,0.5685,0.4324,melastigma,hdrr
1,8000001,8500000,8245597,18137,4184,1438.6159,76.9303,0.8985,0.6133,0.5007,melastigma,hdrr
1,8500001,9000000,8752504,20627,3529,1411.0569,35.6281,0.9507,0.5929,0.5362,melastigma,hdrr
1,9000001,9500000,9250276,18452,6943,3059.1995,91.182,0.9421,0.6562,0.5991,melastigma,hdrr
1,9500001,10000000,9756558,17961,3360,1184.1351,62.4835,0.8998,0.5632,0.4981,melastigma,hdrr
1,10000001,10500000,10256442,17349,4782,1946.335,65.6475,0.9347,0.6636,0.5887,melastigma,hdrr
1,10500001,11000000,10754036,19664,4177,1673.6073,53.2877,0.9383,0.609,0.536,melastigma,hdrr
1,11000001,11500000,11253565,19361,4511,1588.2089,79.1973,0.905,0.6622,0.5318,melastigma,hdrr
1,11500001,12000000,11742264,20650,3787,1455.1162,23.2088,0.9686,0.7049,0.6251,melastigma,hdrr
1,12000001,12500000,12234248,20547,4094,1453.3374,96.0322,0.876,0.615,0.5305,melastigma,hdrr
1,12500001,13000000,12730794,16901,6833,2506.535,135.5447,0.8974,0.6371,0.5416,melastigma,hdrr
1,13500001,14000000,13764101,17166,2826,1188.1399,42.9073,0.9303,0.7085,0.6221,melastigma,hdrr
1,14000001,14500000,14255982,21247,5271,2052.0118,27.6166,0.9734,0.7138,0.6371,melastigma,hdrr
1,14500001,15000000,14749169,19434,4457,1474.3328,54.3263,0.9289,0.6594,0.5673,melastigma,hdrr
1,15000001,15500000,15319062,12836,1345,398.0487,26.8306,0.8737,0.5478,0.4715,melastigma,hdrr
1,15500001,16000000,15750615,21353,6347,2400.9089,58.9526,0.9521,0.7466,0.6461,melastigma,hdrr
1,16000001,16500000,16175371,12848,910,275.6755,11.6497,0.9189,0.6525,0.5663,melastigma,hdrr
1,16500001,17000000,16733683,14600,2944,737.5382,66.3807,0.8349,0.5829,0.4079,melastigma,hdrr
1,17000001,17500000,17267188,18874,2206,788.8381,52.9461,0.8742,0.6683,0.5636,melastigma,hdrr
1,17500001,18000000,17707886,13448,1662,544.7684,26.5612,0.907,0.5895,0.508,melastigma,hdrr
1,18000001,18500000,18240150,20694,6889,2701.7452,66.8362,0.9517,0.7481,0.6528,melastigma,hdrr
1,18500001,19000000,18753363,19253,3163,1222.782,28.1141,0.955,0.7658,0.6439,melastigma,hdrr
1,19000001,19500000,19250358,18756,2110,1095.4417,3.7296,0.9932,0.9167,0.8237,melastigma,hdrr
1,20000001,20500000,20245597,20547,4317,1814.5354,74.4718,0.9212,0.801,0.6816,melastigma,hdrr
1,20500001,21000000,20745598,21139,6615,2660.6795,54.1163,0.9601,0.7524,0.6456,melastigma,hdrr
1,21000001,21500000,21249455,18900,5704,2498.426,34.9507,0.9724,0.8088,0.6838,melastigma,hdrr
1,21500001,22000000,21743958,20704,5312,2091.4273,25.2713,0.9761,0.7331,0.657,melastigma,hdrr
1,22000001,22500000,22261540,21777,6582,2463.5932,80.0409,0.9371,0.7121,0.5854,melastigma,hdrr
1,22500001,23000000,22753235,20428,3082,946.8474,41.6743,0.9157,0.6095,0.4737,melastigma,hdrr
1,23000001,23500000,23243683,21088,3925,1352.8789,50.4196,0.9281,0.6734,0.5289,melastigma,hdrr
1,23500001,24000000,23735218,21349,1323,363.8032,18.6798,0.9023,0.5799,0.4134,melastigma,hdrr
