scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
13,1100001,1125000,1112081,661,261,30.4515,2.8527,0.8287,0.3544,0.2992
13,1725001,1750000,1737622,1419,265,35.5149,9.994,0.5608,0.2652,0.2046
13,1850001,1875000,1862341,892,299,48.6468,1.9921,0.9213,0.3709,0.3371
13,1875001,1900000,1887094,782,272,52.7133,2.6927,0.9028,0.4784,0.4264
13,1925001,1950000,1937445,807,298,53.9194,6.5765,0.7826,0.4509,0.2991
13,1950001,1975000,1962605,761,260,24.8187,4.0177,0.7213,0.2381,0.1649
13,1975001,2000000,1987804,834,288,31.8868,4.3625,0.7593,0.2678,0.1918
13,5075001,5100000,5090629,875,370,36.4211,16.379,0.3796,0.1563,0.1088
13,5675001,5700000,5689452,618,261,43.8672,2.5397,0.8905,0.2975,0.2864
13,5725001,5750000,5735418,619,252,30.0887,8.004,0.5798,0.1654,0.1515
13,5750001,5775000,5762533,590,251,36.0619,2.381,0.8761,0.2584,0.2411
13,5775001,5800000,5785869,573,261,26.8027,0.764,0.9446,0.1976,0.1856
13,5800001,5825000,5812753,424,258,25.4841,1.0,0.9245,0.2101,0.2048
13,6475001,6500000,6487586,440,254,7.8413,7.6985,0.0092,0.0013,0.001
13,6550001,6575000,6562802,569,278,10.2776,7.9185,0.1297,0.0267,0.0185
13,7150001,7175000,7162434,609,257,23.1429,6.977,0.5367,0.16,0.1193
13,7225001,7250000,7237653,544,279,46.4513,1.509,0.9371,0.4064,0.3844
13,7250001,7275000,7263757,798,426,65.5504,2.0408,0.9396,0.3871,0.3548
13,7400001,7425000,7411951,670,345,62.0388,7.1978,0.7921,0.3153,0.2821
13,7425001,7450000,7436595,646,336,30.4838,10.7874,0.4772,0.1041,0.0912
13,7975001,8000000,7988331,646,252,29.1905,2.4524,0.845,0.2897,0.2431
13,8200001,8225000,8214961,815,261,20.5284,0.4772,0.9546,0.2484,0.2002
13,8650001,8675000,8659866,867,332,21.8834,14.0636,0.2175,0.0394,0.0338
13,8675001,8700000,8688956,729,361,30.0954,20.5999,0.1873,0.0693,0.0482
13,8975001,9000000,8987456,566,262,17.8312,6.7526,0.4506,0.1595,0.1046
13,9000001,9025000,9011537,471,255,14.3778,2.232,0.7312,0.1687,0.1303
13,9050001,9075000,9061855,467,273,35.6103,1.8475,0.9014,0.3518,0.3138
13,9075001,9100000,9087512,488,251,29.5397,0.0079,0.9995,0.3151,0.3085
13,9100001,9125000,9113341,483,291,22.0755,2.3968,0.8041,0.1869,0.1596
13,9150001,9175000,9164071,517,319,27.9335,0.9892,0.9316,0.3089,0.2914
13,9175001,9200000,9187894,585,337,36.6806,2.7778,0.8592,0.28,0.2554
13,9200001,9225000,9211941,473,289,39.7615,3.1984,0.8511,0.3421,0.3108
13,9350001,9375000,9363119,366,252,24.0332,0.3044,0.975,0.2943,0.2582
13,9375001,9400000,9387870,514,343,30.8365,1.3175,0.9181,0.2805,0.2551
13,9400001,9425000,9413305,550,273,23.4239,1.0952,0.9107,0.2938,0.2718
13,9425001,9450000,9438199,608,345,31.6329,2.6429,0.8458,0.2869,0.256
13,9450001,9475000,9461582,421,262,17.0437,0.0,1.0,0.2035,0.1965
13,9750001,9775000,9763232,496,301,43.7935,3.1999,0.8638,0.4979,0.3367
13,9775001,9800000,9788088,521,275,30.3991,4.595,0.7374,0.4251,0.2782
13,9800001,9825000,9814140,617,310,36.3047,2.4264,0.8747,0.4043,0.3306
13,9850001,9875000,9865933,1464,658,79.2281,13.357,0.7115,0.3102,0.2311
13,9900001,9925000,9913516,851,268,52.1312,5.6231,0.8053,0.6053,0.4545
13,9925001,9950000,9936518,837,360,72.3678,2.6112,0.9303,0.639,0.506
13,9950001,9975000,9963309,944,320,128.7528,8.4365,0.877,0.778,0.6502
13,12050001,12075000,12062834,488,278,20.1633,1.7023,0.8443,0.1605,0.1518
13,18375001,18400000,18388285,529,262,55.8751,0.9361,0.967,0.6902,0.5264
13,18975001,19000000,18987700,752,362,96.8149,2.4158,0.9513,0.7557,0.5677
13,19100001,19125000,19112625,853,274,40.4625,3.1093,0.8573,0.4748,0.3204
13,23200001,23225000,23212448,466,310,30.1554,3.8968,0.7711,0.2174,0.1965
13,26125001,26150000,26136268,510,254,33.527,5.0159,0.7397,0.2127,0.1925
