scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM,p1,p2
7,1,500000,253592,12577,1513,75.8305,76.9633,-0.0074,-0.0017,-0.0014,icab,hdrr
7,500001,1000000,755896,11205,1755,32.7103,117.3811,-0.5641,-0.2099,-0.1565,icab,hdrr
7,1000001,1500000,1239393,12931,7441,164.1374,751.9534,-0.6417,-0.4187,-0.2583,icab,hdrr
7,1500001,2000000,1773687,12971,3672,107.2391,238.2416,-0.3792,-0.1602,-0.1163,icab,hdrr
7,2000001,2500000,2256096,12832,9371,412.1514,339.3684,0.0968,0.0491,0.0341,icab,hdrr
7,2500001,3000000,2748868,11593,7319,432.5973,258.8658,0.2513,0.1387,0.0924,icab,hdrr
7,3000001,3500000,3267116,12680,7605,175.2733,402.5697,-0.3934,-0.1457,-0.105,icab,hdrr
7,3500001,4000000,3732616,16508,12136,388.6287,713.6403,-0.2949,-0.1239,-0.0879,icab,hdrr
7,4000001,4500000,4242032,17431,8878,317.2139,505.688,-0.229,-0.0785,-0.0582,icab,hdrr
7,4500001,5000000,4546160,3144,2655,31.5877,178.6366,-0.6995,-0.2061,-0.1598,icab,hdrr
7,5000001,5500000,5276046,13808,7785,427.2805,351.5615,0.0972,0.0476,0.0334,icab,hdrr
7,5500001,6000000,5777354,16002,7915,167.6706,773.9568,-0.6439,-0.3758,-0.2373,icab,hdrr
7,6000001,6500000,6245618,9952,6499,371.2946,336.9585,0.0485,0.0226,0.0153,icab,hdrr
7,6500001,7000000,6742474,12017,7748,247.653,993.4549,-0.6009,-0.3371,-0.2271,icab,hdrr
7,7000001,7500000,7221578,9624,2774,76.945,356.4005,-0.6449,-0.3784,-0.2485,icab,hdrr
7,7500001,8000000,7655163,3278,2225,42.4893,284.0428,-0.7398,-0.4591,-0.2732,icab,hdrr
7,8000001,8500000,8169965,13795,5892,135.0762,204.5717,-0.2046,-0.0586,-0.0376,icab,hdrr
7,8500001,9000000,8732131,9485,6446,146.4294,464.6932,-0.5208,-0.224,-0.1321,icab,hdrr
7,9000001,9500000,9240711,10105,6764,185.014,507.7303,-0.4659,-0.1986,-0.1249,icab,hdrr
7,9500001,10000000,9765017,8585,7229,585.0008,173.3438,0.5428,0.3826,0.2066,icab,hdrr
7,10000001,10500000,10251671,8599,7212,526.3763,144.8435,0.5684,0.3359,0.2064,icab,hdrr
7,10500001,11000000,10753448,8530,6127,99.8394,197.5578,-0.3286,-0.0782,-0.0553,icab,hdrr
7,11000001,11500000,11256883,7499,5625,66.3686,37.4571,0.2785,0.0265,0.0202,icab,hdrr
7,11500001,12000000,11745229,9419,6199,133.9577,552.4655,-0.6097,-0.3372,-0.2084,icab,hdrr
7,12000001,12500000,12237153,8345,5953,131.4621,492.5563,-0.5787,-0.2739,-0.1808,icab,hdrr
7,12500001,13000000,12765898,8241,5960,119.803,288.9237,-0.4138,-0.1282,-0.0937,icab,hdrr
7,13000001,13500000,13252416,9570,5820,180.3547,303.7459,-0.2549,-0.0873,-0.0619,icab,hdrr
7,13500001,14000000,13749394,8706,4986,144.6362,374.7602,-0.4431,-0.1532,-0.103,icab,hdrr
7,14000001,14500000,14258573,9713,6211,177.9909,269.2649,-0.2041,-0.0633,-0.0441,icab,hdrr
7,14500001,15000000,14732653,13659,8244,303.7017,537.3049,-0.2778,-0.1248,-0.0762,icab,hdrr
7,15000001,15500000,15250836,8636,5631,119.1214,493.7946,-0.6113,-0.2724,-0.1738,icab,hdrr
7,15500001,16000000,15780724,9546,6498,155.131,464.4998,-0.4993,-0.2802,-0.1799,icab,hdrr
7,16000001,16500000,16248468,8485,6645,89.5107,305.9032,-0.5473,-0.1641,-0.1197,icab,hdrr
7,16500001,17000000,16720037,11435,4165,107.5061,305.9678,-0.48,-0.1848,-0.1221,icab,hdrr
7,17000001,17500000,17264137,8958,6596,133.427,170.7182,-0.1226,-0.0298,-0.021,icab,hdrr
