scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
18,2000001,3000000,2482496,68963,711,177.0,14.0,0.8534,0.2969,0.2543
18,3000001,4000000,3412626,52988,6220,1758.5,138.5,0.854,0.319,0.275
18,4000001,5000000,4516221,42160,3705,159.0,160.0,-0.0031,-0.0004,-0.0003
18,5000001,6000000,5507764,44062,8931,487.0,326.0,0.198,0.0223,0.0192
18,6000001,7000000,6560889,34176,5591,490.0,147.0,0.5385,0.0745,0.0676
18,7000001,8000000,7487929,72689,5682,451.5,324.0,0.1644,0.0356,0.0247
18,8000001,9000000,8498749,41425,10983,314.5,507.0,-0.2343,-0.0245,-0.0201
18,9000001,10000000,9494761,40717,3691,278.0,87.0,0.5233,0.0577,0.0537
18,10000001,11000000,10496717,38329,5429,323.5,155.0,0.3521,0.0402,0.0356
18,11000001,12000000,11417535,31515,3731,300.0,119.5,0.4303,0.0558,0.0504
18,12000001,13000000,12521119,21865,3302,485.0,104.5,0.6455,0.18,0.1322
18,13000001,14000000,13489784,29438,1012,113.0,29.0,0.5915,0.1557,0.1042
18,14000001,15000000,14522604,20816,291,69.0,5.0,0.8649,0.3636,0.2807
18,15000001,16000000,15586967,30210,2795,443.0,97.0,0.6407,0.1769,0.1395
18,16000001,17000000,16476136,42042,4842,370.0,249.0,0.1955,0.0368,0.0258
18,17000001,18000000,17593522,26372,1039,146.0,43.0,0.545,0.1856,0.1217
18,18000001,19000000,18542708,19378,2195,252.0,74.0,0.546,0.1409,0.0968
18,21000001,22000000,21528156,22417,2324,342.5,95.0,0.5657,0.1708,0.1217
18,22000001,23000000,22565532,42377,1395,203.0,59.0,0.5496,0.1681,0.1133
18,26000001,27000000,26524446,47672,2775,571.5,87.0,0.7358,0.2858,0.207
18,27000001,28000000,27407875,39111,2586,546.5,74.0,0.7615,0.2444,0.204
18,28000001,29000000,28498679,34987,1903,268.5,82.0,0.5321,0.1631,0.1112
18,29000001,30000000,29474956,47789,3308,444.5,155.0,0.4829,0.1496,0.091
18,30000001,31000000,30449038,14418,587,119.0,26.0,0.6414,0.2642,0.1637
