scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
23,1175001,1200000,1187617,1042,270,2.5952,15.073,-0.7062,-0.0838,-0.063
23,1200001,1225000,1212338,988,264,3.8801,9.6375,-0.4259,-0.0478,-0.0351
23,1225001,1250000,1236478,956,344,11.7937,16.9587,-0.1796,-0.0286,-0.0213
23,1250001,1275000,1262490,942,373,2.2937,9.7611,-0.6195,-0.0381,-0.0317
23,1275001,1300000,1286678,712,295,5.2541,2.69,0.3228,0.0131,0.0121
23,1300001,1325000,1312833,901,485,7.1508,5.6578,0.1166,0.0044,0.004
23,1325001,1350000,1337624,906,407,3.4286,3.633,-0.029,-0.0008,-0.0007
23,1350001,1375000,1359475,821,274,5.6349,3.8466,0.1886,0.0099,0.009
23,1375001,1400000,1388445,895,298,8.627,5.8481,0.192,0.0151,0.0139
23,1400001,1425000,1412841,1372,302,8.5476,6.5225,0.1344,0.0109,0.0094
23,1425001,1450000,1438522,971,277,7.7385,1.0873,0.7536,0.0333,0.0309
23,1450001,1475000,1462804,1078,372,18.0,8.2302,0.3725,0.0357,0.0323
23,1475001,1500000,1487704,1201,389,11.9762,7.9492,0.2021,0.0137,0.0123
23,1500001,1525000,1512195,1044,316,10.9048,7.0452,0.215,0.0159,0.0145
23,1550001,1575000,1562280,994,305,10.8492,5.5652,0.3219,0.0227,0.0207
23,1575001,1600000,1587574,961,320,17.9663,7.6372,0.4034,0.045,0.0408
23,1625001,1650000,1637914,1085,403,35.5079,6.0553,0.7086,0.0972,0.0929
23,1650001,1675000,1662548,1047,412,32.1082,15.1111,0.36,0.0552,0.0516
23,1675001,1700000,1687938,1078,295,30.0677,1.0405,0.9331,0.1248,0.1191
23,1725001,1750000,1737453,972,327,28.9533,3.2473,0.7983,0.1191,0.1097
23,1750001,1775000,1762819,1068,309,23.0735,6.0159,0.5864,0.0752,0.0697
23,1775001,1800000,1788524,885,259,12.7778,3.0,0.6197,0.0576,0.0544
23,1800001,1825000,1813347,1248,349,5.316,17.0148,-0.5239,-0.0529,-0.0446
23,1825001,1850000,1836850,1090,361,10.032,12.3336,-0.1029,-0.0096,-0.0084
23,1850001,1875000,1862729,1066,312,4.621,13.4365,-0.4882,-0.0413,-0.0358
23,1925001,1950000,1938686,1070,276,16.3358,6.4841,0.4317,0.0627,0.0518
23,3125001,3150000,3137637,1243,293,13.7698,17.6032,-0.1222,-0.0202,-0.0172
23,3150001,3175000,3162404,1252,369,12.0079,10.3175,0.0757,0.0067,0.0057
23,3675001,3700000,3688091,1071,288,73.7139,2.0714,0.9453,0.3228,0.3088
23,5150001,5175000,5162014,924,406,23.3532,5.0675,0.6434,0.0723,0.0673
23,5175001,5200000,5187279,990,446,36.6157,4.4989,0.7812,0.1434,0.1137
23,5200001,5225000,5213613,822,342,18.9921,7.7048,0.4228,0.066,0.0524
23,5225001,5250000,5237457,867,466,11.2323,8.7463,0.1244,0.0103,0.0088
23,5250001,5275000,5263448,1138,432,6.885,10.4452,-0.2054,-0.0163,-0.0137
23,5475001,5500000,5487102,1165,277,1.5079,5.2986,-0.5569,-0.0292,-0.0227
23,5500001,5525000,5513916,1205,318,3.6994,8.4044,-0.3887,-0.0266,-0.0214
23,5525001,5550000,5537565,1013,381,5.3571,16.752,-0.5154,-0.057,-0.046
23,5550001,5575000,5562325,1124,333,5.2316,11.3098,-0.3675,-0.0344,-0.0279
23,5625001,5650000,5637556,1068,497,11.4366,11.3254,0.0049,0.0005,0.0004
23,5650001,5675000,5662533,1547,313,2.1819,6.7692,-0.5125,-0.0301,-0.0252
23,5675001,5700000,5686899,1020,273,2.0636,15.0172,-0.7584,-0.0955,-0.0772
23,5700001,5725000,5712223,1148,285,9.0635,13.0885,-0.1817,-0.0255,-0.0219
23,5775001,5800000,5787290,1158,347,19.0273,5.8105,0.5321,0.0589,0.0555
23,5800001,5825000,5812707,1049,311,20.5238,4.3175,0.6524,0.0714,0.0663
23,5850001,5875000,5862742,1179,408,21.0222,5.2619,0.5996,0.0552,0.052
23,5925001,5950000,5937638,1059,251,11.5159,5.627,0.3435,0.0325,0.0309
23,5975001,6000000,5988938,1049,371,22.3254,5.1349,0.626,0.0715,0.0654
23,7050001,7075000,7062791,1294,255,6.9758,7.0397,-0.0046,-0.0005,-0.0004
23,7200001,7225000,7211348,965,267,3.0,10.8492,-0.5668,-0.0496,-0.0414
23,7225001,7250000,7237775,815,258,5.9291,9.2063,-0.2165,-0.0221,-0.0175
23,7250001,7275000,7262921,900,293,4.0238,12.857,-0.5233,-0.0556,-0.0445
23,7275001,7300000,7287191,1008,301,2.0238,10.4921,-0.6766,-0.0509,-0.0413
23,7325001,7350000,7337068,886,406,18.0397,12.4841,0.182,0.0183,0.0168
23,7425001,7450000,7437162,1086,255,11.0388,1.0,0.8339,0.0582,0.0566
23,7525001,7550000,7537220,1016,259,9.8171,4.4048,0.3806,0.0284,0.0265
23,7900001,7925000,7912128,1088,343,23.8397,8.254,0.4856,0.0636,0.0591
23,8200001,8225000,8212098,975,265,11.4153,3.0952,0.5734,0.0398,0.0382
23,8225001,8250000,8237716,944,283,18.9067,3.6487,0.6765,0.0653,0.062
23,8625001,8650000,8636623,1073,279,3.1984,18.3651,-0.7033,-0.1007,-0.0775
23,8725001,8750000,8737982,1062,275,2.5713,10.5524,-0.6081,-0.0515,-0.0392
23,9275001,9300000,9287228,889,317,8.8975,6.873,0.1284,0.0094,0.0082
23,11225001,11250000,11237760,986,324,8.0,17.5507,-0.3738,-0.0472,-0.0381
23,12675001,12700000,12687530,932,302,6.9683,6.7633,0.0149,0.0011,0.0009
23,12700001,12725000,12712797,983,425,10.7373,13.2439,-0.1045,-0.0094,-0.008
23,12725001,12750000,12737951,1000,415,10.8651,10.946,-0.0037,-0.0003,-0.0002
23,12750001,12775000,12762580,1098,314,3.8328,21.8142,-0.7011,-0.0902,-0.0758
23,12775001,12800000,12787649,1036,490,7.0238,19.2937,-0.4662,-0.0355,-0.031
23,12800001,12825000,12811985,929,386,2.3492,21.9335,-0.8065,-0.078,-0.0664
23,12825001,12850000,12837464,1015,363,13.9206,14.3581,-0.0155,-0.002,-0.0017
23,12850001,12875000,12862268,1095,370,24.1121,9.1587,0.4494,0.0674,0.0594
23,12875001,12900000,12888346,999,301,7.0317,3.1799,0.3772,0.0186,0.0177
23,12900001,12925000,12912395,1060,455,14.3241,7.9305,0.2873,0.0187,0.0176
23,12925001,12950000,12939145,997,378,16.254,3.6353,0.6344,0.0415,0.0402
23,12950001,12975000,12961811,992,403,24.852,7.1032,0.5554,0.0577,0.0545
23,12975001,13000000,12987866,1108,330,16.0556,3.0397,0.6816,0.0491,0.0478
23,13000001,13025000,13013138,1070,330,12.1059,6.0556,0.3331,0.0278,0.0253
23,13025001,13050000,13037704,999,376,15.6354,8.0952,0.3177,0.0318,0.0287
23,13050001,13075000,13062329,1066,389,19.7698,9.1202,0.3686,0.0384,0.0358
23,13075001,13100000,13086997,991,338,12.8175,2.0,0.73,0.0395,0.0381
23,13100001,13125000,13112535,1183,266,15.5079,3.127,0.6644,0.0598,0.0557
23,13225001,13250000,13237732,1166,260,19.3392,2.127,0.8018,0.0888,0.0839
23,13350001,13375000,13364270,1007,344,24.1556,3.7313,0.7324,0.0833,0.0781
23,13375001,13400000,13387812,956,414,28.1283,8.127,0.5517,0.0669,0.0631
23,13400001,13425000,13412511,1038,321,12.7302,6.8259,0.3019,0.0255,0.0244
