scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
20,6800001,6825000,6814015,904,259,25.8492,2.1825,0.8443,0.1141,0.1068
20,6900001,6925000,6910750,1305,263,45.6957,4.1832,0.8323,0.2957,0.2681
20,10350001,10375000,10362251,970,330,40.0639,21.7132,0.297,0.145,0.092
20,10650001,10675000,10663911,779,254,24.1561,7.8567,0.5092,0.175,0.1377
20,10675001,10700000,10687168,972,417,45.2289,13.9531,0.5285,0.196,0.1572
20,11700001,11725000,11712430,1090,319,53.5556,7.3336,0.7591,0.2122,0.1886
20,11725001,11750000,11737342,1052,402,57.1411,15.373,0.576,0.1958,0.1635
20,11750001,11775000,11762950,995,272,65.7698,5.064,0.857,0.3221,0.2938
20,11775001,11800000,11788199,1067,263,48.9365,16.0397,0.5063,0.2021,0.168
20,11800001,11825000,11814175,912,339,67.9206,5.7511,0.8439,0.2725,0.2341
20,11825001,11850000,11837127,1091,307,68.6825,8.2942,0.7845,0.2787,0.2271
20,11975001,12000000,11986870,1005,277,44.3968,4.064,0.8323,0.2419,0.1999
20,12000001,12025000,12012655,904,321,42.7302,5.4365,0.7743,0.1817,0.1611
20,12025001,12050000,12037411,1088,285,32.6746,13.9523,0.4015,0.1039,0.0859
20,12050001,12075000,12062499,1100,391,40.6982,10.1419,0.601,0.1618,0.1378
20,12075001,12100000,12086156,1193,351,56.7679,5.7202,0.8169,0.2394,0.212
20,12225001,12250000,12237510,1149,326,60.9365,6.2143,0.8149,0.2773,0.2426
20,12250001,12275000,12261843,1063,416,105.3123,6.9094,0.8769,0.3672,0.3157
20,12275001,12300000,12288291,857,314,88.8921,5.2574,0.8883,0.4323,0.3564
20,12300001,12325000,12312344,1120,324,93.6023,7.0397,0.8601,0.3827,0.3352
20,12325001,12350000,12337531,994,371,80.7381,14.2567,0.6998,0.2742,0.2412
20,12350001,12375000,12363997,938,494,86.4841,7.2381,0.8455,0.2818,0.2577
20,12375001,12400000,12388566,1017,429,80.4329,4.2497,0.8996,0.3435,0.311
20,12525001,12550000,12535364,1475,383,67.5452,2.9941,0.9151,0.3111,0.2874
20,12550001,12575000,12562338,1043,483,75.8229,9.0882,0.7859,0.267,0.2358
20,12900001,12925000,12913365,1034,290,38.6032,3.6825,0.8258,0.2412,0.21
20,12950001,12975000,12962834,816,319,28.571,10.0,0.4815,0.1305,0.1084
20,12975001,13000000,12987223,845,358,50.6531,4.0717,0.8512,0.2524,0.2243
20,13000001,13025000,13012377,816,354,43.7778,12.0712,0.5677,0.181,0.1522
20,13025001,13050000,13038303,903,330,34.972,3.1749,0.8335,0.1745,0.1511
20,13050001,13075000,13063244,745,258,27.9659,5.2698,0.6829,0.1689,0.1379
20,13075001,13100000,13087965,950,253,36.8013,10.4444,0.5579,0.201,0.1652
20,13100001,13125000,13111541,739,357,33.8363,10.4921,0.5266,0.1269,0.1125
20,13125001,13150000,13138486,993,369,57.1364,19.1349,0.4982,0.2007,0.1593
20,13150001,13175000,13162129,1027,456,101.2113,12.9387,0.7733,0.3235,0.2781
20,13175001,13200000,13186931,984,409,55.637,6.0623,0.8035,0.247,0.2044
20,13200001,13225000,13212537,934,290,44.888,7.0,0.7302,0.2523,0.2113
20,13225001,13250000,13236681,1009,310,52.9944,9.1746,0.7048,0.2489,0.2134
20,13250001,13275000,13262837,922,251,42.3961,1.0397,0.9521,0.2598,0.2387
20,13275001,13300000,13287870,919,367,61.5593,2.7268,0.9152,0.2888,0.2555
20,13300001,13325000,13312405,1022,402,78.8448,6.0873,0.8567,0.3077,0.2848
20,13325001,13350000,13337440,1232,426,63.7868,6.4,0.8176,0.2744,0.2386
20,13350001,13375000,13362087,1190,476,76.872,4.1669,0.8972,0.3003,0.2606
20,13375001,13400000,13386811,1061,370,33.7027,9.7698,0.5505,0.1212,0.1017
20,13400001,13425000,13411968,960,369,59.1899,4.308,0.8643,0.2341,0.2089
20,13425001,13450000,13437607,1110,381,56.6856,6.2291,0.802,0.2518,0.2236
20,13450001,13475000,13462506,950,321,31.1984,4.0952,0.7679,0.1905,0.1582
20,13475001,13500000,13486582,955,363,37.6349,14.6461,0.4397,0.133,0.112
20,13500001,13525000,13513523,930,369,37.6805,15.0209,0.43,0.1522,0.1224
20,13525001,13550000,13537592,978,332,36.5464,9.1902,0.5981,0.1722,0.1416
20,13550001,13575000,13562836,918,343,39.9524,7.4048,0.6873,0.178,0.1506
20,13575001,13600000,13585991,905,352,34.7857,14.5952,0.4089,0.106,0.0873
20,13600001,13625000,13611967,965,281,33.7143,4.4368,0.7674,0.2074,0.1613
20,13625001,13650000,13639173,845,298,26.5635,5.7937,0.6419,0.1446,0.1192
20,14025001,14050000,14037958,792,335,33.3571,3.4762,0.8112,0.2169,0.182
20,14075001,14100000,14087426,907,353,40.2657,5.1746,0.7722,0.2002,0.1731
20,14100001,14125000,14111867,1008,357,68.6013,9.5399,0.7558,0.2943,0.243
20,14125001,14150000,14136763,912,367,61.9871,5.6667,0.8325,0.2992,0.2634
20,14150001,14175000,14163070,899,337,48.9322,6.1432,0.7769,0.2565,0.1963
20,14175001,14200000,14187583,1090,370,44.5476,6.7482,0.7369,0.2103,0.1666
20,14200001,14225000,14212650,959,354,41.1102,5.1432,0.7776,0.2059,0.1688
20,14225001,14250000,14238128,1008,343,42.3413,8.8651,0.6538,0.2006,0.1687
20,14250001,14275000,14262179,1310,352,47.5533,4.9206,0.8125,0.2328,0.2017
20,14275001,14300000,14287645,1042,347,40.4754,10.8184,0.5782,0.2099,0.163
20,14300001,14325000,14311453,792,250,34.6682,6.9388,0.6665,0.2134,0.1727
20,14325001,14350000,14337098,940,270,26.7889,5.3889,0.6651,0.1831,0.1526
20,14350001,14375000,14362432,1184,413,74.8331,3.6032,0.9081,0.2785,0.2524
20,14375001,14400000,14387559,1034,391,57.4762,5.7435,0.8183,0.2258,0.197
20,14400001,14425000,14411741,1132,255,45.9588,1.0,0.9574,0.2856,0.2638
20,14425001,14450000,14437423,1017,292,66.5556,2.5635,0.9258,0.2974,0.2729
20,14925001,14950000,14936955,966,308,32.7619,8.1746,0.6006,0.1834,0.1357
20,14975001,15000000,14987536,918,332,34.1746,12.2491,0.4723,0.1202,0.0975
20,15000001,15025000,15012454,998,366,16.0,15.065,0.0301,0.0049,0.0033
20,15050001,15075000,15062162,883,315,10.9762,19.0727,-0.2694,-0.056,-0.0344
20,15075001,15100000,15087275,944,410,46.0081,32.3271,0.1746,0.0805,0.0459
20,15100001,15125000,15112037,705,329,14.4206,16.124,-0.0558,-0.014,-0.0085
20,15125001,15150000,15137248,947,393,31.7349,17.1433,0.2985,0.0949,0.0628
20,15150001,15175000,15164823,683,257,7.8095,20.0159,-0.4387,-0.1001,-0.0631
20,15175001,15200000,15187850,935,379,28.9286,27.2171,0.0305,0.0098,0.006
20,15200001,15225000,15211937,1064,459,25.01,15.3322,0.2399,0.0471,0.0313
20,15250001,15275000,15262772,1159,378,16.1354,27.5318,-0.261,-0.062,-0.0406
20,15275001,15300000,15287245,760,376,26.7175,22.1548,0.0934,0.0286,0.0189
20,15300001,15325000,15311441,1030,289,13.0,10.1293,0.1241,0.0203,0.0139
20,15325001,15350000,15337906,866,329,20.947,5.5517,0.581,0.1107,0.0867
20,15350001,15375000,15363273,988,367,33.4104,5.7025,0.7084,0.1601,0.131
