scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
1,1,1000000,770583,12213,490,61.0,12.5,0.6599,0.183,0.1164
1,1000001,2000000,1494211,31090,2437,411.5,70.0,0.7092,0.2557,0.1678
1,2000001,3000000,2458468,25822,1945,392.5,61.0,0.731,0.3294,0.213
1,3000001,4000000,3449700,34657,3016,546.0,100.5,0.6891,0.2234,0.1769
1,4000001,5000000,4407964,26055,1849,443.5,69.5,0.729,0.2723,0.2206
1,5000001,6000000,5516999,21303,2044,305.0,59.0,0.6758,0.1583,0.1359
1,6000001,7000000,6501181,19462,2376,973.0,40.5,0.9201,0.5565,0.467
1,7000001,8000000,7447139,23407,4366,1462.5,96.5,0.8762,0.4708,0.3796
1,8000001,9000000,8515331,38764,6405,2978.0,113.0,0.9269,0.5966,0.5063
1,9000001,10000000,9500004,36413,8319,4390.5,156.5,0.9312,0.6224,0.5541
1,10000001,11000000,10520800,37013,7443,3775.5,124.5,0.9362,0.6304,0.5515
1,11000001,12000000,11505786,40011,6672,3193.5,99.0,0.9399,0.6668,0.5507
1,12000001,13000000,12458349,37448,8965,4114.0,235.0,0.8919,0.6141,0.5141
1,13000001,14000000,13521339,34287,2310,1252.5,43.5,0.9329,0.7036,0.6094
1,14000001,15000000,14491586,40681,7360,3759.5,87.0,0.9548,0.6814,0.5883
1,15000001,16000000,15588592,34189,5786,3029.5,90.5,0.942,0.6977,0.5945
1,16000001,17000000,16472345,27448,3157,1064.5,84.0,0.8537,0.5419,0.3876
1,17000001,18000000,17450546,32322,3129,1406.5,90.5,0.8791,0.6129,0.5141
1,18000001,19000000,18487500,39947,7691,4155.5,102.0,0.9521,0.7358,0.6221
1,19000001,20000000,19496709,37231,1555,1155.5,4.0,0.9931,0.9083,0.802
1,20000001,21000000,20499148,41686,8475,4715.5,141.5,0.9417,0.7569,0.6346
1,21000001,22000000,21507969,39604,8358,4881.5,61.5,0.9751,0.7593,0.6482
1,22000001,23000000,22499529,42205,7498,3530.0,118.5,0.935,0.6719,0.5221
1,23000001,24000000,23490962,42437,4193,1763.5,69.5,0.9242,0.631,0.4651
1,24000001,25000000,24479896,43243,5874,2606.5,122.5,0.9102,0.6511,0.4997
1,25000001,26000000,25306474,17871,312,108.5,23.0,0.6502,0.5143,0.3804
1,26000001,27000000,26488661,42926,783,531.0,10.5,0.9612,0.8017,0.728
1,27000001,28000000,27526245,23244,1064,700.5,3.0,0.9915,0.7835,0.7174
1,28000001,29000000,28480338,42788,275,145.0,8.0,0.8954,0.8012,0.6227
1,29000001,30000000,29493602,40136,897,584.0,3.0,0.9898,0.8238,0.7114
1,30000001,31000000,30430406,37159,5640,3314.0,50.5,0.97,0.7197,0.6317
1,31000001,32000000,31467986,21187,2288,591.5,44.0,0.8615,0.3429,0.2904
1,32000001,33000000,32504593,40089,496,72.5,15.5,0.6477,0.1738,0.1293
1,33000001,34000000,33498284,25223,2355,601.0,62.0,0.813,0.3123,0.2663
1,34000001,35000000,34516612,28338,830,318.0,32.0,0.8171,0.4937,0.39
1,35000001,36000000,35503506,25531,1301,406.0,21.0,0.9016,0.3831,0.323
1,36000001,37000000,36474442,26530,542,94.0,13.0,0.757,0.2541,0.1921
1,37000001,38000000,37359245,9055,327,60.0,16.5,0.5686,0.226,0.1807
